case_id,origin,random_seed,wc_eV,eta,delE_eV,ntraj,nstep,dt,tmax,back_replicas,Q_qm_all,Q_qm_active,amplitude_ratio,cosine_similarity,qm_signal_rms,error_rms,static_orbital_leakage_rms,max_abs_occupation_error,max_particle_error,rank
p03_wc_high,local_grid,0,3.700000,3.1184e-5,-17.194874968839816,100000,50,0.5,25,2,13.397752812070028,13.433213148676426,0.9998445647899444,0.9972140603190066,1.798928861571086e-05,1.3427093982137302e-06,1.5241057514644664e-07,1.1271986271710333e-05,3.787192781601334e-12,1
p07_random,random,20260818,3.410073,2.1384532857498926e-5,-17.194874968839816,100000,50,0.5,25,2,12.46468879254528,12.490906217800976,0.9990718199162776,0.996779285119548,1.2406986145904103e-05,9.95370711005983e-07,1.031303921032913e-07,9.100790088090172e-06,3.784528246342234e-12,2
p05_eta_high,local_grid,0,3.351907,4.0000e-5,-17.194874968839816,100000,50,0.5,25,2,9.982030502918803,9.999271523917736,1.0052052059309506,0.9950214434476714,2.3235725903629266e-05,2.327755449839089e-06,2.1801171111590427e-07,1.7941601275439645e-05,3.707256723828323e-12,3
p08_random,random,20260818,3.143672,2.4828133944072725e-5,-17.194874968839816,100000,50,0.5,25,2,9.644121393901353,9.660775529445392,0.9774366572013671,0.99476051249866,1.4479839844723984e-05,1.5014161739897417e-06,1.425039333610473e-07,1.3980289254811318e-05,3.697486761211621e-12,4
p04_eta_low,local_grid,0,3.351907,2.4000e-5,-17.194874968839816,100000,50,0.5,25,2,9.390984564557892,9.40176310824289,0.9873799524549717,0.9943386472090516,1.3940476531630952e-05,1.4844531407540698e-06,1.1232001218749346e-07,1.1760186014897478e-05,3.6992631180510216e-12,5
p06_random,random,20260818,3.300573,2.9043739825453503e-5,-17.194874968839816,100000,50,0.5,25,2,8.90422218095564,8.915738908408997,0.9966029240563107,0.9936779441707754,1.6887411945461537e-05,1.8965622827314834e-06,1.555731169821381e-07,1.545278880754619e-05,3.722355756963225e-12,6
p01_base,known_best,0,3.351907,3.1184e-5,-17.194874968839816,100000,50,0.5,25,2,8.476769497982417,8.485468156624613,1.0125501463016182,0.993205625621961,1.811388487709144e-05,2.1368853879302466e-06,1.5767102659417466e-07,1.9183352643059592e-05,3.702815831729822e-12,7
p02_wc_low,local_grid,0,3.000000,3.1184e-5,-17.194874968839816,100000,50,0.5,25,2,8.054562992372874,8.062216739223903,0.9827238916467915,0.9923093554730299,1.823698605553486e-05,2.264180697674604e-06,1.575292281665472e-07,1.6949660356035956e-05,3.859135233597044e-12,8
