case_id,orbital,qm_signal_rms,simulation_signal_rms,error_rms,Q_qm,amplitude_ratio,cosine_similarity,pearson_correlation,max_abs_error
p01_base,0,5.217939949164925e-05,5.2820447021597025e-05,6.139438036393732e-06,8.499051408669173,1.0122854524236211,0.9932365975238872,0.974427971593022,1.9183352643059592e-05
p01_base,1,1.717321930711388e-08,1.5711469843883038e-07,1.5229565664038994e-07,0.11276237081182401,9.148820359718274,0.3309621133397555,0.27653442532107675,5.201787793840396e-07
p01_base,2,1.8301350560396474e-08,1.5669584742761364e-07,1.5181736807263488e-07,0.12054846420233323,8.561982729662496,0.32081206267906065,0.2702149533705189,4.565456779292987e-07
p01_base,3,1.927615768334573e-08,1.574022616877824e-07,1.5266554604763067e-07,0.12626396840929446,8.165645056108628,0.30326402050499196,0.2565864410026321,4.7342845732600836e-07
p01_base,4,2.0037683011999994e-08,1.5945695801071838e-07,1.550558392453506e-07,0.12922881917586881,7.9578541049493685,0.27944197363607653,0.2369605880373325,4.870954368740854e-07
p01_base,5,1.1145469609480877e-05,1.1178792123755588e-05,1.2622839905423117e-06,8.829605455656994,1.0029897810897412,0.9936101871068337,0.9775277305264918,3.6522622837966186e-06
p01_base,6,1.0856060027217715e-05,1.0944989918871564e-05,1.2615518145901054e-06,8.605322351143373,1.0081917280699342,0.9933360900876271,0.9762740112734343,3.83819640355729e-06
p01_base,7,1.0573187342784955e-05,1.0723367820550421e-05,1.2578355872427678e-06,8.405858007215281,1.014203898303944,0.993122271321559,0.9754213234181849,3.991182798230591e-06
p01_base,8,1.0275297787588392e-05,1.0484951196598432e-05,1.2513987122309162e-06,8.21105031286969,1.0204036333879571,0.9929362318819719,0.9749397433233472,4.103928435783264e-06
p01_base,9,9.949248806746215e-06,1.0208831947585712e-05,1.2423677760965924e-06,8.008295931504161,1.0260907276400086,0.9927336258458557,0.9747188656566335,4.1701004519274945e-06
p02_wc_low,0,5.255422046930569e-05,5.1655856790676824e-05,6.490322286161339e-06,8.097320618632725,0.982905965104105,0.9923901868578493,0.9714716853355395,1.6949660356035956e-05
p02_wc_low,1,1.8101809886935234e-08,1.5338384364405223e-07,1.521149348313786e-07,0.11900087198539268,8.473398218304967,0.12881669852680752,0.11689186626407187,5.618199977464045e-07
p02_wc_low,2,1.9043397085374368e-08,1.5628619199821674e-07,1.5481326912229564e-07,0.12300881696601165,8.206844151679588,0.13790588093056466,0.1283885432753545,5.70803804555986e-07
p02_wc_low,3,1.9835472281388776e-08,1.5907121083312096e-07,1.5741318439356188e-07,0.12600896397468495,8.019532309415908,0.14550110149413942,0.13786542552379483,5.752744279829969e-07
p02_wc_low,4,2.0435477913536754e-08,1.612643900269077e-07,1.594600305027734e-07,0.12815423306457557,7.891393130575324,0.1511616479437511,0.14488994658514276,5.742449914469816e-07
p02_wc_low,5,1.1132922769757066e-05,1.0912954265842472e-05,1.2800921416684149e-06,8.696969856597129,0.9802416213186941,0.9934553894456294,0.9769286507946807,3.506252519367465e-06
p02_wc_low,6,1.087431984262351e-05,1.0663891975162007e-05,1.3163860156830086e-06,8.260737893801883,0.980649100770726,0.9927192359386829,0.9740709457961485,3.5830120489090806e-06
p02_wc_low,7,1.0622134091542658e-05,1.0424072657484655e-05,1.3501235950054326e-06,7.867527188501522,0.9813538943915517,0.9919458526431923,0.9710866185610104,3.639211868872155e-06
p02_wc_low,8,1.0360445221744213e-05,1.0179690363367286e-05,1.3778949357645217e-06,7.5190386094247055,0.9825533696179809,0.9911539266941054,0.9680526551344276,3.6685267160345306e-06
p02_wc_low,9,1.007807789668258e-05,9.921063288300506e-06,1.396642479696627e-06,7.215932526176419,0.9844201830952548,0.9903687961219556,0.9651171995263523,3.664315199512541e-06
p03_wc_high,0,5.179859688979716e-05,5.180898341879083e-05,3.858471201393184e-06,13.42464260743845,1.0002005175741684,0.9972262052806424,0.9893489777831049,1.1271986271710333e-05
p03_wc_high,1,1.6229945909792877e-08,1.5632087165300165e-07,1.5795857856273457e-07,0.10274811319188352,9.631632324706656,-0.04952278862794369,-0.015352712896507597,6.449656947404847e-07
p03_wc_high,2,1.753332085616501e-08,1.5372280683691672e-07,1.5541723112310053e-07,0.11281452339269564,8.767466705137332,-0.04014383418337946,-0.009442014111282081,6.722897367694713e-07
p03_wc_high,3,1.868922811302261e-08,1.5107244000955305e-07,1.528493731752944e-07,0.12227219336770835,8.083396440770398,-0.03378190447076768,-0.006425958842280409,6.870075266451892e-07
p03_wc_high,4,1.9617682289294265e-08,1.4841204560030972e-07,1.5031872874864825e-07,0.13050723920169313,7.565218123717955,-0.031724446538163455,-0.0076288220993183265,6.877840356134257e-07
p03_wc_high,5,1.1159461711228465e-05,1.1178798406802608e-05,8.728280518522524e-07,12.785406802114878,1.0017327623925343,0.9969480612077468,0.9892927780530963,2.961779731670194e-06
p03_wc_high,6,1.083929720664989e-05,1.0831555089722632e-05,8.166604094050486e-07,13.272710519353456,0.9992857362631862,0.9971599758220525,0.9899333333220774,2.717545354370354e-06
p03_wc_high,7,1.0525475500608472e-05,1.0498487511255239e-05,7.657407989380771e-07,13.745480866639355,0.9974359363287983,0.9973501254181455,0.9905074003424549,2.429369360790534e-06
p03_wc_high,8,1.0189983128655895e-05,1.0148417507103966e-05,7.270124228994516e-07,14.016243474927807,0.9959209332314752,0.9974528182073523,0.9907669453161869,2.109662096283971e-06
p03_wc_high,9,9.818541845808144e-06,9.766201369100044e-06,7.086269276366211e-07,13.855727834891173,0.9946692209973678,0.9973959049807413,0.9904555478329011,2.2137152413173576e-06
p04_eta_low,0,4.0158818020452005e-05,3.9646575441461245e-05,4.2586894829264645e-06,9.429853522181634,0.9872445802879486,0.994386855576785,0.9796881273111537,1.1760186014897478e-05
p04_eta_low,1,1.0172590415113218e-08,1.1166079071055155e-07,1.1192660706364812e-07,0.09088625736084789,10.976632908040738,0.019389560905398655,-0.010042567099952321,3.4341451204955575e-07
p04_eta_low,2,1.084073650010158e-08,1.1147413125061603e-07,1.1163687865711437e-07,0.09710712652042358,10.282892795113273,0.033600912114989764,0.0014127459851601314,3.236996900524147e-07
p04_eta_low,3,1.1418046984165029e-08,1.1221948841354339e-07,1.1221040540033939e-07,0.10175568783864758,9.828255967870298,0.05166918990659023,0.017333542504174113,3.1957507451441103e-07
p04_eta_low,4,1.1869010273262576e-08,1.1390923075507166e-07,1.1367030851391346e-07,0.10441609975757027,9.59719708151875,0.0722073547044681,0.035979481443469574,3.4183746966398587e-07
p04_eta_low,5,8.576094903988926e-06,8.446253236817216e-06,8.999609906183888e-07,9.529407378086518,0.9848600477693736,0.9945257029886966,0.9817432722826015,2.2592438750642063e-06
p04_eta_low,6,8.35333430378987e-06,8.226725101044192e-06,8.96267645587135e-07,9.320133717777678,0.9848432735790023,0.994271979768722,0.9805361360661112,2.4117831268682286e-06
p04_eta_low,7,8.135653819741514e-06,8.02643917335762e-06,8.836479380341378e-07,9.206895042205385,0.9865757997078392,0.994112542514805,0.9797868917811307,2.505973327617988e-06
p04_eta_low,8,7.906467085763205e-06,7.827776749372092e-06,8.643522822243201e-07,9.147273916390594,0.9900473453519073,0.9940142834888226,0.9793936727501553,2.5327385005239693e-06
p04_eta_low,9,7.655652787016803e-06,7.6164384489889425e-06,8.413730822027701e-07,9.098998944646292,0.9948777277237072,0.9939428456824965,0.9792734117290933,2.5422423571023116e-06
p05_eta_high,0,6.693053101708069e-05,6.726216002251317e-05,6.691292668770069e-06,10.002630931010112,1.004954824060007,0.9950394835202415,0.9812257105333843,1.7941601275439645e-05
