case_id,wc_eV,eta,delE_eV,ntraj,back_replicas,exact_back_jumps,measure_stride,algorithm,runtime_seconds,qm_path,simulation_path,n_points,actual_tmax,min_Q_0_target,min_active_orbital_Q_0_target,target_stop,target_Q,projected_multiplier,projected_ntraj_Q_target,projected_ntraj_orbital_Q_target,Q_per_sqrt_ntraj,projected_runtime_seconds,signal_rms_active_0_target,signal_peak_active_0_target,amplitude_ratio_active_0_target,cosine_active_0_target,inactive_absolute_error_rms_0_target,max_particle_error,Q_0_50,Q_50_100,Q_100_150,Q_150_200,Q_200_250,Q_250_300,Q_300_350,Q_350_400,Q_400_450,Q_450_500,min_orbital_Q_0_50,min_orbital_Q_50_100,min_orbital_Q_100_150,min_orbital_Q_150_200,min_orbital_Q_200_250,min_orbital_Q_250_300,min_orbital_Q_300_350,min_orbital_Q_350_400,min_orbital_Q_400_450,min_orbital_Q_450_500
adaptive,3.3,2.6e-6,-17.194874968839816,50000,256,4,0,v0.76,19,parameter_grid_round2/g06/ahm-qm-s10-n5.dat,stride_ab/adaptive/ahm-sepmb-s10-n5-50000.dat,1001,500.0,1.2526606740216846,0.8501961004660137,400.0,10.0,63.728414408343326,3186420.720417166,6917223.161010789,0.005602068839706383,1210.8398737585233,1.6961517911955309e-06,7.44138811559214e-06,1.1689037272578222,0.8907619535551412,1.195552267409295e-07,1.247570935447584e-10,13.664558511256109,7.660648402365082,3.0915509301646398,2.442938441904169,1.3016165965638296,2.124830140978141,1.2526606740216846,1.306899448046155,0.6398686059998024,0.5630060536717197,13.108547957845081,6.7334961530314414,2.18451358926805,1.6567735790409228,0.9346434612648413,1.2110755195091414,0.8926387571068728,0.8501961004660137,0.42987971824534027,0.4505700921915963
stride_s4,3.3,2.6e-6,-17.194874968839816,50000,256,4,4,v0.76,61,parameter_grid_round2/g06/ahm-qm-s10-n5.dat,stride_ab/s4/ahm-sepmb-s10-n5-50000.dat,1001,500.0,0.8220596561704737,0.637382278543746,400.0,10.0,147.97669723810827,7398834.861905414,12307505.415333383,0.0036763625455145674,9026.578531524605,1.6961517911955309e-06,7.44138811559214e-06,1.185608780561025,0.8121721018299087,1.3211492284987408e-07,1.163158458439284e-10,6.533030861497952,5.27594946154467,2.7873947941975685,1.9600432285002674,2.057180335878254,0.9561351129381164,1.2177502308862642,0.8220596561704737,0.42872623069789195,0.5565499316353236,5.8666408223028785,4.8435688196769195,2.5386318506530716,1.790455165124995,1.65246617800959,0.7950324985979551,0.9889942494509918,0.637382278543746,0.38364576134953715,0.4575187307143501
direct_s1,3.3,2.6e-6,-17.194874968839816,50000,256,4,1,v0.76,221,parameter_grid_round2/g06/ahm-qm-s10-n5.dat,parameter_grid_round2/g06/ahm-sepmb-s10-n5-50000.dat,1001,500.0,0.7084887841440636,0.5671535860655686,400.0,10.0,199.22050703028424,9961025.351514213,15544209.44806491,0.0031684581652846027,44027.73205369282,1.6961517911955309e-06,7.44138811559214e-06,1.2985145202906359,0.7854240630784887,1.7305750910588712e-07,1.2468603927118238e-10,13.218118499541726,6.051178029728432,2.409623441736371,1.6512548647382213,1.5172392101719068,0.9287660392588865,0.9357548600767003,0.7084887841440636,0.43964046075493485,0.42500874974071107,11.983236899299293,5.056625491884319,2.009011760271746,1.5369582275860054,1.3425239998597953,0.8237032708176592,0.7117046740105878,0.5671535860655686,0.37802220103099327,0.35561270855332267
stride_s2,3.3,2.6e-6,-17.194874968839816,50000,256,4,2,v0.76,119,parameter_grid_round2/g06/ahm-qm-s10-n5.dat,stride_ab/s2/ahm-sepmb-s10-n5-50000.dat,1001,500.0,0.692954683602957,0.5656705281462396,400.0,10.0,208.25255150598176,10412627.575299088,15625822.9723846,0.0030989875557261414,24782.05362921183,1.6961517911955309e-06,7.44138811559214e-06,1.2103798422732486,0.7446865823729882,1.393502639640304e-07,1.248476877435678e-10,10.0072136320494,5.591645903673984,2.8055877461595613,1.6412297490915673,1.8832679070072027,0.9382254442680039,0.8482997068648581,0.692954683602957,0.4268780257440864,0.5429297157753089,9.364228744777696,4.5739439998305365,2.542330428254703,1.4059713247553434,1.5605836968864266,0.839731081513591,0.7302074156889055,0.5656705281462396,0.37941118845631133,0.4809283723882686
