#SEP_MB_REFERENCE_KEY v1.13-csr-v1 50 25 8000 0.5 2 725426 512 1 1 1 128 14583.106714608701 0.0036749323758566211 2 10.352963924025582 0 1 0 -0.63190000000000002 0 1 -0.21498353472758169 7.8246079643595154e-05 1 -0.21308911565105076 7.8246079643595154e-05 1 -0.21118691696293534 7.8246079643595154e-05 1 -0.20927697035113119 7.8246079643595154e-05 1 -0.2073593071194445 7.8246079643595154e-05 1 -0.20543395819528912 7.8246079643595154e-05 1 -0.20350095413716951 7.8246079643595154e-05 1 -0.20156032514195699 7.8246079643595154e-05 1 -0.19961210105196664 7.8246079643595154e-05 1 -0.19765631136184203 7.8246079643595154e-05 1 -0.19569298522525388 7.8246079643595154e-05 1 -0.19372215146141969 7.8246079643595154e-05 1 -0.19174383856145003 7.8246079643595154e-05 1 -0.18975807469452757 7.8246079643595154e-05 1 -0.18776488771392436 7.8246079643595154e-05 1 -0.18576430516286285 7.8246079643595154e-05 1 -0.18375635428022585 7.8246079643595154e-05 1 -0.18174106200612028 7.8246079643595154e-05 1 -0.17971845498729944 7.8246079643595154e-05 1 -0.17768855958244878 7.8246079643595154e-05 1 -0.17565140186733905 7.8246079643595154e-05 1 -0.17360700763985148 7.8246079643595154e-05 1 -0.17155540242487868 7.8246079643595154e-05 1 -0.16949661147910555 7.8246079643595154e-05 1 -0.16743065979567368 7.8246079643595154e-05 0 -0.16535757210873317 7.8246079643595154e-05 0 -0.16327737289788471 7.8246079643595154e-05 0 -0.16119008639251628 7.8246079643595154e-05 0 -0.15909573657603662 7.8246079643595154e-05 0 -0.15699434719000946 7.8246079643595154e-05 0 -0.15488594173819073 7.8246079643595154e-05 0 -0.15277054349047262 7.8246079643595154e-05 0 -0.15064817548673592 7.8246079643595154e-05 0 -0.14851886054061489 7.8246079643595154e-05 0 -0.14638262124317569 7.8246079643595154e-05 0 -0.14423947996651224 7.8246079643595154e-05 0 -0.14208945886726068 7.8246079643595154e-05 0 -0.13993257989003599 7.8246079643595154e-05 0 -0.13776886477079181 7.8246079643595154e-05 0 -0.13559833504010649 7.8246079643595154e-05 0 -0.13342101202639711 7.8246079643595154e-05 0 -0.13123691685906338 7.8246079643595154e-05 0 -0.12904607047156369 7.8246079643595154e-05 0 -0.12684849360442482 7.8246079643595154e-05 0 -0.12464420680818775 7.8246079643595154e-05 0 -0.12243323044629004 7.8246079643595154e-05 0 -0.12021558469788834 7.8246079643595154e-05 0 -0.11799128956062102 7.8246079643595154e-05 0 -0.1157603648533132 7.8246079643595154e-05 0
# Deterministic bounded reference ONLY; not the Poisson result or exact QM.
# states=725426 fock_states=512 steps=8000 dt=5.0000000000000000e-01
# Raw weights: time particle_weight coordinate_weight vibration_weight orbital_weights...
0.00000000 +2.4999999999999979e+01 +1.9999999999999984e+00 +1.8374661879283086e-03 +9.9999999999999922e-01 +9.9999999999999922e-01 +9.9999999999999922e-01 +9.9999999999999922e-01 +9.9999999999999922e-01 +9.9999999999999922e-01 +9.9999999999999922e-01 +9.9999999999999922e-01 +9.9999999999999922e-01 +9.9999999999999922e-01 +9.9999999999999922e-01 +9.9999999999999922e-01 +9.9999999999999922e-01 +9.9999999999999922e-01 +9.9999999999999922e-01 +9.9999999999999922e-01 +9.9999999999999922e-01 +9.9999999999999922e-01 +9.9999999999999922e-01 +9.9999999999999922e-01 +9.9999999999999922e-01 +9.9999999999999922e-01 +9.9999999999999922e-01 +9.9999999999999922e-01 +9.9999999999999922e-01 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00
0.50000000 +2.4999999999999993e+01 +1.9999999999999665e+00 +1.8374812603811821e-03 +9.9999996173469352e-01 +9.9999999999999967e-01 +9.9999999999999967e-01 +9.9999999999999967e-01 +9.9999999999999967e-01 +9.9999999999999967e-01 +9.9999999999999967e-01 +9.9999999999999967e-01 +9.9999999999999967e-01 +9.9999999999999967e-01 +9.9999999999999967e-01 +9.9999999999999967e-01 +9.9999999999999967e-01 +9.9999999999999967e-01 +9.9999999999999967e-01 +9.9999999999999967e-01 +9.9999999999999967e-01 +9.9999999999999967e-01 +9.9999999999999967e-01 +9.9999999999999967e-01 +9.9999999999999967e-01 +9.9999999999999967e-01 +9.9999999999999967e-01 +9.9999999999999967e-01 +9.9999999999999967e-01 +1.5306122206876066e-09 +1.5306122206875661e-09 +1.5306122206875247e-09 +1.5306122206874823e-09 +1.5306122206874383e-09 +1.5306122206873938e-09 +1.5306122206873477e-09 +1.5306122206873010e-09 +1.5306122206872526e-09 +1.5306122206872034e-09 +1.5306122206871527e-09 +1.5306122206871008e-09 +1.5306122206870477e-09 +1.5306122206869933e-09 +1.5306122206869372e-09 +1.5306122206868799e-09 +1.5306122206868212e-09 +1.5306122206867612e-09 +1.5306122206866992e-09 +1.5306122206866363e-09 +1.5306122206865716e-09 +1.5306122206865048e-09 +1.5306122206864372e-09 +1.5306122206863673e-09 +1.5306122206862955e-09
1.00000000 +2.4999999999999847e+01 +1.9999999999996063e+00 +1.8375235520265518e-03 +9.9999985430620242e-01 +9.9999999999999389e-01 +9.9999999999999389e-01 +9.9999999999999389e-01 +9.9999999999999389e-01 +9.9999999999999389e-01 +9.9999999999999389e-01 +9.9999999999999389e-01 +9.9999999999999389e-01 +9.9999999999999389e-01 +9.9999999999999389e-01 +9.9999999999999389e-01 +9.9999999999999389e-01 +9.9999999999999389e-01 +9.9999999999999389e-01 +9.9999999999999389e-01 +9.9999999999999389e-01 +9.9999999999999389e-01 +9.9999999999999389e-01 +9.9999999999999389e-01 +9.9999999999999389e-01 +9.9999999999999389e-01 +9.9999999999999389e-01 +9.9999999999999389e-01 +9.9999999999999389e-01 +5.8443125392819466e-09 +5.8429908751107336e-09 +5.8416616729110774e-09 +5.8403249187992352e-09 +5.8389805988018353e-09 +5.8376286988581217e-09 +5.8362692048221667e-09 +5.8349021024650256e-09 +5.8335273774768474e-09 +5.8321450154689554e-09 +5.8307550019758672e-09 +5.8293573224572929e-09 +5.8279519623000745e-09 +5.8265389068200935e-09 +5.8251181412641709e-09 +5.8236896508118704e-09 +5.8222534205773259e-09 +5.8208094356110015e-09 +5.8193576809014168e-09 +5.8178981413768756e-09 +5.8164308019071193e-09 +5.8149556473049622e-09 +5.8134726623279291e-09 +5.8119818316798158e-09 +5.8104831400122529e-09
1.50000000 +2.4999999999999339e+01 +1.9999999999981917e+00 +1.8375848583448767e-03 +9.9999969838644509e-01 +9.9999999999997347e-01 +9.9999999999997347e-01 +9.9999999999997347e-01 +9.9999999999997347e-01 +9.9999999999997347e-01 +9.9999999999997347e-01 +9.9999999999997347e-01 +9.9999999999997347e-01 +9.9999999999997347e-01 +9.9999999999997347e-01 +9.9999999999997347e-01 +9.9999999999997347e-01 +9.9999999999997347e-01 +9.9999999999997347e-01 +9.9999999999997347e-01 +9.9999999999997347e-01 +9.9999999999997347e-01 +9.9999999999997347e-01 +9.9999999999997347e-01 +9.9999999999997347e-01 +9.9999999999997347e-01 +9.9999999999997347e-01 +9.9999999999997347e-01 +9.9999999999997347e-01 +1.2157619081048452e-08 +1.2150172313014097e-08 +1.2142685374006229e-08 +1.2135158225121126e-08 +1.2127590827270795e-08 +1.2119983141197767e-08 +1.2112335127489667e-08 +1.2104646746593507e-08 +1.2096917958829716e-08 +1.2089148724405935e-08 +1.2081339003430556e-08 +1.2073488755925997e-08 +1.2065597941841844e-08 +1.2057666521067623e-08 +1.2049694453445515e-08 +1.2041681698782745e-08 +1.2033628216863798e-08 +1.2025533967462492e-08 +1.2017398910353739e-08 +1.2009223005325273e-08 +1.2001006212189062e-08 +1.1992748490792593e-08 +1.1984449801030038e-08 +1.1976110102853141e-08 +1.1967729356282029e-08
2.00000000 +2.5000000000000959e+01 +1.9999999999947804e+00 +1.8376533008743362e-03 +9.9999952394088887e-01 +1.0000000000000333e+00 +1.0000000000000333e+00 +1.0000000000000333e+00 +1.0000000000000333e+00 +1.0000000000000333e+00 +1.0000000000000333e+00 +1.0000000000000333e+00 +1.0000000000000333e+00 +1.0000000000000333e+00 +1.0000000000000333e+00 +1.0000000000000333e+00 +1.0000000000000333e+00 +1.0000000000000333e+00 +1.0000000000000333e+00 +1.0000000000000333e+00 +1.0000000000000333e+00 +1.0000000000000333e+00 +1.0000000000000333e+00 +1.0000000000000333e+00 +1.0000000000000333e+00 +1.0000000000000333e+00 +1.0000000000000333e+00 +1.0000000000000333e+00 +1.0000000000000333e+00 +1.9325090222718203e-08 +1.9302389166392040e-08 +1.9279575776050674e-08 +1.9256650100053460e-08 +1.9233612187402288e-08 +1.9210462087792635e-08 +1.9187199851663712e-08 +1.9163825530247746e-08 +1.9140339175618402e-08 +1.9116740840738286e-08 +1.9093030579505794e-08 +1.9069208446800963e-08 +1.9045274498530764e-08 +1.9021228791673414e-08 +1.8997071384322132e-08 +1.8972802335728123e-08 +1.8948421706342856e-08 +1.8923929557859640e-08 +1.8899325953254549e-08 +1.8874610956826801e-08 +1.8849784634238307e-08 +1.8824847052552818e-08 +1.8799798280274283e-08 +1.8774638387384769e-08 +1.8749367445381718e-08
2.50000000 +2.4999999999999851e+01 +1.9999999999880680e+00 +1.8377156478070469e-03 +9.9999936442112147e-01 +9.9999999999998679e-01 +9.9999999999998679e-01 +9.9999999999998679e-01 +9.9999999999998679e-01 +9.9999999999998679e-01 +9.9999999999998679e-01 +9.9999999999998679e-01 +9.9999999999998690e-01 +9.9999999999998690e-01 +9.9999999999998690e-01 +9.9999999999998701e-01 +9.9999999999998701e-01 +9.9999999999998701e-01 +9.9999999999998712e-01 +9.9999999999998712e-01 +9.9999999999998723e-01 +9.9999999999998723e-01 +9.9999999999998723e-01 +9.9999999999998734e-01 +9.9999999999998734e-01 +9.9999999999998745e-01 +9.9999999999998745e-01 +9.9999999999998745e-01 +9.9999999999998757e-01 +2.6048728507248529e-08 +2.5998255841888232e-08 +2.5947563625669345e-08 +2.5896652439673318e-08 +2.5845522869186656e-08 +2.5794175503818548e-08 +2.5742610937616195e-08 +2.5690829769177801e-08 +2.5638832601763299e-08 +2.5586620043402710e-08 +2.5534192707002497e-08 +2.5481551210449530e-08 +2.5428696176713305e-08 +2.5375628233945718e-08 +2.5322348015579115e-08 +2.5268856160422266e-08 +2.5215153312754419e-08 +2.5161240122417589e-08 +2.5107117244906642e-08 +2.5052785341458172e-08 +2.4998245079136934e-08 +2.4943497130921049e-08 +2.4888542175785226e-08 +2.4833380898782329e-08 +2.4778013991123439e-08
3.00000000 +2.4999999999999936e+01 +1.9999999999773543e+00 +1.8377598932268909e-03 +9.9999925029722381e-01 +9.9999999999998479e-01 +9.9999999999998479e-01 +9.9999999999998479e-01 +9.9999999999998479e-01 +9.9999999999998479e-01 +9.9999999999998479e-01 +9.9999999999998479e-01 +9.9999999999998479e-01 +9.9999999999998479e-01 +9.9999999999998479e-01 +9.9999999999998479e-01 +9.9999999999998479e-01 +9.9999999999998479e-01 +9.9999999999998479e-01 +9.9999999999998479e-01 +9.9999999999998479e-01 +9.9999999999998479e-01 +9.9999999999998479e-01 +9.9999999999998501e-01 +9.9999999999998501e-01 +9.9999999999998501e-01 +9.9999999999998501e-01 +9.9999999999998501e-01 +9.9999999999998501e-01 +3.1114829942416506e-08 +3.1023354750917458e-08 +3.0931552513597069e-08 +3.0839425320679953e-08 +3.0746975274154680e-08 +3.0654204487961794e-08 +3.0561115088175969e-08 +3.0467709213183226e-08 +3.0373989013852480e-08 +3.0279956653701909e-08 +3.0185614309060219e-08 +3.0090964169222800e-08 +2.9996008436602969e-08 +2.9900749326878280e-08 +2.9805189069132048e-08 +2.9709329905990084e-08 +2.9613174093752946e-08 +2.9516723902523472e-08 +2.9419981616329633e-08 +2.9322949533243508e-08 +2.9225629965495138e-08 +2.9128025239582746e-08 +2.9030137696378095e-08 +2.8931969691228076e-08 +2.8833523594052094e-08
3.50000000 +2.5000000000000327e+01 +1.9999999999613898e+00 +1.8377775880957295e-03 +9.9999920318878044e-01 +9.9999999999999101e-01 +9.9999999999999123e-01 +9.9999999999999123e-01 +9.9999999999999123e-01 +9.9999999999999134e-01 +9.9999999999999134e-01 +9.9999999999999134e-01 +9.9999999999999145e-01 +9.9999999999999145e-01 +9.9999999999999145e-01 +9.9999999999999156e-01 +9.9999999999999167e-01 +9.9999999999999167e-01 +9.9999999999999167e-01 +9.9999999999999167e-01 +9.9999999999999190e-01 +9.9999999999999190e-01 +9.9999999999999190e-01 +9.9999999999999190e-01 +9.9999999999999212e-01 +9.9999999999999212e-01 +9.9999999999999212e-01 +9.9999999999999212e-01 +9.9999999999999223e-01 +3.3614732619213504e-08 +3.3472152860742724e-08 +3.3329204070179650e-08 +3.3185891383931122e-08 +3.3042219959404275e-08 +3.2898194975176396e-08 +3.2753821631153084e-08 +3.2609105148715713e-08 +3.2464050770857502e-08 +3.2318663762308975e-08 +3.2172949409652384e-08 +3.2026913021425879e-08 +3.1880559928217331e-08 +3.1733895482747590e-08 +3.1586925059943929e-08 +3.1439654057003277e-08 +3.1292087893445943e-08 +3.1144232011159367e-08 +3.0996091874432022e-08 +3.0847672969978748e-08 +3.0698980806955566e-08 +3.0550020916966163e-08 +3.0400798854058778e-08 +3.0251320194713942e-08 +3.0101590537823863e-08
4.00000000 +2.4999999999999723e+01 +1.9999999999401983e+00 +1.8377654667020209e-03 +9.9999923173603666e-01 +9.9999999999995859e-01 +9.9999999999995859e-01 +9.9999999999995881e-01 +9.9999999999995881e-01 +9.9999999999995892e-01 +9.9999999999995903e-01 +9.9999999999995903e-01 +9.9999999999995903e-01 +9.9999999999995914e-01 +9.9999999999995914e-01 +9.9999999999995914e-01 +9.9999999999995925e-01 +9.9999999999995925e-01 +9.9999999999995925e-01 +9.9999999999995937e-01 +9.9999999999995948e-01 +9.9999999999995948e-01 +9.9999999999995948e-01 +9.9999999999995948e-01 +9.9999999999995959e-01 +9.9999999999995970e-01 +9.9999999999995970e-01 +9.9999999999995970e-01 +9.9999999999995992e-01 +3.3109011906779160e-08 +3.2912392184881659e-08 +3.2715510581195663e-08 +3.2518377092024596e-08 +3.2321001736158272e-08 +3.2123394554770968e-08 +3.1925565611298491e-08 +3.1727524991295739e-08 +3.1529282802274047e-08 +3.1330849173519225e-08 +3.1132234255889949e-08 +3.0933448221597584e-08 +3.0734501263967085e-08 +3.0535403597179359e-08 +3.0336165455995499e-08 +3.0136797095463027e-08 +2.9937308790604510e-08 +2.9737710836088572e-08 +2.9538013545883334e-08 +2.9338227252893764e-08 +2.9138362308580944e-08 +2.8938429082565773e-08 +2.8738437962215663e-08 +2.8538399352215085e-08 +2.8338323674120660e-08
4.50000000 +2.5000000000000128e+01 +1.9999999999138824e+00 +1.8377260529776327e-03 +9.9999933000541108e-01 +9.9999999999996425e-01 +9.9999999999996425e-01 +9.9999999999996425e-01 +9.9999999999996425e-01 +9.9999999999996436e-01 +9.9999999999996447e-01 +9.9999999999996447e-01 +9.9999999999996447e-01 +9.9999999999996458e-01 +9.9999999999996458e-01 +9.9999999999996469e-01 +9.9999999999996469e-01 +9.9999999999996481e-01 +9.9999999999996481e-01 +9.9999999999996481e-01 +9.9999999999996503e-01 +9.9999999999996514e-01 +9.9999999999996514e-01 +9.9999999999996514e-01 +9.9999999999996525e-01 +9.9999999999996547e-01 +9.9999999999996547e-01 +9.9999999999996558e-01 +9.9999999999996558e-01 +2.9705231601602548e-08 +2.9461890081866648e-08 +2.9218618733423144e-08 +2.8975433848815729e-08 +2.8732351718377396e-08 +2.8489388629412696e-08 +2.8246560865348218e-08 +2.8003884704853226e-08 +2.7761376420929854e-08 +2.7519052279974065e-08 +2.7276928540807009e-08 +2.7035021453678695e-08 +2.6793347259243240e-08 +2.6551922187506648e-08 +2.6310762456747671e-08 +2.6069884272412252e-08 +2.5829303825981796e-08 +2.5589037293816086e-08 +2.5349100835970501e-08 +2.5109510594989864e-08 +2.4870282694676477e-08 +2.4631433238835805e-08 +2.4392978309998066e-08 +2.4154933968117090e-08 +2.3917316249247217e-08
