# Full Poisson: exact (1,1) sector + all sampled higher sectors; time_au orbital_0..9
0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 9.999994900368153194e-01 9.999999999999810152e-01 9.999999999999811262e-01 9.999999999999811262e-01 9.999999999999812372e-01 1.036092555396861392e-07 1.028234426146767971e-07 1.020150855589114291e-07 1.011842930492468583e-07 1.003311833763946699e-07
4.000000000000000000e+00 9.999991768828404570e-01 9.999999999998155920e-01 9.999999999998171463e-01 9.999999999998187006e-01 9.999999999998202549e-01 1.775313582888860708e-07 1.711090859605729669e-07 1.646491460083360295e-07 1.581636122877360149e-07 1.516646852670460069e-07
6.000000000000000000e+00 9.999997938699867195e-01 9.999999999996042055e-01 9.999999999996113109e-01 9.999999999996185274e-01 9.999999999996261879e-01 5.506778094969738027e-08 4.763914061975118286e-08 4.070584881358362794e-08 3.429375333770052163e-08 2.842502940003059662e-08
8.000000000000000000e+00 9.999998658105895277e-01 9.999999999995736744e-01 9.999999999995813349e-01 9.999999999995892175e-01 9.999999999995974331e-01 1.720715940666871125e-08 2.155915245377061131e-08 2.641434130743556830e-08 3.169487822270408070e-08 3.731553735619178969e-08
1.000000000000000000e+01 9.999992521117422317e-01 9.999999999993752775e-01 9.999999999993686162e-01 9.999999999993630651e-01 9.999999999993586242e-01 1.452586826137538550e-07 1.485979293405772032e-07 1.507931624826496943e-07 1.517689820231715937e-07 1.514720356953357679e-07
1.200000000000000000e+01 9.999994100812381603e-01 9.999999999987816413e-01 9.999999999987686516e-01 9.999999999987596588e-01 9.999999999987549959e-01 1.461753165686855380e-07 1.324777013725499494e-07 1.182417225010164595e-07 1.037452703972289453e-07 8.928368594556392529e-08
1.400000000000000000e+01 9.999999200586242587e-01 9.999999999983656407e-01 9.999999999983614218e-01 9.999999999983638643e-01 9.999999999983733012e-01 2.574017037041102712e-08 1.839260446535483638e-08 1.348909332144744251e-08 1.110316859851038937e-08 1.122287477322724608e-08
1.600000000000000000e+01 9.999995918330072397e-01 9.999999999982777110e-01 9.999999999982495114e-01 9.999999999982290833e-01 9.999999999982173149e-01 5.735263650568053618e-08 6.954223624969517234e-08 8.199843819833455605e-08 9.409149594648605110e-08 1.051892122174711477e-07
1.800000000000000000e+01 9.999992510418190816e-01 9.999999999979575227e-01 9.999999999978794740e-01 9.999999999978167464e-01 9.999999999977720044e-01 1.593613430228316608e-07 1.580767890980703172e-07 1.532079707248314790e-07 1.448833222725489356e-07 1.334373300929268580e-07
