rank,case_id,wc_eV,eta,ntraj_per_run,independent_repeats,time_end,required_until,required_Q,tail_window_start,tail_Q,signal_rms,signal_peak,repeat_noise_rms,particle_number_max_error,passes_required_interval,Q_0_10,Q_10_20,Q_20_30,Q_30_40,Q_40_50,Q_50_60,Q_60_70,Q_70_75
1,t75_w45_e120,4.5,0.00012,8000000,4,75.0,60.0,2.5892514197522307,55.0,1.115138135343781,9.431574857513318e-05,0.00013906896092681515,4.1663592723053606e-05,7.960210268720402e-11,True,72.63935294643245,19.32762188199822,6.9643212167614506,4.797331291102435,2.5892514197522307,2.923150963834678,1.5947147488497164,1.115138135343781
2,t75_w44_e115,4.4,0.000115,8000000,4,75.0,60.0,2.389259848429879,55.0,1.21745036460831,9.552325663497098e-05,0.0001791613416970244,4.789912607547934e-05,6.913403183261835e-11,True,68.18435412478733,18.717702826404384,6.925014906944206,3.5000389186088343,2.389259848429879,2.4427577402009026,1.21745036460831,1.3511603422290814
3,t75_w46_e125,4.6,0.000125,8000000,4,75.0,60.0,2.102704135289652,55.0,1.4914468755684274,0.00010711207544697031,0.00027546262017929017,4.878304187599377e-05,6.491251980378365e-11,True,64.21911338288045,19.604344878634645,7.29573873775565,4.197704869445016,2.7194819061888835,2.102704135289652,1.4914468755684274,1.7111236608939635
4,t75_w42_e105,4.2,0.000105,8000000,4,75.0,60.0,2.0093230608444017,55.0,1.4829296955302822,8.51316185021111e-05,0.0002199264651751207,3.9352609229430825e-05,6.981970557262684e-11,True,64.47589672869502,20.24526513739129,6.451284900304611,4.148742393953465,3.4133059930269014,2.0093230608444017,1.5931984724050106,1.4829296955302822
5,t75_w82_e057,8.2,5.7e-05,8000000,4,75.0,60.0,1.5784603869037896,55.0,1.3390590112129286,3.609665336070521e-05,7.016077794643109e-05,1.7768539632337144e-05,8.019096497946521e-11,False,56.37401605706619,12.550508592708276,6.699703215367878,3.6506806144440227,2.693676818945476,1.5784603869037896,1.4596371435677604,1.3390590112129286
