#PATCH_CHECK: SepMBpoisson v0.60 fullmb-kondo adaptive-t500 active
#discretizing the bath:
#     0 0.0000000000000000e+00 -9.1873305439137479e-02
#     1 4.0824829046386306e-03 -1.6665817606659536e-01
#     2 4.0824829046386306e-03 -1.6537331398261937e-01
#     3 4.0824829046386306e-03 -1.6408572351429951e-01
#adaptive measurement: gap=1.2848620839759906e-03 period_steps=9781 nmeas=200 nwf=200 tmax=1.0000000000000000e+02 forced_stride=1
  0.00000000 +2.0000000000000000e+00 +1.9999999999999998e+00 +1.8374661879283106e-03 +1.0000000000000000e+00 +1.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00
  0.50000000 +2.0000000000000000e+00 +1.9999999999703428e+00 +1.8407719227431342e-03 +9.9999160753975613e-01 +9.9999999999934053e-01 +4.1735919659657342e-06 +4.2188676184564860e-06
  1.00000000 +2.0000000000000000e+00 +1.9999999995177999e+00 +1.8506440420195652e-03 +9.9996653971719707e-01 +9.9999999997465439e-01 +1.6763317148501497e-05 +1.6696991340828458e-05
  1.50000000 +2.0000000000000000e+00 +1.9999999922411833e+00 +1.8670137177878845e-03 +9.9992495608053455e-01 +9.9999999969293585e-01 +3.7715521076282912e-05 +3.7328704095995035e-05
  2.00000000 +2.0000000000000000e+00 +1.9999999812573264e+00 +1.8891249306153032e-03 +9.9986875356631932e-01 +9.9999999845120868e-01 +6.5751031743606090e-05 +6.5496951997882487e-05
  2.50000000 +2.0000000000000000e+00 +1.9999999781821189e+00 +1.9169835481988352e-03 +9.9979788621646060e-01 +9.9999999585114940e-01 +1.0100886663444003e-04 +1.0110906617566083e-04
  3.00000000 +2.0000000000000000e+00 +1.9999999928876440e+00 +1.9490621863799203e-03 +9.9971619181388416e-01 +9.9999999089111791e-01 +1.4179988660129782e-04 +1.4201740967036708e-04
  3.50000000 +2.0000000000000000e+00 +1.9999999381448561e+00 +1.9850995455095179e-03 +9.9962428744356324e-01 +9.9999998294778891e-01 +1.8770828488360385e-04 +1.8802132241541874e-04
  4.00000000 +2.0000000000000000e+00 +1.9999999105219348e+00 +2.0236405760315377e-03 +9.9952582183613381e-01 +9.9999997032194898e-01 +2.3738342239269645e-04 +2.3682441826982468e-04
  4.50000000 +2.0000000000000000e+00 +2.0000000841698511e+00 +2.0642643700552747e-03 +9.9942187080798728e-01 +9.9999995471416092e-01 +2.8938112262588559e-04 +2.8879335655703956e-04
  5.00000000 +2.0000000000000000e+00 +2.0000002471107874e+00 +2.1065819223260508e-03 +9.9931333518660803e-01 +9.9999993228501738e-01 +3.4346018181284052e-04 +3.4327234645075561e-04
  5.50000000 +2.0000000000000000e+00 +1.9999999905627555e+00 +2.1480474972862562e-03 +9.9920659402141887e-01 +9.9999989725318039e-01 +3.9738547816525971e-04 +3.9612324713100659e-04
  6.00000000 +2.0000000000000000e+00 +1.9999999759919564e+00 +2.1887131588855277e-03 +9.9910161031982392e-01 +9.9999985759613652e-01 +4.5002306425899241e-04 +4.4850902140005543e-04
  6.50000000 +2.0000000000000000e+00 +2.0000003059280682e+00 +2.2266836585567657e-03 +9.9900306577992659e-01 +9.9999980079983664e-01 +5.0078465420135010e-04 +4.9634876603055678e-04
  7.00000000 +2.0000000000000000e+00 +2.0000002782300630e+00 +2.2613888916355410e-03 +9.9891246945665446e-01 +9.9999974294217542e-01 +5.4535541100571186e-04 +5.4243219144907407e-04
  7.50000000 +2.0000000000000000e+00 +2.0000002777884895e+00 +2.2921389807874369e-03 +9.9883160418217387e-01 +9.9999968157298591e-01 +5.8662385617866484e-04 +5.8209038831105102e-04
  8.00000000 +2.0000000000000000e+00 +1.9999998905037764e+00 +2.3183850532302701e-03 +9.9876182459341911e-01 +9.9999959966366680e-01 +6.1909416301453258e-04 +6.1948158025696537e-04
  8.50000000 +2.0000000000000000e+00 +1.9999992394038573e+00 +2.3363534736130314e-03 +9.9871270546301660e-01 +9.9999951035631263e-01 +6.4462684836470621e-04 +6.4315733381982247e-04
  9.00000000 +2.0000000000000000e+00 +1.9999996439715837e+00 +2.3527351349033718e-03 +9.9866742323186741e-01 +9.9999942918470097e-01 +6.7326335956952585e-04 +6.5988422501996058e-04
