round,rank,selection_status,case_id,wc_eV,eta,required_until,required_Q,bottleneck_window,passes_required_interval,independent_repeats,ntraj_per_run
4,1,retained,s4r2_wc0p25_eta6em5,0.25,6e-05,100.0,2.1841203429539817,90-100,False,6,1000000
4,2,retained,s4r3_wc0p11_eta3p5em5,0.11,3.5e-05,100.0,2.091444354807193,90-100,False,6,1000000
4,3,retained,s4r1_wc0p20_eta8em5,0.2,8e-05,100.0,2.076895960032684,90-100,False,3,1000000
4,4,retained,s4r1_wc0p12_eta3em5,0.12,3e-05,100.0,2.0633028379286227,90-100,False,6,1000000
4,5,retained,s4r3_wc0p07_eta4em5,0.07,4e-05,100.0,2.055648057585252,90-100,False,3,1000000
4,6,retained,s4r3_wc0p10_eta3p5em5,0.1,3.5e-05,100.0,2.0526736297899544,80-90,False,3,1000000
4,7,retained,s4r3_wc0p06_eta4p5em5,0.06,4.5e-05,100.0,2.0430327833734387,90-100,False,3,1000000
4,8,retained,s4r2_wc0p18_eta4em5,0.18,4e-05,100.0,2.028431090873628,90-100,False,3,1000000
4,9,retained,s4r3_wc0p07_eta5em5,0.07,5e-05,100.0,2.0261967458244112,90-100,False,6,1000000
4,10,retained,s4r2_wc0p08_eta4em5,0.08,4e-05,100.0,2.022459776208412,90-100,False,6,1000000
4,11,eliminated,s4r2_wc0p30_eta8em5,0.3,8e-05,100.0,2.020927504979962,90-100,False,6,1000000
4,12,eliminated,s4r3_wc0p10_eta4p5em5,0.1,4.5e-05,100.0,1.9837681581927153,90-100,False,3,1000000
4,13,eliminated,s4r3_wc0p09_eta3p5em5,0.09,3.5e-05,100.0,1.981839453795495,90-100,False,3,1000000
4,14,eliminated,s4r1_wc0p40_eta8em5,0.4,8e-05,100.0,1.9761478440580222,90-100,False,6,1000000
4,15,eliminated,s4r2_wc0p12_eta4em5,0.12,4e-05,100.0,1.963575031275126,90-100,False,3,1000000
4,16,eliminated,s4r3_wc0p08_eta3p5em5,0.08,3.5e-05,100.0,1.9412518672427994,90-100,False,3,1000000
4,17,eliminated,s4r3_wc0p09_eta4em5,0.09,4e-05,100.0,1.922664746689899,90-100,False,6,1000000
4,18,eliminated,s4r3_wc0p09_eta4p5em5,0.09,4.5e-05,100.0,1.9178809931288938,90-100,False,6,1000000
4,19,eliminated,s4r2_wc0p50_eta1em4,0.5,0.0001,100.0,1.9130169552425935,90-100,False,3,1000000
4,20,eliminated,s4r2_wc0p10_eta4em5,0.1,4e-05,100.0,1.911863414370731,90-100,False,6,1000000
4,21,eliminated,s4r2_wc0p12_eta5em5,0.12,5e-05,100.0,1.8896448489498445,90-100,False,3,1000000
4,22,eliminated,s4r3_wc0p11_eta4p5em5,0.11,4.5e-05,100.0,1.8759958346625933,90-100,False,3,1000000
4,23,eliminated,s4r1_wc0p12_eta8em5,0.12,8e-05,100.0,1.8751367699267125,90-100,False,3,1000000
4,24,eliminated,s4r2_wc0p12_eta2em5,0.12,2e-05,100.0,1.8696734846269272,90-100,False,3,1000000
4,25,eliminated,s4r2_wc0p15_eta5em5,0.15,5e-05,100.0,1.8642910867178748,90-100,False,3,1000000
4,26,eliminated,s4r3_wc0p08_eta4p5em5,0.08,4.5e-05,100.0,1.8525257285808558,90-100,False,3,1000000
4,27,eliminated,s4r2_wc0p10_eta2em5,0.1,2e-05,100.0,1.8449994514604227,80-90,False,3,1000000
4,28,eliminated,s4r2_wc0p15_eta2em5,0.15,2e-05,100.0,1.8418026093545252,90-100,False,3,1000000
4,29,eliminated,s4r1_wc0p05_eta3em5,0.05,3e-05,100.0,1.8328344281355895,90-100,False,3,1000000
4,30,eliminated,s4r3_wc0p06_eta3em5,0.06,3e-05,100.0,1.8043783388547965,90-100,False,3,1000000
4,31,eliminated,s4r3_wc0p07_eta3em5,0.07,3e-05,100.0,1.613791685809595,90-100,False,3,1000000
4,32,eliminated,s4r2_wc0p08_eta2em5,0.08,2e-05,100.0,1.5844840034501368,90-100,False,3,1000000
4,33,eliminated,s4r2_wc0p15_eta3em5,0.15,3e-05,100.0,1.4872684672214347,90-100,False,3,1000000
