case_id,origin,wc_eV,eta,delE_eV,ntraj,back_replicas,mpi_ranks,nstep,dt,tmax,qm_job_id,qm_seconds,poisson_job_id,poisson_seconds,qm_path,poisson_path,Q_active_0_200,amplitude_ratio_active,cosine_active,max_particle_error,Q_active_0_50,min_orbital_Q_0_50,Q_active_50_100,min_orbital_Q_50_100,Q_active_100_150,min_orbital_Q_100_150,Q_active_150_200,min_orbital_Q_150_200,min_Q_active_0_150,strict_min_orbital_Q_0_150,target_Q,projected_multiplier,projected_ntraj_Q10,projected_seconds_same_ranks_Q10,passes_Q10,rank
c01_hist_best,historical_v061_best,3.351907,3.1184e-5,-17.194874968839816,25000,256,64,400,0.5,200,645035,194,645043,42,E:\project_qm\scan_v071_q10_t200_20260811\coarse\c01_hist_best\qm\ahm-qm-s10-n5.dat,E:\project_qm\scan_v071_q10_t200_20260811\coarse\c01_hist_best\poisson\ahm-sepmb-s10-n5-25000.dat,0.7959366708576177,1.484140306397447,0.5471781579089394,6.416556175281585e-11,5.248714568642915,4.618796433883649,2.6477481605991686,1.6919978317239495,1.1849611012337942,0.6451296211763047,0.4196031765998653,0.23376977601911045,1.1849611012337942,0.6451296211763047,10.0,71.21833432383407,1780458.3580958517,2991.170041601031,False,1
c05_random_low,random_seed_20260811_01,3.332184,3.0707e-5,-17.194874968839816,25000,256,64,400,0.5,200,645039,182,645047,41,E:\project_qm\scan_v071_q10_t200_20260811\coarse\c05_random_low\qm\ahm-qm-s10-n5.dat,E:\project_qm\scan_v071_q10_t200_20260811\coarse\c05_random_low\poisson\ahm-sepmb-s10-n5-25000.dat,0.7906479663162129,1.6098173867837553,0.6186508920093814,5.921485524140735e-11,12.823652338508381,8.990563608651192,3.030290665514669,1.8797170483226795,1.1411662282136505,0.6379153375749064,0.4154095145236197,0.23547488609800377,1.1411662282136505,0.6379153375749064,10.0,76.78955993723402,1919738.9984308504,3148.3719574265947,False,2
c03_hist_d01,historical_v061_candidate,3.389460,2.9610e-5,-17.194874968839816,25000,256,64,400,0.5,200,645037,194,645045,38,E:\project_qm\scan_v071_q10_t200_20260811\coarse\c03_hist_d01\qm\ahm-qm-s10-n5.dat,E:\project_qm\scan_v071_q10_t200_20260811\coarse\c03_hist_d01\poisson\ahm-sepmb-s10-n5-25000.dat,0.817998199630102,1.5919119791937735,0.6406402780156772,5.4791726711300726e-11,12.261725373597596,8.816475330531306,3.07949920483347,1.9749197750708456,1.0983614961029113,0.6078184919300311,0.4345077877413097,0.24262014636971138,1.0983614961029113,0.6078184919300311,10.0,82.89138574444597,2072284.6436111492,3149.8726582889467,False,3
c00_current,current_v071,3.367556,3.2920651000724556e-5,-17.194874968839816,25000,256,64,400,0.5,200,645034,195,645042,47,E:\project_qm\scan_v071_q10_t200_20260811\coarse\c00_current\qm\ahm-qm-s10-n5.dat,E:\project_qm\scan_v071_q10_t200_20260811\coarse\c00_current\poisson\ahm-sepmb-s10-n5-25000.dat,0.762944036902597,1.672101905774603,0.6213612044313415,6.280487241383526e-11,7.094977734295532,6.073577568158608,3.0401318313930226,1.8463074034342017,1.0899332830274824,0.5518658320435178,0.4021036676058199,0.23031574209291525,1.0899332830274824,0.5518658320435178,10.0,84.17830382152977,2104457.595538244,3956.380279611899,False,4
c02_hist_b24,historical_v061_runner_up,3.407263,3.0376e-5,-17.194874968839816,25000,256,64,400,0.5,200,645036,194,645044,37,E:\project_qm\scan_v071_q10_t200_20260811\coarse\c02_hist_b24\qm\ahm-qm-s10-n5.dat,E:\project_qm\scan_v071_q10_t200_20260811\coarse\c02_hist_b24\poisson\ahm-sepmb-s10-n5-25000.dat,0.8482049086870388,1.665820349968462,0.7158664526084799,5.5785598362945166e-11,7.719191719181747,6.23639891281368,2.7268772562578665,1.7973148850424463,1.0806500012460192,0.6184250366994942,0.4569614121247516,0.22840834672928925,1.0806500012460192,0.6184250366994942,10.0,85.6307767317044,2140769.41829261,3168.3387390730627,False,5
c07_random_high,random_seed_20260811_03,3.421608,3.2286e-5,-17.194874968839816,25000,256,64,400,0.5,200,645041,193,645049,40,E:\project_qm\scan_v071_q10_t200_20260811\coarse\c07_random_high\qm\ahm-qm-s10-n5.dat,E:\project_qm\scan_v071_q10_t200_20260811\coarse\c07_random_high\poisson\ahm-sepmb-s10-n5-25000.dat,0.7920096555877326,1.6031246089782232,0.6162410247864205,6.274714081655475e-11,12.101934335561024,9.190193654522908,3.0193993345352017,1.983469364778237,1.0624596813356157,0.6017853982099823,0.42095207090669445,0.1882256429076528,1.0624596813356157,0.6017853982099823,10.0,88.58803804803331,2214700.9512008326,3543.5215219213324,False,6
c06_random_mid,random_seed_20260811_02,3.376921,3.1593e-5,-17.194874968839816,25000,256,64,400,0.5,200,645040,192,645048,38,E:\project_qm\scan_v071_q10_t200_20260811\coarse\c06_random_mid\qm\ahm-qm-s10-n5.dat,E:\project_qm\scan_v071_q10_t200_20260811\coarse\c06_random_mid\poisson\ahm-sepmb-s10-n5-25000.dat,0.8014638937369757,1.6117931648862984,0.6331705358564261,6.640465954887986e-11,10.938151476944205,8.738497269102911,3.1390384765478987,1.8977765054114146,1.0408319408437106,0.4779628189609571,0.42776174759559904,0.21468080595880262,1.0408319408437106,0.4779628189609571,10.0,92.30788012606861,2307697.0031517153,3507.6994447906072,False,7
c04_hist_prev,historical_v061_candidate,3.363696,3.2474e-5,-17.194874968839816,25000,256,64,400,0.5,200,645038,194,645046,48,E:\project_qm\scan_v071_q10_t200_20260811\coarse\c04_hist_prev\qm\ahm-qm-s10-n5.dat,E:\project_qm\scan_v071_q10_t200_20260811\coarse\c04_hist_prev\poisson\ahm-sepmb-s10-n5-25000.dat,0.7777682291768645,1.691679837571732,0.6528064028552661,6.148770381741997e-11,12.813778682756798,9.89113133100661,3.2136863022415234,1.9863989165429703,0.9357152798729346,0.5686009631315908,0.4197070307487358,0.22417897820588079,0.9357152798729346,0.5686009631315908,10.0,114.21221578957568,2855305.394739392,5482.186357899633,False,8
