window_start,window_stop,orbital,Q,signal_rms,error_rms,amplitude_ratio,cosine
0.0,50.0,0,337.74987960921067,3.1909495974581246e-06,9.447670569565187e-09,1.0019458540545996,0.9999975149275595
0.0,50.0,5,329.23163442479535,6.839848994058696e-07,2.0775187676022327e-09,1.0022789134623433,0.9999979884833176
0.0,50.0,6,346.8756620181868,6.637701996029031e-07,1.913568094518264e-09,1.0020669329791954,0.9999979847802978
0.0,50.0,7,354.1242622675975,6.436939232395248e-07,1.8177063585468513e-09,1.0018896691241406,0.9999978024634489
0.0,50.0,8,350.20944057235283,6.242038780584858e-07,1.7823730766319135e-09,1.0017977708976809,0.9999975436539247
0.0,50.0,9,339.4081817379591,6.057161648037999e-07,1.7846245240824644e-09,1.0018267964673144,0.9999973331081573
50.0,100.0,0,187.23798595716866,2.9083249464350453e-06,1.5532772004396238e-08,1.002587828919673,0.9999891145447589
50.0,100.0,5,89.73138218436455,6.151667003889401e-07,6.855647215207293e-09,1.0048001014087795,0.9999496635810157
50.0,100.0,6,83.46763332939209,5.978811622397052e-07,7.1630300080542574e-09,1.003794603021373,0.9999356751040788
50.0,100.0,7,136.90286809614173,5.817138426444289e-07,4.249099019867963e-09,1.0022205683014258,0.9999758416204841
50.0,100.0,8,128.832256789254,5.662613784844682e-07,4.395338501372123e-09,1.0007181389011626,0.9999701547304201
50.0,100.0,9,79.06705880550693,5.510381152277456e-07,6.969250197901208e-09,0.9997549849741441,0.9999200308945972
100.0,150.0,0,104.00905607338235,2.910395397225556e-06,2.7982134509250434e-08,0.9928168264684348,0.9999794314828786
100.0,150.0,5,79.16701906923089,6.175691863443666e-07,7.800839208108967e-09,0.9931882136679687,0.9999430344965737
100.0,150.0,6,84.11415085264518,5.992377790615065e-07,7.1241018661803675e-09,0.9918935605447278,0.9999618786755904
100.0,150.0,7,97.83157780432035,5.818183920976337e-07,5.947143091787486e-09,0.9924584676899453,0.9999760154253723
100.0,150.0,8,135.0349467088144,5.651530772373089e-07,4.185235681663868e-09,0.9950702277724491,0.9999846550359811
100.0,150.0,9,163.11079815511044,5.489770055700533e-07,3.365669298288902e-09,0.9985176976946615,0.9999822789758493
150.0,200.0,0,70.17052851490598,2.910395769692149e-06,4.1476041741283276e-08,0.997409748540284,0.9999015542425426
150.0,200.0,5,60.70509737889008,6.179026506760332e-07,1.0178760554808138e-08,1.0022014978509386,0.999867034816408
150.0,200.0,6,57.00126739883693,5.991208267073604e-07,1.0510657991432397e-08,0.9986314932482416,0.999846840142809
150.0,200.0,7,55.59669002575347,5.818075536213906e-07,1.0464787622282659e-08,0.9956764751177607,0.9998469242368899
150.0,200.0,8,55.92696966534012,5.651969441282873e-07,1.0105981917317424e-08,0.9934040988695775,0.9998609805545413
150.0,200.0,9,59.85537834171558,5.489530161466475e-07,9.17132313511851e-09,0.9941614260087952,0.9998767640889672
200.0,250.0,0,49.18901382002993,2.9103952680824624e-06,5.9167587273265066e-08,0.9936811173477587,0.9998121277750992
200.0,250.0,5,45.867139213573566,6.181003246305156e-07,1.347588568261087e-08,0.9873318686718162,0.999840555103595
200.0,250.0,6,47.254851218259205,5.98963307917087e-07,1.2675170749149422e-08,0.9903137313133239,0.9998212687466863
200.0,250.0,7,46.25844134238457,5.819036402125206e-07,1.257940439249837e-08,0.9931238675161986,0.999788524506329
200.0,250.0,8,44.79223592486412,5.651530567233973e-07,1.2617210216328619e-08,0.9968246050431989,0.9997550543093915
200.0,250.0,9,37.39713794568735,5.489658469273508e-07,1.4679354546452872e-08,1.0006011545341162,0.999642881197057
250.0,300.0,0,85.72997003659958,2.9103919146736417e-06,3.3948360339227295e-08,1.0100139910328467,0.9999822867324385
250.0,300.0,5,42.391023708121345,6.180846820488866e-07,1.458055569274853e-08,1.0084504934440535,0.9997594961109177
250.0,300.0,6,73.88445331023621,5.989757384812875e-07,8.106925227777293e-09,1.0064683659149833,0.9999297807468845
250.0,300.0,7,108.07492828239116,5.81892700616263e-07,5.384159951472037e-09,1.0063842393081954,0.9999777140124786
250.0,300.0,8,71.84386939637217,5.651632849565719e-07,7.866548526757252e-09,1.009728979799724,0.9999509336054964
250.0,300.0,9,56.54931843934658,5.489576436193478e-07,9.707590803382474e-09,1.0164624455254425,0.9999794874893614
300.0,350.0,0,28.0563838328827,2.910387283623426e-06,1.0373351394673991e-07,1.0259510513141947,0.9997090837798267
300.0,350.0,5,18.30004251016921,6.179725291710629e-07,3.376891222125084e-08,1.0447463825710228,0.9995291668327969
300.0,350.0,6,19.9590566542205,5.990880424949041e-07,3.001584959017701e-08,1.0387212711081162,0.9995133773871516
300.0,350.0,7,24.745259279425415,5.818109207807517e-07,2.3512015542488237e-08,1.0353116762799652,0.9998134872933936
300.0,350.0,8,30.93416719724683,5.652005420137884e-07,1.827107671623666e-08,1.0284242959144883,0.9998847382878373
300.0,350.0,9,38.83894131077529,5.489564948084867e-07,1.4134177613543416e-08,1.0198935754851413,0.9998690197009749
350.0,400.0,0,23.157731176218242,2.910351837110534e-06,1.2567517149949951e-07,1.0276107159921082,0.9994636372963237
350.0,400.0,5,31.8738858712852,6.176244040658008e-07,1.9377129182175155e-08,1.0084937239193434,0.9995477600543681
350.0,400.0,6,20.50829872112529,5.99232160551488e-07,2.9219008787609865e-08,1.0273643099606093,0.9992072894019209
350.0,400.0,7,22.09316461419151,5.818449957870925e-07,2.6335973408415434e-08,1.0279213044337967,0.9993826725845115
350.0,400.0,8,17.17256062556192,5.651611189644286e-07,3.2910707452863365e-08,1.0333870754453092,0.9988986123424152
350.0,400.0,9,18.518898461879132,5.489466429237564e-07,2.9642510544228895e-08,1.0335107099257599,0.9991326105032431
400.0,450.0,0,33.644268030098964,2.9098331079255804e-06,8.648822751389255e-08,0.9798161143274988,0.999757070574955
400.0,450.0,5,49.91569630855906,6.17232073937902e-07,1.2365490608854132e-08,0.9995657463906864,0.9997993310077832
400.0,450.0,6,41.69814145534817,5.992399821863637e-07,1.4370903864577533e-08,0.9841027339488354,0.9998361920503519
400.0,450.0,7,41.11611109007674,5.819188379353386e-07,1.4153061233356358e-08,0.9859336644887448,0.9998003582392224
400.0,450.0,8,24.378489010419095,5.651675600677585e-07,2.318304304365263e-08,0.9745006479300407,0.999470290483565
400.0,450.0,9,22.136804785784577,5.489021216343755e-07,2.479590559459872e-08,0.9668190556524099,0.9995140339482824
450.0,500.0,0,25.444641000231428,2.906141059063158e-06,1.1421426849908104e-07,1.0075576718993735,0.999261853318813
450.0,500.0,5,18.99681828259216,6.164763293380603e-07,3.245155689587092e-08,1.0332277869205404,0.9991933408669924
450.0,500.0,6,24.396454566006486,5.986971448298099e-07,2.4540334055917374e-08,1.00764206764033,0.9991952782188975
450.0,500.0,7,22.82614294179752,5.814707819882522e-07,2.5473895588531803e-08,1.0046156646584554,0.9990553797495808
450.0,500.0,8,24.409672686955844,5.64757614523961e-07,2.313663201333129e-08,1.0105489116947806,0.9992246562546379
450.0,500.0,9,20.330869938902186,5.485106201440177e-07,2.697920068311823e-08,1.007669128017602,0.9988287448625739
