#PATCH_CHECK: SepMBpoisson v0.60 fullmb-kondo adaptive-t500 active
#discretizing the bath:
#     0 0.0000000000000000e+00 -9.1873305439137479e-02
#     1 3.1622776601683794e-03 -1.6757690912098674e-01
#     2 3.1622776601683794e-03 -1.6537595891785956e-01
#     3 3.1622776601683794e-03 -1.6316699045990815e-01
#adaptive measurement: gap=2.2009502031271888e-03 period_steps=5710 nmeas=200 nwf=200 tmax=1.0000000000000000e+02 forced_stride=1
  0.00000000 +2.0000000000000000e+00 +1.9999999999999998e+00 +1.8374661879283106e-03 +1.0000000000000000e+00 +1.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00
  0.50000000 +2.0000000000000000e+00 +1.9999999999835247e+00 +1.8393882613705565e-03 +9.9999512032132409e-01 +9.9999999999999867e-01 +2.4215425314403579e-06 +2.4581361439391280e-06
  1.00000000 +2.0000000000000000e+00 +1.9999999993063817e+00 +1.8452898965229895e-03 +9.9998013454291879e-01 +9.9999999998799982e-01 +9.7595222099607301e-06 +1.0105948267565867e-05
  1.50000000 +2.0000000000000000e+00 +1.9999999955467422e+00 +1.8549489324727476e-03 +9.9995559780475729e-01 +9.9999999988582877e-01 +2.2012452412257754e-05 +2.2389857351737278e-05
  2.00000000 +2.0000000000000000e+00 +1.9999999944722822e+00 +1.8680033807607814e-03 +9.9992241566484752e-01 +9.9999999948882479e-01 +3.8458488656643317e-05 +3.9126357681820066e-05
  2.50000000 +2.0000000000000000e+00 +1.9999999589989461e+00 +1.8841484538646828e-03 +9.9988134237991788e-01 +9.9999999872487799e-01 +5.8983391429223264e-05 +5.9675502480105864e-05
  3.00000000 +2.0000000000000000e+00 +1.9999999432139539e+00 +1.9033656941974573e-03 +9.9983240063840118e-01 +9.9999999739497847e-01 +8.3533906119380579e-05 +8.4068060852797352e-05
  3.50000000 +2.0000000000000000e+00 +1.9999999665926840e+00 +1.9247969294291976e-03 +9.9977775512075784e-01 +9.9999999518470950e-01 +1.1091063070103837e-04 +1.1133906222169527e-04
  4.00000000 +2.0000000000000000e+00 +2.0000000156321476e+00 +1.9480329041102172e-03 +9.9971840158939718e-01 +9.9999999058219147e-01 +1.4050469379201902e-04 +1.4110313588810557e-04
  4.50000000 +2.0000000000000000e+00 +2.0000000711544619e+00 +1.9727277100880171e-03 +9.9965520617357218e-01 +9.9999998589343675e-01 +1.7262051035225683e-04 +1.7218742228395471e-04
  5.00000000 +2.0000000000000000e+00 +2.0000002930173273e+00 +1.9980943903620983e-03 +9.9959014742294716e-01 +9.9999997739045632e-01 +2.0508568750567525e-04 +2.0478949906060123e-04
  5.50000000 +2.0000000000000000e+00 +2.0000002227291032e+00 +2.0222447220429682e-03 +9.9952796946339462e-01 +9.9999996574724903e-01 +2.3576000787007461e-04 +2.3630477982076802e-04
  6.00000000 +2.0000000000000000e+00 +2.0000001814574420e+00 +2.0459039598308150e-03 +9.9946685476075203e-01 +9.9999995164082534e-01 +2.6662319908313064e-04 +2.6657039809641726e-04
  6.50000000 +2.0000000000000000e+00 +2.0000000467195447e+00 +2.0674838687815560e-03 +9.9941078021930196e-01 +9.9999993532785247e-01 +2.9391088553480221e-04 +2.9537356686109775e-04
  7.00000000 +2.0000000000000000e+00 +2.0000000084444989e+00 +2.0890693734623464e-03 +9.9935457126687255e-01 +9.9999991465653459e-01 +3.2344901596017026e-04 +3.2206506107855667e-04
  7.50000000 +2.0000000000000000e+00 +2.0000002629577547e+00 +2.1056161682132795e-03 +9.9931082627281576e-01 +9.9999989350220608e-01 +3.4373288253030623e-04 +3.4554734199510062e-04
  8.00000000 +2.0000000000000000e+00 +2.0000000905823190e+00 +2.1214011974234411e-03 +9.9926889638220295e-01 +9.9999986266441765e-01 +3.6796679726903807e-04 +3.6327415739044824e-04
  8.50000000 +2.0000000000000000e+00 +1.9999999302640734e+00 +2.1333553908066136e-03 +9.9923655251265664e-01 +9.9999983688898297e-01 +3.8213145937874296e-04 +3.8147913897710326e-04
  9.00000000 +2.0000000000000000e+00 +1.9999996907838389e+00 +2.1453965647878683e-03 +9.9920395751501645e-01 +9.9999979887250789e-01 +3.9841062801138522e-04 +3.9783298449465017e-04
  9.50000000 +2.0000000000000000e+00 +1.9999996109850884e+00 +2.1466183686486328e-03 +9.9919852150798538e-01 +9.9999975199115732e-01 +4.0263608853231971e-04 +3.9909041235442058e-04
 10.00000000 +2.0000000000000000e+00 +1.9999999204554897e+00 +2.1483006780954471e-03 +9.9919208230552081e-01 +9.9999971551172084e-01 +4.0166829143573914e-04 +4.0653389016452189e-04
 10.50000000 +2.0000000000000000e+00 +1.9999994080736827e+00 +2.1428092649235144e-03 +9.9920361161177451e-01 +9.9999966533344431e-01 +3.9794448235596535e-04 +3.9877857245384065e-04
 11.00000000 +2.0000000000000000e+00 +1.9999994947821551e+00 +2.1405802304722546e-03 +9.9920720110450256e-01 +9.9999963430109118e-01 +4.0283594404898584e-04 +3.9032865070470139e-04
 11.50000000 +2.0000000000000000e+00 +1.9999987421828804e+00 +2.1297337200204942e-03 +9.9923281935814823e-01 +9.9999958826462765e-01 +3.8912030899979565e-04 +3.7847206979445459e-04
 12.00000000 +2.0000000000000000e+00 +1.9999987827324923e+00 +2.1171562865724891e-03 +9.9926305460663545e-01 +9.9999955184559863e-01 +3.7592567195340897e-04 +3.6146787430973109e-04
 12.50000000 +2.0000000000000000e+00 +1.9999988940087219e+00 +2.1003795992526222e-03 +9.9930417280946260e-01 +9.9999949955300405e-01 +3.5477522570516321e-04 +3.4155241338840642e-04
 13.00000000 +2.0000000000000000e+00 +1.9999982853002840e+00 +2.0840768115336339e-03 +9.9934416561766659e-01 +9.9999946416414320e-01 +3.3388623567818040e-04 +3.2248398262647778e-04
 13.50000000 +2.0000000000000000e+00 +1.9999983142605986e+00 +2.0739691022188260e-03 +9.9936891840851827e-01 +9.9999943623965382e-01 +3.2072067001283073e-04 +3.1092468181372524e-04
 14.00000000 +2.0000000000000000e+00 +1.9999978494366732e+00 +2.0379574741016741e-03 +9.9945991006267221e-01 +9.9999939283043782e-01 +2.7545957712495913e-04 +2.6523752855819567e-04
 14.50000000 +2.0000000000000000e+00 +1.9999982368762907e+00 +2.0242413928441964e-03 +9.9949494033249886e-01 +9.9999931165437295e-01 +2.5466654573098202e-04 +2.5108146739086939e-04
 15.00000000 +2.0000000000000000e+00 +1.9999984281829375e+00 +1.9981801767580214e-03 +9.9956164158118310e-01 +9.9999927630702479e-01 +2.2188063363915098e-04 +2.1720147850781574e-04
 15.50000000 +2.0000000000000000e+00 +1.9999983848456460e+00 +1.9724954595124159e-03 +9.9962777635158162e-01 +9.9999921585199714e-01 +1.9619508970679202e-04 +1.7681270516370842e-04
 16.00000000 +2.0000000000000000e+00 +1.9999989411422470e+00 +1.9514121376865232e-03 +9.9968335571433498e-01 +9.9999917097501045e-01 +1.6073821128454154e-04 +1.5673509897667445e-04
 16.50000000 +2.0000000000000000e+00 +1.9999999722685731e+00 +1.9425694854300461e-03 +9.9970751793339652e-01 +9.9999919859180353e-01 +1.5104247181415217e-04 +1.4224100301245154e-04
 17.00000000 +2.0000000000000000e+00 +1.9999985450709075e+00 +1.9289738691486262e-03 +9.9974388384830726e-01 +9.9999915303460873e-01 +1.4362580171959288e-04 +1.1333731687222914e-04
 17.50000000 +2.0000000000000000e+00 +1.9999995481402610e+00 +1.9042652316032475e-03 +9.9981024016921027e-01 +9.9999919179482333e-01 +9.6351021318719969e-05 +9.4217013510941575e-05
 18.00000000 +2.0000000000000000e+00 +1.9999972742921202e+00 +1.8980229531843854e-03 +9.9982871595473555e-01 +9.9999919166230877e-01 +8.8377927021322333e-05 +8.3714454446893018e-05
 18.50000000 +2.0000000000000000e+00 +1.9999982667021188e+00 +1.8924993144122007e-03 +9.9984624780526543e-01 +9.9999910237737277e-01 +8.5388054271737240e-05 +6.9261764203892753e-05
 19.00000000 +2.0000000000000000e+00 +2.0000001623944934e+00 +1.8805146938141032e-03 +9.9988016318601725e-01 +9.9999908035175478e-01 +5.0402315647563767e-05 +7.0354145108170255e-05
 19.50000000 +2.0000000000000000e+00 +1.9999991083882473e+00 +1.8758494866211329e-03 +9.9989555345343206e-01 +9.9999898135259224e-01 +4.7604173047088933e-05 +5.7861021047275062e-05
 20.00000000 +2.0000000000000000e+00 +1.9999993901263646e+00 +1.8695837719517547e-03 +9.9991592319661438e-01 +9.9999912925687573e-01 +4.1870881102179387e-05 +4.3076666412530809e-05
 20.50000000 +2.0000000000000000e+00 +1.9999988769048525e+00 +1.8742340449505830e-03 +9.9990835224815044e-01 +9.9999923954936687e-01 +4.1294302589228503e-05 +5.1113898522803602e-05
 21.00000000 +2.0000000000000000e+00 +1.9999975814752424e+00 +1.8846715337587357e-03 +9.9988411692760626e-01 +9.9999905054096205e-01 +5.1203929881224820e-05 +6.5628601645596518e-05
 21.50000000 +2.0000000000000000e+00 +1.9999999735591276e+00 +1.9000955807905895e-03 +9.9984909688547274e-01 +9.9999884355284985e-01 +7.1483767152445213e-05 +8.0575794544423155e-05
 22.00000000 +2.0000000000000000e+00 +1.9999982888093764e+00 +1.9189461429024212e-03 +9.9980326500159256e-01 +9.9999884605660394e-01 +9.3484267934293311e-05 +1.0440467435776059e-04
 22.50000000 +2.0000000000000000e+00 +1.9999985961075948e+00 +1.9303276000396585e-03 +9.9977653991534321e-01 +9.9999901808198433e-01 +1.1146797273108594e-04 +1.1297402947035230e-04
 23.00000000 +2.0000000000000000e+00 +1.9999999116499236e+00 +1.9377195947994188e-03 +9.9976081481124712e-01 +9.9999901158532234e-01 +1.0633419977146946e-04 +1.3383940461690979e-04
 23.50000000 +2.0000000000000000e+00 +2.0000004468069754e+00 +1.9544621772932913e-03 +9.9971823479047528e-01 +9.9999899758583843e-01 +1.4339026811691069e-04 +1.3937735452229630e-04
 24.00000000 +2.0000000000000000e+00 +2.0000005421612164e+00 +1.9773917334920143e-03 +9.9966158326527943e-01 +9.9999896867196125e-01 +1.8224519033051701e-04 +1.5720287348503306e-04
 24.50000000 +2.0000000000000000e+00 +2.0000002150171707e+00 +1.9923869633302490e-03 +9.9962320369980917e-01 +9.9999889909823381e-01 +1.7248755767565831e-04 +2.0540964477261208e-04
 25.00000000 +2.0000000000000000e+00 +1.9999985993937475e+00 +2.0116310327785705e-03 +9.9957370996911454e-01 +9.9999907755585338e-01 +2.1446227551081263e-04 +2.1275019820354550e-04
 25.50000000 +2.0000000000000000e+00 +1.9999962824588560e+00 +2.0324297086481641e-03 +9.9951779624381498e-01 +9.9999884405969275e-01 +2.4501974256756751e-04 +2.3833995442513312e-04
 26.00000000 +2.0000000000000000e+00 +1.9999994645655115e+00 +2.0453089656792770e-03 +9.9948645975211015e-01 +9.9999883502100706e-01 +2.4795069241283820e-04 +2.6675453584818008e-04
 26.50000000 +2.0000000000000000e+00 +1.9999984243906233e+00 +2.0460609675805050e-03 +9.9948123360677055e-01 +9.9999867128349529e-01 +2.6563969673378197e-04 +2.5445541302903030e-04
 27.00000000 +2.0000000000000000e+00 +2.0000003732339495e+00 +2.0684308402066976e-03 +9.9942225670073870e-01 +9.9999880332261926e-01 +3.0831555374574314e-04 +2.7062442380531128e-04
 27.50000000 +2.0000000000000000e+00 +2.0000035081375316e+00 +2.0835674331227245e-03 +9.9938156085437380e-01 +9.9999819525183797e-01 +3.4327881973238134e-04 +2.7696507405609871e-04
 28.00000000 +2.0000000000000000e+00 +1.9999977648194611e+00 +2.0836942979428614e-03 +9.9937659842896653e-01 +9.9999806519548073e-01 +3.1966122705743807e-04 +3.0567514721899919e-04
 28.50000000 +2.0000000000000000e+00 +1.9999993616898732e+00 +2.0992139588402394e-03 +9.9933438638674410e-01 +9.9999854072178940e-01 +3.4922495869897538e-04 +3.1784793273644430e-04
 29.00000000 +2.0000000000000000e+00 +1.9999951573467749e+00 +2.0886407258985744e-03 +9.9935557292694632e-01 +9.9999869682084341e-01 +3.1862636309288158e-04 +3.2710388785172901e-04
 29.50000000 +2.0000000000000000e+00 +1.9999990629098150e+00 +2.1091479565290196e-03 +9.9930087820520741e-01 +9.9999798705091647e-01 +3.5812575561974504e-04 +3.4300898693005852e-04
 30.00000000 +2.0000000000000000e+00 +1.9999970367148610e+00 +2.1013678956746887e-03 +9.9931524457098941e-01 +9.9999794234546979e-01 +3.2880602282493000e-04 +3.5800705947121666e-04
 30.50000000 +2.0000000000000000e+00 +1.9999931272197569e+00 +2.0989043339361829e-03 +9.9931798689229412e-01 +9.9999777518531752e-01 +3.4573506714349005e-04 +3.3850285522136694e-04
 31.00000000 +2.0000000000000000e+00 +1.9999961675753897e+00 +2.1157885832061882e-03 +9.9926955148621788e-01 +9.9999766602698947e-01 +3.7205157841501253e-04 +3.6073090743421644e-04
 31.50000000 +2.0000000000000000e+00 +1.9999942614216781e+00 +2.0782301450870144e-03 +9.9936335393219067e-01 +9.9999785484519321e-01 +3.0837457422866357e-04 +3.3041664887656629e-04
 32.00000000 +2.0000000000000000e+00 +1.9999969861397207e+00 +2.0612340701014736e-03 +9.9940670527019193e-01 +9.9999738404630745e-01 +2.9736769803724811e-04 +2.9854298534148310e-04
 32.50000000 +2.0000000000000000e+00 +1.9999926500617675e+00 +2.0745314994457830e-03 +9.9936762286846181e-01 +9.9999798064767387e-01 +3.2779381823282015e-04 +3.0660266474297101e-04
 33.00000000 +2.0000000000000000e+00 +1.9999950320846855e+00 +2.0406465832511996e-03 +9.9944865789346682e-01 +9.9999794155539612e-01 +2.4066751440545873e-04 +3.1273303722163841e-04
 33.50000000 +2.0000000000000000e+00 +1.9999935411581191e+00 +2.0490480615352295e-03 +9.9942937115680064e-01 +9.9999733316052430e-01 +2.9026981822846297e-04 +2.8302586395338779e-04
 34.00000000 +2.0000000000000000e+00 +1.9999966367022388e+00 +2.0308465701241326e-03 +9.9947535268432841e-01 +9.9999721674116182e-01 +2.7513288617870516e-04 +2.5229768717448188e-04
 34.50000000 +2.0000000000000000e+00 +1.9999918646958588e+00 +2.0022476349691749e-03 +9.9954550258108854e-01 +9.9999628249272465e-01 +2.0444478100855885e-04 +2.5377014645170168e-04
 35.00000000 +2.0000000000000000e+00 +1.9999877605505489e+00 +2.0175310561679118e-03 +9.9950618723122386e-01 +9.9999657053951085e-01 +2.6204140465420480e-04 +2.3520082462300857e-04
 35.50000000 +2.0000000000000000e+00 +1.9999940260202240e+00 +1.9887130379394108e-03 +9.9957892929541814e-01 +9.9999742774258882e-01 +2.9605132081068539e-04 +1.2759164034367940e-04
