#PATCH_CHECK: SepMBpoisson v0.71 direct-grid sampled-backward active
#discretizing the bath:
#     0 0.0000000000000000e+00 -6.3190000000000002e-01
#     1 1.8371475474526023e-03 -2.2797925265254182e-01
#     2 1.8371475474526023e-03 -2.1381512965798163e-01
#     3 1.8371475474526023e-03 -1.9920168001255312e-01
#     4 1.8371475474526023e-03 -1.8415231720916250e-01
#     5 1.8371475474526023e-03 -1.6867932039485331e-01
#     6 1.8371475474526023e-03 -1.5279398580928821e-01
#     7 1.8371475474526023e-03 -1.3650675133923998e-01
#     8 1.8371475474526023e-03 -1.1982730003186270e-01
#     9 1.8371475474526023e-03 -1.0276464692835308e-01
#sampling: jump_strength=4.5928688686315061e-03 jump_probability=4.5718708652630361e-03 log_scale=4.5823538302449682e-03 back_replicas=256 stratify_forward=1 exact_orbitals=1 stratify_single_jump_time=1 sample_back_orbitals=1 exact_back_jumps=1
#adaptive measurement: gap=1.5472996814309192e-02 period_steps=813 nmeas=400 nwf=400 tmax=2.0000000000000000e+02 forced_stride=1
  0.00000000 +5.0000000000000000e+00 +1.9999999999999998e+00 +1.8374661879283106e-03 +1.0000000000000000e+00 +1.0000000000000000e+00 +1.0000000000000000e+00 +1.0000000000000000e+00 +1.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00
  0.50000000 +5.0000000000000000e+00 +1.9999999999937799e+00 +1.8392112936519557e-03 +9.9999556960385261e-01 +1.0000000000043965e+00 +1.0000000000043965e+00 +1.0000000000043965e+00 +1.0000000000043965e+00 +8.8608010039858914e-07 +8.8608010039858914e-07 +8.8608010039858914e-07 +8.8608010039858914e-07 +8.8608010039858914e-07
  1.00000000 +5.0000000000000000e+00 +1.9999999963712725e+00 +1.8441074298870871e-03 +9.9998313247803527e-01 +1.0000000000040288e+00 +1.0000000000040288e+00 +1.0000000000040288e+00 +1.0000000000040288e+00 +3.3858232181767673e-06 +3.3799206461482873e-06 +3.3737635043903682e-06 +3.3673480856721412e-06 +3.3606705581497486e-06
  1.50000000 +5.0000000000000000e+00 +1.9999999768957188e+00 +1.8511214850110143e-03 +9.9996529338743856e-01 +9.9999999999784017e-01 +9.9999999999784017e-01 +9.9999999999784017e-01 +9.9999999999784017e-01 +7.0100524146996234e-06 +6.9770333016650639e-06 +6.9426731819950931e-06 +6.9069619662859486e-06 +6.8698895305467555e-06
  2.00000000 +5.0000000000000000e+00 +1.9999999391817689e+00 +1.8591548458192489e-03 +9.9994481743172292e-01 +9.9999999999310785e-01 +9.9999999999310785e-01 +9.9999999999310785e-01 +9.9999999999310785e-01 +1.1247953459882240e-05 +1.1146314483282328e-05 +1.1040376584252825e-05 +1.0930678733913400e-05 +1.0817238169930582e-05
  2.50000000 +5.0000000000000000e+00 +1.9999999762246485e+00 +1.8665446650590043e-03 +9.9992590996129049e-01 +9.9999999999582334e-01 +9.9999999999582334e-01 +9.9999999999582334e-01 +9.9999999999582334e-01 +1.5289635435255479e-05 +1.5061059537887509e-05 +1.4825069948143689e-05 +1.4582627732078241e-05 +1.4331641844430097e-05
  3.00000000 +5.0000000000000000e+00 +2.0000000182006530e+00 +1.8707908473799637e-03 +9.9991494276817794e-01 +9.9999999998894629e-01 +9.9999999998894629e-01 +9.9999999998894629e-01 +9.9999999998894629e-01 +1.7816112903147952e-05 +1.7424473362134515e-05 +1.7021012995590825e-05 +1.6608562739767624e-05 +1.6187058802801173e-05
  3.50000000 +5.0000000000000000e+00 +1.9999999602704621e+00 +1.8723631045692577e-03 +9.9991070783323277e-01 +9.9999999849520582e-01 +9.9999999386231198e-01 +1.0000000000086393e+00 +1.0000000000086393e+00 +1.9100650859125848e-05 +1.8490206603300404e-05 +1.7875296990735936e-05 +1.7238143746948643e-05 +1.6595536894121480e-05
  4.00000000 +5.0000000000000000e+00 +2.0000000896191494e+00 +1.8704778510997874e-03 +9.9991524185974390e-01 +1.0000000000083347e+00 +1.0000000000083347e+00 +1.0000000000083347e+00 +1.0000000000083347e+00 +1.8655469002115685e-05 +1.7807824902723773e-05 +1.6956213074334582e-05 +1.6099946116600320e-05 +1.5238695472725224e-05
  4.50000000 +5.0000000000000000e+00 +2.0000000499059003e+00 +1.8656793047083947e-03 +9.9992722838935855e-01 +1.0000000000005109e+00 +9.9999999562268838e-01 +1.0000000066067436e+00 +1.0000000000005109e+00 +1.6628858419296411e-05 +1.5580650200539046e-05 +1.4539883056605843e-05 +1.3517570311058617e-05 +1.2502420704583084e-05
  5.00000000 +5.0000000000000000e+00 +2.0000002334584872e+00 +1.8587562507643622e-03 +9.9994472188929084e-01 +1.0000000029003975e+00 +9.9999999999522660e-01 +9.9999999705049203e-01 +9.9999998467020201e-01 +1.3312444000297522e-05 +1.2146235782799569e-05 +1.1029220041238476e-05 +9.9254111821781098e-06 +8.8801595704044631e-06
  5.50000000 +5.0000000000000000e+00 +2.0000003382510325e+00 +1.8514505316493167e-03 +9.9996333936554260e-01 +9.9999999461132638e-01 +9.9999999380853155e-01 +9.9999999529274153e-01 +9.9999999442326115e-01 +9.4908525728144683e-06 +8.3508412255678912e-06 +7.2682299439441461e-06 +6.2619425134068838e-06 +5.3106631768567612e-06
  6.00000000 +5.0000000000000000e+00 +2.0000003272121130e+00 +1.8445562785221680e-03 +9.9998108785227791e-01 +9.9999999499922265e-01 +9.9999999831902797e-01 +9.9999998901499765e-01 +9.9999999265205697e-01 +5.5230482585412513e-06 +4.5680456578209291e-06 +3.6990787664412408e-06 +2.9141235334400187e-06 +2.2329219862315896e-06
  6.50000000 +5.0000000000000000e+00 +1.9999999813760649e+00 +1.8403150412960132e-03 +9.9999219181195498e-01 +9.9999998627265396e-01 +9.9999998196590889e-01 +1.0000000001429930e+00 +9.9999998598930318e-01 +2.7401658880183522e-06 +2.0435413189132656e-06 +1.4525379759225488e-06 +9.8970386166738335e-07 +6.2787710811223051e-07
  7.00000000 +5.0000000000000000e+00 +1.9999998177602303e+00 +1.8382538163310698e-03 +9.9999784047520301e-01 +9.9999998427501546e-01 +1.0000000219230116e+00 +9.9999999250629668e-01 +1.0000000054931439e+00 +8.3949297893437910e-07 +5.3022450647094617e-07 +3.0870227378496189e-07 +2.3265006393573384e-07 +2.4420471780454349e-07
  7.50000000 +5.0000000000000000e+00 +1.9999999745649093e+00 +1.8392021979566965e-03 +9.9999590029879259e-01 +1.0000000013370625e+00 +9.9999998196277518e-01 +9.9999999796036387e-01 +9.9999997616917891e-01 +3.9389427869874648e-07 +4.7308145550759570e-07 +7.4295249422091928e-07 +1.0400882361896669e-06 +1.4922033070048235e-06
  8.00000000 +5.0000000000000000e+00 +1.9999999450317849e+00 +1.8430290887143687e-03 +9.9998656419852050e-01 +9.9999999799914163e-01 +1.0000000079938089e+00 +9.9999999014109886e-01 +9.9999999660976024e-01 +1.5061737825939057e-06 +2.0211916440743127e-06 +2.6289949081724956e-06 +3.2991165141753399e-06 +3.9875772773092104e-06
  8.50000000 +5.0000000000000000e+00 +2.0000001138865127e+00 +1.8505647117707813e-03 +9.9996767621666571e-01 +9.9999999765105085e-01 +9.9999998678728230e-01 +9.9999999111767113e-01 +9.9999998612599772e-01 +4.7966074438522142e-06 +5.6060938767494080e-06 +6.4723243516869452e-06 +7.3251491686964508e-06 +8.1619342805642650e-06
  9.00000000 +5.0000000000000000e+00 +2.0000005310825570e+00 +1.8581833888587781e-03 +9.9994830585945516e-01 +9.9999998156922976e-01 +9.9999997078748570e-01 +1.0000000045151403e+00 +1.0000000019833579e+00 +8.6137023693580127e-06 +9.5629629327463940e-06 +1.0449136959029658e-05 +1.1199426196033449e-05 +1.1910057406738881e-05
  9.50000000 +5.0000000000000000e+00 +2.0000003238483055e+00 +1.8655557859123036e-03 +9.9992930768355626e-01 +9.9999999953742269e-01 +9.9999998511628552e-01 +1.0000000041911097e+00 +1.0000000008075327e+00 +1.2849692452562158e-05 +1.3620913892229845e-05 +1.4303680611318484e-05 +1.4808515031557449e-05 +1.5119881611011444e-05
 10.00000000 +5.0000000000000000e+00 +2.0000001752125391e+00 +1.8712467819025948e-03 +9.9991433532005580e-01 +1.0000000028023746e+00 +9.9999999833766573e-01 +1.0000000196382766e+00 +9.9999998643169108e-01 +1.6697261963444677e-05 +1.7152398240810067e-05 +1.7390154847986817e-05 +1.7323092147391256e-05 +1.7094548578812600e-05
 10.50000000 +5.0000000000000000e+00 +1.9999994585093777e+00 +1.8735734589541751e-03 +9.9990783097763458e-01 +9.9999997725177336e-01 +9.9999998549875413e-01 +1.0000000235041115e+00 +9.9999996383638068e-01 +1.9128922647446631e-05 +1.9000976954517746e-05 +1.8684070222060998e-05 +1.8134388190551585e-05 +1.7270583205599701e-05
 11.00000000 +5.0000000000000000e+00 +2.0000000537328573e+00 +1.8720352771301738e-03 +9.9991100269812272e-01 +9.9999996882139675e-01 +9.9999999569323417e-01 +9.9999997907501414e-01 +9.9999994965788386e-01 +1.9774785926336310e-05 +1.9024726501201679e-05 +1.8076616374707606e-05 +1.6803058889398432e-05 +1.5424896688793296e-05
 11.50000000 +5.0000000000000000e+00 +2.0000000704209282e+00 +1.8680787522951452e-03 +9.9992050570791813e-01 +1.0000000344445299e+00 +9.9999998881118712e-01 +9.9999998707085014e-01 +9.9999995471951253e-01 +1.8958816943468274e-05 +1.7613355057316971e-05 +1.6020686425002758e-05 +1.4377498904235227e-05 +1.2558883309850317e-05
 12.00000000 +5.0000000000000000e+00 +2.0000000835393945e+00 +1.8616891198364129e-03 +9.9993637057228046e-01 +9.9999999700496189e-01 +1.0000000068447348e+00 +1.0000000287081083e+00 +9.9999999624315028e-01 +1.6585944928496711e-05 +1.4725533945261381e-05 +1.2773219478520154e-05 +1.0739487432954791e-05 +8.7764428483350582e-06
 12.50000000 +5.0000000000000000e+00 +2.0000008172563306e+00 +1.8543182921531315e-03 +9.9995508997087068e-01 +9.9999997761113224e-01 +9.9999999482583202e-01 +9.9999994306612872e-01 +9.9999995696609723e-01 +1.2999553806487254e-05 +1.0925715930070794e-05 +8.9593947694353149e-06 +6.9377069769011723e-06 +5.2151678735456056e-06
 13.00000000 +5.0000000000000000e+00 +2.0000015086918310e+00 +1.8474720040899408e-03 +9.9997280909469544e-01 +9.9999999377046156e-01 +9.9999993080164074e-01 +1.0000000319517104e+00 +9.9999998498211640e-01 +8.9871050851620438e-06 +7.0164177915193711e-06 +5.2140423678686988e-06 +3.6296031535930093e-06 +2.4022006123387668e-06
 13.50000000 +5.0000000000000000e+00 +2.0000011583742201e+00 +1.8426933611318504e-03 +9.9998556914898284e-01 +9.9999997261136064e-01 +9.9999999060238043e-01 +1.0000000211913433e+00 +1.0000000200614716e+00 +5.3636556169810047e-06 +3.8193642382690951e-06 +2.5584568199494074e-06 +1.6361491578598564e-06 +1.0487988013181420e-06
 14.00000000 +5.0000000000000000e+00 +2.0000012677356898e+00 +1.8405874793769603e-03 +9.9999167240956399e-01 +9.9999993556265299e-01 +9.9999996663664537e-01 +9.9999992524474757e-01 +9.9999997191414014e-01 +2.8722497545153502e-06 +1.9073894733219237e-06 +1.2784244664381940e-06 +1.1214666446355518e-06 +1.3487187066163522e-06
 14.50000000 +5.0000000000000000e+00 +2.0000023745442763e+00 +1.8414048187768656e-03 +9.9999050322011507e-01 +9.9999996233580646e-01 +9.9999996746570063e-01 +9.9999994359279154e-01 +9.9999999131483808e-01 +1.3618375482388572e-06 +1.2705277785384645e-06 +1.5505286337954811e-06 +2.2690110034857111e-06 +3.1801342438447232e-06
 15.00000000 +5.0000000000000000e+00 +2.0000018671111768e+00 +1.8454024145762942e-03 +9.9998107761024313e-01 +1.0000000223749252e+00 +1.0000000084809844e+00 +9.9999997174328936e-01 +1.0000000033575320e+00 +1.8246824394174344e-06 +2.5230977003990628e-06 +3.5564737536294159e-06 +4.7781954222515035e-06 +6.2339714940868676e-06
 15.50000000 +5.0000000000000000e+00 +2.0000021149449312e+00 +1.8517602435588940e-03 +9.9996541764526259e-01 +9.9999992427446516e-01 +1.0000000136371070e+00 +1.0000000352540765e+00 +1.0000000118618821e+00 +3.8324718287212613e-06 +5.3213554400255411e-06 +6.8469131943985695e-06 +8.5094544985422641e-06 +1.0087141198741955e-05
 16.00000000 +5.0000000000000000e+00 +2.0000018368129484e+00 +1.8587090714010247e-03 +9.9994781623857332e-01 +9.9999991761746965e-01 +9.9999996090301169e-01 +9.9999993657736674e-01 +1.0000000237700051e+00 +7.0751281609276619e-06 +8.9382040653141121e-06 +1.0575712246067248e-05 +1.2125454248369952e-05 +1.3630422093975040e-05
 16.50000000 +5.0000000000000000e+00 +2.0000016922494712e+00 +1.8649930311081901e-03 +9.9993150777925288e-01 +1.0000000181858608e+00 +1.0000000018174733e+00 +9.9999998541464918e-01 +1.0000000065520709e+00 +1.0793549770511984e-05 +1.2501047120080849e-05 +1.3992796968155023e-05 +1.5303602728743240e-05 +1.5889267272750396e-05
 17.00000000 +5.0000000000000000e+00 +2.0000005787430464e+00 +1.8701480338102214e-03 +9.9991769530383678e-01 +9.9999997210834901e-01 +9.9999998977711291e-01 +1.0000000824320507e+00 +9.9999999384233218e-01 +1.4498501404889585e-05 +1.6069920263993527e-05 +1.7055908859406593e-05 +1.7433797769483826e-05 +1.7208422512173365e-05
 17.50000000 +5.0000000000000000e+00 +2.0000017614826939e+00 +1.8719814488325180e-03 +9.9991218623193845e-01 +1.0000001057427075e+00 +1.0000000235521382e+00 +1.0000000986414863e+00 +9.9999990068491285e-01 +1.7237658409459584e-05 +1.7988978646850191e-05 +1.8235168988742234e-05 +1.7563023609314683e-05 +1.6660302145925460e-05
 18.00000000 +5.0000000000000000e+00 +2.0000023229211630e+00 +1.8705020062182479e-03 +9.9991482595918979e-01 +9.9999985241031708e-01 +9.9999988746591484e-01 +9.9999990943128059e-01 +9.9999991617682837e-01 +1.8860528331324191e-05 +1.8828258017500598e-05 +1.7655896148012960e-05 +1.5951717286037278e-05 +1.4312184010412367e-05
 18.50000000 +5.0000000000000000e+00 +2.0000025512994513e+00 +1.8668614985881504e-03 +9.9992332837264319e-01 +1.0000000066978845e+00 +9.9999988523087224e-01 +9.9999997966443788e-01 +9.9999994226474931e-01 +1.8631341887153779e-05 +1.7708169341337499e-05 +1.5694939711064147e-05 +1.3716181736537398e-05 +1.1107081915141905e-05
 19.00000000 +5.0000000000000000e+00 +2.0000031809442969e+00 +1.8617826242090419e-03 +9.9993569570098673e-01 +1.0000000230628128e+00 +1.0000000920131917e+00 +9.9999999427569863e-01 +9.9999995467739655e-01 +1.7344096681960315e-05 +1.5496768737447748e-05 +1.2938323150563077e-05 +1.0551926077294403e-05 +7.9091191289687018e-06
 19.50000000 +5.0000000000000000e+00 +2.0000036273595612e+00 +1.8554710768711432e-03 +9.9995154875780046e-01 +9.9999994546219928e-01 +1.0000000397567408e+00 +9.9999992988280939e-01 +1.0000000654012569e+00 +1.4792446179889874e-05 +1.2430149825921651e-05 +9.4882782065547255e-06 +7.0790944965000621e-06 +4.6807782678011926e-06
 20.00000000 +5.0000000000000000e+00 +2.0000034785526686e+00 +1.8498787610801517e-03 +9.9996618309229213e-01 +9.9999996072546282e-01 +9.9999992816494443e-01 +9.9999986543101083e-01 +9.9999995545304621e-01 +1.1534590145403316e-05 +8.8978707100074257e-06 +6.1138443094490193e-06 +4.3791492469155997e-06 +3.1817329830629721e-06
 20.50000000 +5.0000000000000000e+00 +2.0000034217268023e+00 +1.8457097033769835e-03 +9.9997752567464471e-01 +9.9999993147282629e-01 +9.9999990505858671e-01 +9.9999989109148391e-01 +9.9999997269062579e-01 +7.9386357081067347e-06 +5.8768412987044137e-06 +3.9749379529910670e-06 +2.5217629153187071e-06 +2.4618479581973070e-06
 21.00000000 +5.0000000000000000e+00 +2.0000049141046934e+00 +1.8441838895531611e-03 +9.9998237023556447e-01 +9.9999991283920608e-01 +9.9999993197999937e-01 +9.9999999258380889e-01 +1.0000000302217915e+00 +5.5794500208167338e-06 +3.7731453986413522e-06 +2.7175794633216478e-06 +2.6039749552464695e-06 +3.0879771041559081e-06
