case_id,orbital,qm_signal_rms,simulation_signal_rms,error_rms,Q_qm,amplitude_ratio,cosine_similarity,pearson_correlation,max_abs_error
f01_wc_mid,0,5.196386247503005e-05,5.073824026497033e-05,4.447111137558876e-06,11.684858072504623,0.9764139509327532,0.9965343700229348,0.986811605377624,1.2809318419959581e-05
f01_wc_mid,1,1.663827419295204e-08,1.6862237978444908e-07,1.6594057624066333e-07,0.10026646025877106,10.134607581829455,0.20923695522241495,0.20815276529836008,5.272447792803447e-07
f01_wc_mid,2,1.7867648844124304e-08,1.6495709343407485e-07,1.6231240893730924e-07,0.1100818413151974,9.232165623644448,0.20098719134063384,0.2121741988263297,5.224672586789936e-07
f01_wc_mid,3,1.8945801595652917e-08,1.608442049846094e-07,1.5836416042324857e-07,0.1196344017801618,8.48970175120565,0.1887877650213262,0.21129485748389756,5.112573874255233e-07
f01_wc_mid,4,1.9801685753523173e-08,1.5654633644773903e-07,1.5434341761388125e-07,0.1282962763145544,7.9057075441107765,0.17371175345342246,0.20669631983538395,4.935254501736708e-07
f01_wc_mid,5,1.1153234645281774e-05,1.0985949218465474e-05,8.947153277366461e-07,12.465679640803762,0.9850011739072424,0.9968475547549487,0.9889995615927727,2.237110215038831e-06
f01_wc_mid,6,1.084636096426105e-05,1.0639783806018299e-05,9.05507292621997e-07,11.978214921775182,0.980954242724963,0.9966323675836841,0.9881271452547875,2.4754371019537674e-06
f01_wc_mid,7,1.0545952164623329e-05,1.0309316394652159e-05,9.217780930241184e-07,11.440879583094404,0.9775614599538038,0.996349949434825,0.9869415952523568,2.6776159542322468e-06
f01_wc_mid,8,1.0226883429859817e-05,9.972911036616307e-06,9.494836708814751e-07,10.770994534709011,0.9751661984821322,0.9958966442596284,0.985115946555304,2.835809491225159e-06
f01_wc_mid,9,9.87523998833744e-06,9.616853746249217e-06,9.926058263837692e-07,9.948803166222193,0.973834940478067,0.9951641830287179,0.9824906627599556,2.943060989893866e-06
f02_wc_high,0,5.163165302234133e-05,5.1901370457998143e-05,4.357458453055218e-06,11.84902933179775,1.0052238775996598,0.9964708141409394,0.9866058409936221,1.2204168573393126e-05
f02_wc_high,1,1.582037418489055e-08,2.5629720273066555e-07,2.502528704661978e-07,0.06321755333083158,16.200451375887525,0.40841822741402206,0.32773438605980354,8.911802280575642e-07
f02_wc_high,2,1.7194984890509373e-08,2.562329053456169e-07,2.4997221424089484e-07,0.06878758482308277,14.901606891614222,0.39320512614479275,0.315082874032304,8.986995754245442e-07
f02_wc_high,3,1.8427789015020465e-08,2.5211390800800715e-07,2.4582545487876746e-07,0.07496290009555116,13.681180515063932,0.37353906991873964,0.29677765117020916,9.164227340319187e-07
f02_wc_high,4,1.9429458208063977e-08,2.4349582908311547e-07,2.3740581351829484e-07,0.08184070103475674,12.532301543130794,0.3494195625763213,0.27324398717935455,9.18143919004244e-07
