final_rank,stage,case_id,origin,random_seed,wc_eV,eta,delE_eV,ntraj_per_repeat,independent_repeats,total_forward_paths,back_replicas,Q_0_50,Q_50_100,Q_100_150,Q_0_150,Q_accuracy_0_150,Q_repeat_0_150,Q_150_200,min_10au_window_Q_0_150,projected_ntraj_per_repeat_Q10_0_150,signal_rms_0_200,max_particle_error,passes_Q0_150_gt_10
1,confirm4,f01_random_promoted,random_promoted,20260817,3.351907,3.1184e-05,-17.1948749688398,16000000,3,48000000,32,60.00495667585915,12.812466193140875,6.761616593313799,11.244154919896413,11.244154919896413,11.358407635328824,2.987081116012964,4.585585765659883,12655123,1.5953806818607077e-05,2.2167165880659923e-09,True
2,confirm2,d01_random,random,20260816,3.38946,2.961e-05,-17.1948749688398,24000000,3,72000000,12,44.57510678528105,11.913298644826003,5.930639364435793,9.400466734903617,9.868264488271631,9.400466734903617,2.7780919279547054,4.366732725130222,27158915,1.5136776369601932e-05,1.3494050321583018e-09,False
3,confirm,c02_random_prev,validate_rank2_random,20260814,3.363696,3.2474e-05,-17.1948749688398,24000000,3,72000000,12,45.21063683369313,10.646876284831048,5.53841363245878,8.933101410954643,9.030434785213204,8.933101410954643,2.4124504428728466,3.358985902674143,30075075,1.661106598841779e-05,1.4600054498714599e-09,False
4,confirm2,d02_random,random,20260816,3.395537,3.1358e-05,-17.1948749688398,24000000,3,72000000,12,45.386152269692246,12.517804496630207,5.005434375445296,8.239435428573273,9.424106090124104,8.239435428573273,2.5972668620293926,3.7396778511714217,35352191,1.602979768393706e-05,1.2351986100611612e-09,False
5,confirm,c04_random_new,random,20260815,3.378462,3.3191e-05,-17.1948749688398,24000000,3,72000000,12,48.75491682335184,11.884756838004597,4.929089479234087,8.2176093418263,8.722026296317908,8.2176093418263,2.419595370846165,4.0023270143105245,35540233,1.6973657633604777e-05,1.2358087886354951e-09,False
6,confirm,c01_known,validate_rank1,0,3.4,3.4e-05,-17.1948749688398,24000000,3,72000000,12,44.360806779873556,13.180343657076536,4.856581951565929,8.087462441105739,11.289245534807813,8.087462441105739,2.7094181891224545,2.9119882678418847,36693293,1.7380963098473893e-05,1.446990971487594e-09,False
7,confirm,c03_random_new,random,20260815,3.313144,3.4759e-05,-17.1948749688398,24000000,3,72000000,12,46.769861933690926,14.87236694681889,4.217228658071468,7.225379961926468,7.225379961926468,9.787872054571316,2.1893246291507475,3.0955176928790227,45971626,1.7798777143716514e-05,1.44315226435765e-09,False
