stage,case_id,window,wc_eV,eta,back_replicas,Q_accuracy,Q_repeat,Q_conservative
screen,s01_grid,0-10,3.8,6e-05,12,132.87833115399593,139.77281495826742,132.87833115399593
screen,s01_grid,10-20,3.8,6e-05,12,35.45389761173722,45.120763971187664,35.45389761173722
screen,s01_grid,20-30,3.8,6e-05,12,18.577218429991287,16.837703970102258,16.837703970102258
screen,s01_grid,30-40,3.8,6e-05,12,13.190937098674686,12.254469607567046,12.254469607567046
screen,s01_grid,40-50,3.8,6e-05,12,8.832622050988913,8.025661632079785,8.025661632079785
screen,s01_grid,50-60,3.8,6e-05,12,5.1869871322365775,6.439632584052674,5.1869871322365775
screen,s01_grid,60-70,3.8,6e-05,12,4.161958845174598,7.8583211855249395,4.161958845174598
screen,s01_grid,70-80,3.8,6e-05,12,5.170214179665747,4.737853921594014,4.737853921594014
screen,s01_grid,80-90,3.8,6e-05,12,3.5828631655365637,3.165506863993,3.165506863993
screen,s01_grid,90-100,3.8,6e-05,12,3.222412376235965,2.8079715002927936,2.8079715002927936
screen,s01_grid,100-110,3.8,6e-05,12,2.435480182495754,2.1964881833112453,2.1964881833112453
screen,s01_grid,110-120,3.8,6e-05,12,1.5234572999940614,1.6774185996580384,1.5234572999940614
screen,s01_grid,120-130,3.8,6e-05,12,1.4857715123495596,1.6905618645140552,1.4857715123495596
screen,s01_grid,130-140,3.8,6e-05,12,2.623762632134649,0.985226479903122,0.985226479903122
screen,s01_grid,140-150,3.8,6e-05,12,1.0691180419607926,0.8425820422235109,0.8425820422235109
screen,s02_grid,0-10,3.8,8e-05,12,180.71957505829516,172.7993490859148,172.7993490859148
screen,s02_grid,10-20,3.8,8e-05,12,59.578462401851034,53.58243237347772,53.58243237347772
screen,s02_grid,20-30,3.8,8e-05,12,18.95927195991445,21.664390238919673,18.95927195991445
screen,s02_grid,30-40,3.8,8e-05,12,13.730782997079514,12.411269917233069,12.411269917233069
screen,s02_grid,40-50,3.8,8e-05,12,8.528103355878429,9.213429383156171,8.528103355878429
screen,s02_grid,50-60,3.8,8e-05,12,6.67971587343681,7.391954053967359,6.67971587343681
screen,s02_grid,60-70,3.8,8e-05,12,7.454386425308151,4.899527722532682,4.899527722532682
screen,s02_grid,70-80,3.8,8e-05,12,4.853312086046384,3.3256691549466106,3.3256691549466106
screen,s02_grid,80-90,3.8,8e-05,12,3.6451742161010636,3.3679414678260367,3.3679414678260367
screen,s02_grid,90-100,3.8,8e-05,12,2.2014214546789415,2.367317911241561,2.2014214546789415
screen,s02_grid,100-110,3.8,8e-05,12,1.8822515665099395,1.2951696592504742,1.2951696592504742
screen,s02_grid,110-120,3.8,8e-05,12,2.0726789503749963,1.8289297580958892,1.8289297580958892
screen,s02_grid,120-130,3.8,8e-05,12,1.3044430893054773,1.0751727961697763,1.0751727961697763
screen,s02_grid,130-140,3.8,8e-05,12,0.9935211140989249,0.7996127447346851,0.7996127447346851
screen,s02_grid,140-150,3.8,8e-05,12,0.5586950498038363,0.8951429638514231,0.5586950498038363
screen,s03_grid,0-10,3.8,0.0001,12,211.29309358674195,163.38709997219854,163.38709997219854
screen,s03_grid,10-20,3.8,0.0001,12,50.03097017840055,57.4774802205572,50.03097017840055
screen,s03_grid,20-30,3.8,0.0001,12,20.401426441568848,21.16980439030451,20.401426441568848
screen,s03_grid,30-40,3.8,0.0001,12,11.474383581955463,12.576200715123424,11.474383581955463
screen,s03_grid,40-50,3.8,0.0001,12,10.11651547809767,8.816953914221338,8.816953914221338
screen,s03_grid,50-60,3.8,0.0001,12,5.287709204734843,6.595518960074852,5.287709204734843
screen,s03_grid,60-70,3.8,0.0001,12,5.4334583323074295,5.492893467143836,5.4334583323074295
screen,s03_grid,70-80,3.8,0.0001,12,4.200541384981229,3.172863280813558,3.172863280813558
screen,s03_grid,80-90,3.8,0.0001,12,2.524058614182785,2.7126371066214476,2.524058614182785
screen,s03_grid,90-100,3.8,0.0001,12,1.4490770845312795,2.3526799921392283,1.4490770845312795
screen,s03_grid,100-110,3.8,0.0001,12,2.6899925898753967,2.0547490072311394,2.0547490072311394
screen,s03_grid,110-120,3.8,0.0001,12,2.6680575948591754,1.3170618834377796,1.3170618834377796
screen,s03_grid,120-130,3.8,0.0001,12,0.8330172566411751,1.2111155479342532,0.8330172566411751
screen,s03_grid,130-140,3.8,0.0001,12,0.6435915240888762,0.8591300110763611,0.6435915240888762
screen,s03_grid,140-150,3.8,0.0001,12,0.6159891963434054,0.5264038920723143,0.5264038920723143
screen,s04_grid,0-10,3.8,0.00012,12,131.91878567485,194.5115914290926,131.91878567485
screen,s04_grid,10-20,3.8,0.00012,12,61.67975248295753,53.170926874647144,53.170926874647144
screen,s04_grid,20-30,3.8,0.00012,12,20.796727590519993,17.91742291586954,17.91742291586954
screen,s04_grid,30-40,3.8,0.00012,12,13.39570253523255,12.425326145364743,12.425326145364743
screen,s04_grid,40-50,3.8,0.00012,12,9.279873478472174,7.862430390314072,7.862430390314072
screen,s04_grid,50-60,3.8,0.00012,12,4.505233421071059,7.456224656670283,4.505233421071059
screen,s04_grid,60-70,3.8,0.00012,12,4.190896852526786,3.9877586293854828,3.9877586293854828
screen,s04_grid,70-80,3.8,0.00012,12,2.9522497356244757,3.0060931500040877,2.9522497356244757
screen,s04_grid,80-90,3.8,0.00012,12,2.114735831870116,2.219067611122419,2.114735831870116
screen,s04_grid,90-100,3.8,0.00012,12,1.5924508247612699,2.1697792220578402,1.5924508247612699
screen,s04_grid,100-110,3.8,0.00012,12,2.385511932763099,1.8449489318409202,1.8449489318409202
screen,s04_grid,110-120,3.8,0.00012,12,1.223109498711571,1.5006558920574709,1.223109498711571
screen,s04_grid,120-130,3.8,0.00012,12,1.4985720033948091,0.9601837250940105,0.9601837250940105
screen,s04_grid,130-140,3.8,0.00012,12,0.6263448510292684,0.6543487449610397,0.6263448510292684
screen,s04_grid,140-150,3.8,0.00012,12,0.48117088406214625,0.5639524128102693,0.48117088406214625
screen,s05_grid,0-10,4.1,6e-05,12,126.38715307866335,165.7564447062646,126.38715307866335
screen,s05_grid,10-20,4.1,6e-05,12,42.82720479867158,54.54023720423641,42.82720479867158
screen,s05_grid,20-30,4.1,6e-05,12,17.225837130069536,18.83199314929371,17.225837130069536
screen,s05_grid,30-40,4.1,6e-05,12,11.432771465981142,12.915260814217026,11.432771465981142
screen,s05_grid,40-50,4.1,6e-05,12,7.490648439772081,8.280009431934994,7.490648439772081
screen,s05_grid,50-60,4.1,6e-05,12,6.545383283012326,9.40294120376813,6.545383283012326
screen,s05_grid,60-70,4.1,6e-05,12,4.623662922799146,5.200746933737843,4.623662922799146
screen,s05_grid,70-80,4.1,6e-05,12,6.356294974480591,3.2312311234239113,3.2312311234239113
screen,s05_grid,80-90,4.1,6e-05,12,3.303587948600013,3.668491358435904,3.303587948600013
screen,s05_grid,90-100,4.1,6e-05,12,2.2300197108900366,4.406118572054784,2.2300197108900366
screen,s05_grid,100-110,4.1,6e-05,12,1.5827996835004174,1.9807511023531383,1.5827996835004174
screen,s05_grid,110-120,4.1,6e-05,12,2.153105951930353,1.6212304887649718,1.6212304887649718
screen,s05_grid,120-130,4.1,6e-05,12,1.1012366832200522,1.223647532413458,1.1012366832200522
screen,s05_grid,130-140,4.1,6e-05,12,0.9018494995880958,1.1865880671249969,0.9018494995880958
screen,s05_grid,140-150,4.1,6e-05,12,0.8716215969851047,0.9637904876594692,0.8716215969851047
screen,s06_grid,0-10,4.1,8e-05,12,160.43647597980527,152.11556006428899,152.11556006428899
screen,s06_grid,10-20,4.1,8e-05,12,50.607613981155794,52.91295768291855,50.607613981155794
screen,s06_grid,20-30,4.1,8e-05,12,22.43828087975421,19.93202006009233,19.93202006009233
screen,s06_grid,30-40,4.1,8e-05,12,11.795366870680231,12.680681109658115,11.795366870680231
screen,s06_grid,40-50,4.1,8e-05,12,9.545539496024423,9.254008611111571,9.254008611111571
screen,s06_grid,50-60,4.1,8e-05,12,7.2515251765546225,7.043471513367877,7.043471513367877
screen,s06_grid,60-70,4.1,8e-05,12,5.185722649661356,4.200101118625353,4.200101118625353
screen,s06_grid,70-80,4.1,8e-05,12,4.699753015552486,4.430300777319874,4.430300777319874
screen,s06_grid,80-90,4.1,8e-05,12,3.610524120095767,2.604558681724804,2.604558681724804
screen,s06_grid,90-100,4.1,8e-05,12,3.3621523385478462,2.9439815494532677,2.9439815494532677
screen,s06_grid,100-110,4.1,8e-05,12,2.168001408248556,2.1552150218844557,2.1552150218844557
screen,s06_grid,110-120,4.1,8e-05,12,1.8118115987544487,1.3115062386570233,1.3115062386570233
screen,s06_grid,120-130,4.1,8e-05,12,1.49172771251414,1.4199314929185758,1.4199314929185758
screen,s06_grid,130-140,4.1,8e-05,12,1.3847172831274412,1.1478907428476581,1.1478907428476581
screen,s06_grid,140-150,4.1,8e-05,12,0.9730134571750623,0.7897540862343548,0.7897540862343548
screen,s07_grid,0-10,4.1,0.0001,12,171.85523174264839,158.38613233248194,158.38613233248194
screen,s07_grid,10-20,4.1,0.0001,12,51.01205127493478,56.82648963409731,51.01205127493478
screen,s07_grid,20-30,4.1,0.0001,12,19.75579329360253,19.871782466740417,19.75579329360253
screen,s07_grid,30-40,4.1,0.0001,12,12.235270606702075,13.45118770756371,12.235270606702075
screen,s07_grid,40-50,4.1,0.0001,12,9.622437511157207,9.129711213795732,9.129711213795732
screen,s07_grid,50-60,4.1,0.0001,12,9.126656709577375,7.137424160012253,7.137424160012253
screen,s07_grid,60-70,4.1,0.0001,12,5.516541652065801,4.357771248394291,4.357771248394291
screen,s07_grid,70-80,4.1,0.0001,12,3.1836463899264924,3.884666906606722,3.1836463899264924
screen,s07_grid,80-90,4.1,0.0001,12,3.238125777621523,2.8081391065852346,2.8081391065852346
screen,s07_grid,90-100,4.1,0.0001,12,2.302194127406938,2.2426256626207053,2.2426256626207053
screen,s07_grid,100-110,4.1,0.0001,12,2.0791647829197597,1.353481917317226,1.353481917317226
screen,s07_grid,110-120,4.1,0.0001,12,1.243728824562674,0.8849979785164512,0.8849979785164512
screen,s07_grid,120-130,4.1,0.0001,12,1.4153791421883282,0.9010469081970097,0.9010469081970097
screen,s07_grid,130-140,4.1,0.0001,12,0.9975082130295972,1.0245391639176502,0.9975082130295972
screen,s07_grid,140-150,4.1,0.0001,12,0.8134227268810591,0.6633793043209503,0.6633793043209503
screen,s08_grid,0-10,4.1,0.00012,12,174.75794253484167,169.38842855922826,169.38842855922826
screen,s08_grid,10-20,4.1,0.00012,12,49.59256122199295,61.5671939592198,49.59256122199295
screen,s08_grid,20-30,4.1,0.00012,12,21.422632209478067,17.004193997054777,17.004193997054777
screen,s08_grid,30-40,4.1,0.00012,12,12.218340869820098,12.572696562653453,12.218340869820098
screen,s08_grid,40-50,4.1,0.00012,12,8.066881781269098,8.09926084117627,8.066881781269098
screen,s08_grid,50-60,4.1,0.00012,12,5.905881890281851,5.863794567830335,5.863794567830335
screen,s08_grid,60-70,4.1,0.00012,12,5.228820634631016,4.233141483194286,4.233141483194286
