"case_id","data_file","param.wc_eV","param.eta","param.ntraj","param.mpi_ranks","param.tmax","job_id"
"s4r2_wc0p08_eta2em5","cloud-runs\636133\ahm-sepmb-s4-n2-1000000.dat","0.08","2.0e-5","1000000","64","100","636133"
"s4r2_wc0p08_eta2em5","cloud-runs\636134\ahm-sepmb-s4-n2-1000000.dat","0.08","2.0e-5","1000000","64","100","636134"
"s4r2_wc0p08_eta2em5","cloud-runs\636135\ahm-sepmb-s4-n2-1000000.dat","0.08","2.0e-5","1000000","64","100","636135"
"s4r2_wc0p08_eta4em5","cloud-runs\636136\ahm-sepmb-s4-n2-1000000.dat","0.08","4.0e-5","1000000","64","100","636136"
"s4r2_wc0p08_eta4em5","cloud-runs\636137\ahm-sepmb-s4-n2-1000000.dat","0.08","4.0e-5","1000000","64","100","636137"
"s4r2_wc0p08_eta4em5","cloud-runs\636138\ahm-sepmb-s4-n2-1000000.dat","0.08","4.0e-5","1000000","64","100","636138"
"s4r2_wc0p10_eta2em5","cloud-runs\636139\ahm-sepmb-s4-n2-1000000.dat","0.10","2.0e-5","1000000","64","100","636139"
"s4r2_wc0p10_eta2em5","cloud-runs\636140\ahm-sepmb-s4-n2-1000000.dat","0.10","2.0e-5","1000000","64","100","636140"
"s4r2_wc0p10_eta2em5","cloud-runs\636141\ahm-sepmb-s4-n2-1000000.dat","0.10","2.0e-5","1000000","64","100","636141"
"s4r2_wc0p10_eta4em5","cloud-runs\636142\ahm-sepmb-s4-n2-1000000.dat","0.10","4.0e-5","1000000","64","100","636142"
"s4r2_wc0p10_eta4em5","cloud-runs\636143\ahm-sepmb-s4-n2-1000000.dat","0.10","4.0e-5","1000000","64","100","636143"
"s4r2_wc0p10_eta4em5","cloud-runs\636144\ahm-sepmb-s4-n2-1000000.dat","0.10","4.0e-5","1000000","64","100","636144"
"s4r2_wc0p12_eta2em5","cloud-runs\636145\ahm-sepmb-s4-n2-1000000.dat","0.12","2.0e-5","1000000","64","100","636145"
"s4r2_wc0p12_eta2em5","cloud-runs\636146\ahm-sepmb-s4-n2-1000000.dat","0.12","2.0e-5","1000000","64","100","636146"
"s4r2_wc0p12_eta2em5","cloud-runs\636147\ahm-sepmb-s4-n2-1000000.dat","0.12","2.0e-5","1000000","64","100","636147"
"s4r2_wc0p12_eta4em5","cloud-runs\636148\ahm-sepmb-s4-n2-1000000.dat","0.12","4.0e-5","1000000","64","100","636148"
"s4r2_wc0p12_eta4em5","cloud-runs\636149\ahm-sepmb-s4-n2-1000000.dat","0.12","4.0e-5","1000000","64","100","636149"
"s4r2_wc0p12_eta4em5","cloud-runs\636150\ahm-sepmb-s4-n2-1000000.dat","0.12","4.0e-5","1000000","64","100","636150"
"s4r2_wc0p12_eta5em5","cloud-runs\636151\ahm-sepmb-s4-n2-1000000.dat","0.12","5.0e-5","1000000","64","100","636151"
"s4r2_wc0p12_eta5em5","cloud-runs\636152\ahm-sepmb-s4-n2-1000000.dat","0.12","5.0e-5","1000000","64","100","636152"
"s4r2_wc0p12_eta5em5","cloud-runs\636153\ahm-sepmb-s4-n2-1000000.dat","0.12","5.0e-5","1000000","64","100","636153"
