"case_id","data_file","param.wc_eV","param.eta","param.ntraj","param.mpi_ranks","param.tmax","job_id"
"s4r1_wc0p05_eta3em5","..\round1\cloud-runs\636092\ahm-sepmb-s4-n2-1000000.dat","0.05","3.0e-5","1000000","64","100","636092"
"s4r1_wc0p05_eta3em5","..\round1\cloud-runs\636093\ahm-sepmb-s4-n2-1000000.dat","0.05","3.0e-5","1000000","64","100","636093"
"s4r1_wc0p12_eta3em5","..\round1\cloud-runs\636100\ahm-sepmb-s4-n2-1000000.dat","0.12","3.0e-5","1000000","64","100","636100"
"s4r1_wc0p12_eta3em5","..\round1\cloud-runs\636101\ahm-sepmb-s4-n2-1000000.dat","0.12","3.0e-5","1000000","64","100","636101"
"s4r1_wc0p12_eta3em5","..\round1\cloud-runs\636102\ahm-sepmb-s4-n2-1000000.dat","0.12","3.0e-5","1000000","64","100","636102"
"s4r1_wc0p12_eta8em5","..\round1\cloud-runs\636103\ahm-sepmb-s4-n2-1000000.dat","0.12","8.0e-5","1000000","64","100","636103"
"s4r1_wc0p12_eta8em5","..\round1\cloud-runs\636104\ahm-sepmb-s4-n2-1000000.dat","0.12","8.0e-5","1000000","64","100","636104"
"s4r1_wc0p12_eta8em5","..\round1\cloud-runs\636105\ahm-sepmb-s4-n2-1000000.dat","0.12","8.0e-5","1000000","64","100","636105"
"s4r1_wc0p20_eta8em5","..\round1\cloud-runs\636112\ahm-sepmb-s4-n2-1000000.dat","0.20","8.0e-5","1000000","64","100","636112"
"s4r1_wc0p20_eta8em5","..\round1\cloud-runs\636113\ahm-sepmb-s4-n2-1000000.dat","0.20","8.0e-5","1000000","64","100","636113"
"s4r1_wc0p20_eta8em5","..\round1\cloud-runs\636114\ahm-sepmb-s4-n2-1000000.dat","0.20","8.0e-5","1000000","64","100","636114"
"s4r1_wc0p40_eta8em5","..\round1\cloud-runs\636121\ahm-sepmb-s4-n2-1000000.dat","0.40","8.0e-5","1000000","64","100","636121"
"s4r1_wc0p40_eta8em5","..\round1\cloud-runs\636122\ahm-sepmb-s4-n2-1000000.dat","0.40","8.0e-5","1000000","64","100","636122"
"s4r1_wc0p40_eta8em5","..\round1\cloud-runs\636123\ahm-sepmb-s4-n2-1000000.dat","0.40","8.0e-5","1000000","64","100","636123"
