start,stop,points,aggregate_Q,min_orbital_Q,projected_ntraj_aggregate_Q10,projected_ntraj_strict_Q10
0,100,201,12.220031084594739,9.644350744795926,167415.3932748835,268778.18438871927
100,200,201,4.232075025164859,3.613948458102254,1395832.455997014,1914150.5825307283
200,300,201,1.4851987555269104,1.3402682994564346,11333677.623827633,13917348.982043859
300,400,201,0.9878602958725647,0.8660872860511867,25618219.798292737,33328570.14475802
400,500,201,0.8449273266752693,0.7033674181776253,35018802.91522566,50533050.413603775
500,600,201,0.7201826076536225,0.6777252206163613,48200855.971471965,54429295.54183991
600,700,201,0.5838753440176448,0.4891955071922389,73333048.00189508,104466029.63258629
700,800,201,0.3242291295113907,0.2881508849606554,237813195.2158223,301092607.8532648
800,900,201,0.3919931570699461,0.2953887301394743,162698308.29319865,286518167.6303606
900,1000,201,0.4162111970173258,0.3212166553832925,144315337.58348644,242294690.37110725
1000,1100,201,0.14207071188723533,0.12892637091396197,1238599485.9131289,1504029977.601478
1100,1200,201,0.34114298559242334,0.23627447661992174,214816242.980128,447822993.8541743
1200,1300,201,0.141854274783762,0.13250937401917798,1242382007.0809197,1423792837.8569312
1300,1400,201,0.32172905645624855,0.25764038184188237,241523524.74850395,376627597.92158765
1400,1500,201,0.14058391010957208,0.11416537142472642,1264936638.6232116,1918099891.6944141
1500,1600,201,0.1610297692284882,0.13295498516178939,964112397.7281108,1414264880.2585752
1600,1700,201,0.09990994446033277,0.08277086788608921,2504508866.7952647,3649093494.7119203
1700,1800,201,0.09500467461950425,0.08357337982944679,2769810510.307961,3579349254.0180397
1800,1900,201,0.07658158126797593,0.05988619722586627,4262764591.8854213,6970862817.518511
1900,2000,201,0.04117857854580889,0.030281793655699923,14743388396.45088,27263199220.62086
2000,2100,201,0.05542369408227241,0.03625064211393134,8138588134.9828205,19024296294.23559
2100,2200,201,0.049469921286661896,0.027509667902281976,10215451588.262037,33034619849.38137
2200,2300,201,0.034159611014609584,0.019247721447747543,21424671685.295067,67480976538.368515
2300,2400,201,0.02119175183011361,0.0171295897554755,55668086039.52038,85201273212.8469
2400,2500,201,0.03850853810738084,0.026279315514253186,16858772296.426458,36200278387.24244
