window_start,window_stop,orbital,Q,signal_rms,error_rms,amplitude_ratio,cosine
0.0,25.0,0,11.826840781660298,5.085985249111514e-07,4.300375174576015e-08,0.9887065199255756,0.9964490269121291
0.0,25.0,5,11.161388090926817,1.0691660393080994e-07,9.57914939072169e-09,0.9939831990198944,0.9959803199720745
0.0,25.0,6,11.504740902732332,1.0467768064134665e-07,9.098656069384936e-09,0.9913581329072325,0.9962271332781109
0.0,25.0,7,11.864943483912423,1.0249893555140992e-07,8.638805207153946e-09,0.9888349492960197,0.9964712105916087
0.0,25.0,8,12.290256761996448,1.00266488307888e-07,8.158209405187443e-09,0.9858421978218247,0.9967439702713421
0.0,25.0,9,12.677195023359051,9.78921815494311e-08,7.721911776939187e-09,0.9829501851003056,0.9969827348623365
25.0,50.0,0,9.305052025240316,4.519646580304061e-07,4.857196464935761e-08,0.9830561381388869,0.9942717490995914
25.0,50.0,5,10.091587500674134,9.894803988268577e-08,9.805002421678045e-09,0.9922399843801414,0.9950822918807424
25.0,50.0,6,9.372873407536263,9.526256639487696e-08,1.016364590161658e-08,0.9884581207069223,0.994309457268549
25.0,50.0,7,8.925486106374672,9.13792536775972e-08,1.0238014220013544e-08,0.9828686565418174,0.993763566069342
25.0,50.0,8,8.767876149775342,8.754612617761424e-08,9.984872582838367e-09,0.9767518338693709,0.9936178555977415
25.0,50.0,9,8.80475382262761,8.402646857221683e-08,9.54330697540624e-09,0.9777531932422456,0.9936567006468262
