start,stop,points,aggregate_Q,min_orbital_Q,projected_ntraj_aggregate_Q10,projected_ntraj_strict_Q10
0,100,201,12.149702381007213,9.858707857296022,169359.1750208872,257217.20451484266
100,200,201,4.1356695050453505,3.640302418531369,1461666.7156225895,1886535.9268908969
200,300,201,2.16709961340163,1.7766110468151455,5323316.147649091,7920549.132180908
300,400,201,1.3616133086190092,1.2453007692451648,13484425.041494774,16120982.106462143
400,500,201,1.0110997385714262,0.8606652591678877,24454118.50517773,33749820.13853438
500,600,201,1.120278932289979,0.9159841427718421,19919923.721221823,29796420.72960495
600,700,201,0.6734672040405844,0.635376167256224,55119733.02317785,61926732.79092624
700,800,201,0.7125350234687927,0.6052743073935202,49241080.739035465,68239451.88463502
800,900,201,0.9370112554803587,0.6656929790661308,28474125.394187458,56414670.45426334
900,1000,201,0.42264533579664587,0.40559424131304006,139954815.96894428,151969504.7954536
1000,1100,201,0.35948672723018704,0.30738149438650214,193452474.02711943,264596791.33046928
1100,1200,201,0.6040645979709984,0.36993182135425606,68513040.39186716,182682365.79762974
1200,1300,201,0.24380975569719388,0.21196781532830333,420569573.5258427,556416706.4208716
1300,1400,201,0.16318901709695466,0.13479363605091924,938767736.5564251,1375945498.0237324
1400,1500,201,0.19904565862197127,0.16131249829440494,631007599.0867927,960735799.8128992
1500,1600,201,0.13339469730346737,0.12995644317254892,1404956496.7865052,1480281718.8887503
1600,1700,201,0.1574798110486293,0.14110529063690863,1008068951.310812,1255606089.9801269
1700,1800,201,0.18368523063503212,0.16194680461741784,740954487.9226547,953224600.6075406
1800,1900,201,0.20473229367954077,0.13010304595694866,596440745.9282784,1476947574.749397
1900,2000,201,0.12259554513963816,0.0683444084946789,1663376763.8002427,5352220909.887991
2000,2100,201,0.1058787262671408,0.056501166607256584,2230091038.7947736,7831143436.814806
2100,2200,201,0.07002836076803168,0.03736544233487977,5097909104.719076,17906048356.74528
2200,2300,201,0.09480268394482613,0.05127575284354534,2781626038.9850006,9508585536.976435
2300,2400,201,0.06366654266937417,0.03302558790710148,6167618114.174889,22921281441.291557
2400,2500,201,0.040748743088066794,0.024957428042108695,15056068226.632504,40136579032.36389
