#PATCH_CHECK: SepMBpoisson v0.99 low-order reference-control active
#discretizing the bath:
#     0 0.0000000000000000e+00 -6.3190000000000002e-01
#     1 2.0701966780270627e-04 -2.1498353472758169e-01
#     2 2.0701966780270627e-04 -1.9961210105196658e-01
#     3 2.0701966780270627e-04 -1.8375635428022583e-01
#     4 2.0701966780270627e-04 -1.6743065979567365e-01
#     5 2.0701966780270627e-04 -1.5064817548673590e-01
#     6 2.0701966780270627e-04 -1.3342101202639703e-01
#     7 2.0701966780270627e-04 -1.1576036485331320e-01
#sampling: physical_jump_rate=8.0178372573727326e-04 sampling_jump_rate=1.2026755886059099e-03 rate_scale=1.5000000000000000e+00 jump_strength=6.0133779430295497e-04 jump_probability=6.0097640447745828e-04 log_scale=6.0115706318153276e-04 back_replicas=16 stratify_forward=1 stratify_forward_steps=1 stratify_forward_orbitals=1 stratify_back_paths=1 exact_orbitals=0 stratify_single_jump_time=1 sample_back_orbitals=1 exact_back_jumps=0
#reference control: active=1 requested_distance=2 selected_distance=2 states=56 max_states=4096 fock_states=384 split_operator=0 grid_split=0 path_local_basis=1
#distributed reference: enabled=0 local_fock=384 compact_states=1
#backward DP: all_order=1 replicas_min=16 replicas_max=16 replica_power=2.00000000e+00 replicas_per_forward=96
#RQMC: replicates=4 shift_storage_bytes=1376
#adaptive measurement: gap=1.5855746771740759e-02 period_steps=793 nmeas=6 nwf=20 tmax=1.0000000000000000e+01 forced_stride=4
#recurrence measurement: enabled=1 vibrational_period=1.7097417488437418e+03 half_width=8.5487087442187089e+01 stride_steps=3
#conditional-count memory: mode=linear-parity-cache parity_table_bytes=1008 dense_back_table_bytes=0 legacy_dense_bytes=7392
#electronic-phase memory: mode=binary-power-table phase_table_bytes=5376 phase_bits=6 legacy_time_state_table_bytes=18816
  0.00000000 +3.0000000000000000e+00 +1.9999999999999996e+00 +1.8374661879283099e-03 +1.0000000000000000e+00 +1.0000000000000000e+00 +1.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00
  0.50000000 +3.0000000000000000e+00 +1.9999999999999689e+00 +1.8374869508198778e-03 +9.9999994728094510e-01 +1.0000000000000000e+00 +1.0000000000000000e+00 +1.0556641071752465e-08 +1.0550519326110706e-08 +1.0544106809558414e-08 +1.0537398578687202e-08 +1.0530389455448069e-08
  1.00000000 +3.0000000000000000e+00 +1.9999999999995242e+00 +1.8375452818727865e-03 +9.9999979909031589e-01 +9.9999999999999767e-01 +9.9999999999999767e-01 +4.0379540784740835e-08 +4.0285110624156094e-08 +4.0186337423458311e-08 +4.0083164928687679e-08 +3.9975534651657020e-08
  1.50000000 +3.0000000000000000e+00 +1.9999999999976936e+00 +1.8376300702292634e-03 +9.9999958342428896e-01 +9.9999999999998945e-01 +9.9999999999998945e-01 +8.4253353254282987e-08 +8.3803831080420256e-08 +8.3334782868006914e-08 +8.2846098357618724e-08 +8.2337666732537226e-08
  2.00000000 +3.0000000000000000e+00 +1.9999999999930289e+00 +1.8377251896285925e-03 +9.9999934096558551e-01 +9.9999999999996869e-01 +9.9999999999996880e-01 +1.3451368821384248e-07 +1.3321189211504070e-07 +1.3185833627553623e-07 +1.3045333283981188e-07 +1.2899722749695159e-07
  2.50000000 +3.0000000000000000e+00 +1.9999999999839244e+00 +1.8378125966000396e-03 +9.9999911733076563e-01 +9.9999999999993028e-01 +9.9999999999993061e-01 +1.8239662672074921e-07 +1.7956277251238942e-07 +1.7663017274311879e-07 +1.7360124511163061e-07 +1.7047855642289711e-07
  3.00000000 +3.0000000000000000e+00 +1.9999999999688962e+00 +1.8378757878184273e-03 +9.9999895440024733e-01 +9.9999999999987077e-01 +9.9999999999987155e-01 +2.1957898139551615e-07 +2.1449052105638629e-07 +2.0925696101807195e-07 +2.0388636823057649e-07 +1.9838717889805345e-07
  3.50000000 +3.0000000000000000e+00 +1.9999999999468605e+00 +1.8379029475099394e-03 +9.9999888239554435e-01 +9.9999999999979061e-01 +9.9999999999979250e-01 +2.3963646662233140e-07 +2.3173117665901906e-07 +2.2366379672215407e-07 +2.1545347416046416e-07 +2.0711995845822243e-07
  4.00000000 +3.0000000000000000e+00 +1.9999999999173377e+00 +1.8378891786609156e-03 +9.9999891421761922e-01 +9.9999999999969447e-01 +9.9999999999969769e-01 +2.3916231082986125e-07 +2.2825453501353552e-07 +2.1723340099199064e-07 +2.0613535476626912e-07 +1.9499738694035486e-07
  4.50000000 +3.0000000000000000e+00 +1.9999999998805349e+00 +1.8378373925763154e-03 +9.9999904311747423e-01 +9.9999999999959077e-01 +9.9999999999959643e-01 +2.1835002605280415e-07 +2.0480025526164941e-07 +1.9128443407090128e-07 +1.7786091777368095e-07 +1.6458770532700549e-07
  5.00000000 +3.0000000000000000e+00 +1.9999999998373144e+00 +1.8377576940411056e-03 +9.9999924412273344e-01 +9.9999999999949052e-01 +9.9999999999949929e-01 +1.8093994122637742e-07 +1.6572283993779979e-07 +1.5080100095872192e-07 +1.3625437937628930e-07 +1.2216011569429832e-07
  5.50000000 +3.0000000000000000e+00 +1.9999999997890052e+00 +1.8376653920213204e-03 +9.9999947891892371e-01 +9.9999999999940381e-01 +9.9999999999941613e-01 +1.3354241243019504e-07 +1.1817767053749398e-07 +1.0346890771791523e-07 +8.9509178544828236e-08 +7.6384087239633458e-08
  6.00000000 +3.0000000000000000e+00 +1.9999999997371793e+00 +1.8375780310079454e-03 +9.9999970322284049e-01 +9.9999999999933908e-01 +9.9999999999935518e-01 +8.4461010962265335e-08 +7.0801287791596224e-08 +5.8206273003136890e-08 +4.6763557734354956e-08 +3.6546335924958429e-08
  6.50000000 +3.0000000000000000e+00 +1.9999999996833151e+00 +1.8375120241087973e-03 +9.9999987521555034e-01 +9.9999999999930000e-01 +9.9999999999931921e-01 +4.2226759560080086e-08 +3.2131085000772701e-08 +2.3471380578256897e-08 +1.6302037565171969e-08 +1.0654568285567217e-08
  7.00000000 +3.0000000000000000e+00 +1.9999999996285649e+00 +1.8374795401815802e-03 +9.9999996341367048e-01 +9.9999999999928313e-01 +9.9999999999930400e-01 +1.4104116896000551e-08 +9.0556874611807925e-09 +5.6710988894976021e-09 +3.9391460173890156e-09 +3.8176929459479544e-09
  7.50000000 +3.0000000000000000e+00 +1.9999999995735109e+00 +1.8374862409260197e-03 +9.9999995248333307e-01 +9.9999999999927969e-01 +9.9999999999930067e-01 +4.8323222394475568e-09 +5.5793195850254005e-09 +7.9714225918014818e-09 +1.1902811557149411e-08 +1.7232210727049088e-08
  8.00000000 +3.0000000000000000e+00 +1.9999999995180819e+00 +1.8375302923361047e-03 +9.9999984591385016e-01 +9.9999999999927547e-01 +9.9999999999929379e-01 +1.5821762421426166e-08 +2.2123324474969735e-08 +2.9732391304966133e-08 +3.8433134550694110e-08 +4.7976967895368141e-08
  8.50000000 +3.0000000000000000e+00 +1.9999999994615774e+00 +1.8376028231365572e-03 +9.9999966508416516e-01 +9.9999999999925349e-01 +9.9999999999926648e-01 +4.4942461045618856e-08 +5.5487283281028479e-08 +6.6668545883367303e-08 +7.8168636563981568e-08 +8.9650388019424679e-08
  9.00000000 +3.0000000000000000e+00 +1.9999999994027839e+00 +1.8376897209677961e-03 +9.9999944495274740e-01 +9.9999999999919720e-01 +9.9999999999920297e-01 +8.6935700334670237e-08 +9.9469897715650024e-08 +1.1169683471704438e-07 +1.2323557068194555e-07 +1.3371084875347671e-07
  9.50000000 +3.0000000000000000e+00 +1.9999999993402520e+00 +1.8377744005394026e-03 +9.9999922724459300e-01 +9.9999999999909450e-01 +9.9999999999909162e-01 +1.3436931468894349e-07 +1.4602877777533545e-07 +1.5630338741260396e-07 +1.6481776842774200e-07 +1.7123797253751950e-07
 10.00000000 +3.0000000000000000e+00 +1.9999999992725195e+00 +1.8378409963686923e-03 +9.9999905247386345e-01 +9.9999999999893940e-01 +9.9999999999892797e-01 +1.7896206801694730e-07 +1.8676087052923121e-07 +1.9216376515298182e-07 +1.9489209935831387e-07 +1.9474946591886278e-07
