catalog_id,stage,selection_status,version,case_id,wc_eV,eta,delE_eV,ntraj_per_repeat,independent_repeats,tmax,qm_signal_rms,qm_signal_peak,poisson_rms_vs_qm,repeat_noise_of_mean_rms,Q_accuracy,Q_repeat,Q_conservative,projected_ntraj_Q10,occupation_min,occupation_max,max_particle_error,min_window_Q,selection_score,rank,source
fine_f21_wc4_eta0p0002,fine,retained_top30,v0.61,f21_wc4_eta0p0002,4.0,0.0002,-17.1948749688398,1000000,3,75.0,0.0001051692161449265,0.0005651822556907993,3.613003482045437e-05,2.9775356997987292e-05,2.910852886457415,3.5320891753551624,2.910852886457415,11802106,-0.0003731680128003785,1.0003816212699415,6.757527870604463e-11,1.0898168354849742,1.1978616805876523,1,v0.61 fine grid with matching exact QM
fine_f12_wc1_eta0p0003,fine,retained_top30,v0.61,f12_wc1_eta0p0003,1.0,0.0003,-17.1948749688398,1000000,3,75.0,0.00017056366622755748,0.0008930998723009065,7.816065995728612e-05,7.87491186839094e-05,2.1822188594718686,2.165912064516962,2.165912064516962,21316621,-0.00099975335682237,1.000679863417692,6.769340643586474e-11,0.8394935076658929,1.1350792338460347,2,v0.61 fine grid with matching exact QM
fine_f06_wc0p5_eta0p0002,fine,retained_top30,v0.61,f06_wc0p5_eta0p0002,0.5,0.0002,-17.1948749688398,1000000,3,75.0,0.00011418553555629441,0.0006012280139325865,4.355419042095739e-05,4.292861269904175e-05,2.621688853648182,2.6598934458192556,2.621688853648182,14549153,-0.000320473341643608,1.0003871637769999,6.773959171368915e-11,1.1686192459498652,1.1241617157039152,3,v0.61 fine grid with matching exact QM
fine_f11_wc1_eta0p0002,fine,retained_top30,v0.61,f11_wc1_eta0p0002,1.0,0.0002,-17.1948749688398,1000000,3,75.0,0.00011291340213826918,0.0005956875557017183,4.282981322274618e-05,4.218218041803399e-05,2.636327213267015,2.6768033567557294,2.636327213267015,14388032,-0.00036536383654919407,1.0006306801762883,6.698286370010464e-11,0.9808924646505659,1.1241238339078117,4,v0.61 fine grid with matching exact QM
fine_f01_wc0p25_eta0p0002,fine,retained_top30,v0.61,f01_wc0p25_eta0p0002,0.25,0.0002,-17.1948749688398,1000000,3,75.0,0.0001147805023523519,0.0006040451907162181,4.552250168558879e-05,4.436900268659827e-05,2.521401463063449,2.586952498416683,2.521401463063449,15729540,-0.0003480014766618018,1.0006523290820755,6.654055084709398e-11,1.0011468184085162,1.0839722338299853,5,v0.61 fine grid with matching exact QM
fine_f02_wc0p25_eta0p0003,fine,retained_top30,v0.61,f02_wc0p25_eta0p0003,0.25,0.0003,-17.1948749688398,1000000,3,75.0,0.0001734708233068232,0.0009056324581157016,8.599590439925317e-05,8.023941273979159e-05,2.0171986621764013,2.161915415175978,2.0171986621764013,24575517,-0.0005520699751516903,1.0009529133154502,6.865708002123938e-11,0.7998161464048016,1.0661148384850296,6,v0.61 fine grid with matching exact QM
fine_f07_wc0p5_eta0p0003,fine,retained_top30,v0.61,f07_wc0p5_eta0p0003,0.5,0.0003,-17.1948749688398,1000000,3,75.0,0.00017257104925765337,0.0009014079884547277,8.566601751667686e-05,7.763315063658813e-05,2.0144633106594276,2.2229041053026832,2.0144633106594276,24642303,-0.0007733225456341449,1.0011871534924741,6.753175796347932e-11,0.7967298778588908,1.061904420217042,7,v0.61 fine grid with matching exact QM
fine_f17_wc2_eta0p0003,fine,retained_top30,v0.61,f17_wc2_eta0p0003,2.0,0.0003,-17.1948749688398,1000000,3,75.0,0.00016613699435291958,0.0008770541880568361,8.111918384969951e-05,7.43623691238386e-05,2.048060476800951,2.2341541334736803,2.048060476800951,23840450,-0.0007513986206109639,1.0010561504950304,6.890310544349632e-11,0.9118108407153749,1.0592977456142227,8,v0.61 fine grid with matching exact QM
fine_f16_wc2_eta0p0002,fine,retained_top30,v0.61,f16_wc2_eta0p0002,2.0,0.0002,-17.1948749688398,1000000,3,75.0,0.00011019794436433755,0.0005849870597890439,3.918853565734792e-05,4.457105027987812e-05,2.8119944395951224,2.472410761522645,2.472410761522645,16359076,-0.00033753738979961707,1.0003748730638422,6.6647132257458e-11,1.0980509261531124,1.0414764848355693,9,v0.61 fine grid with matching exact QM
