catalog_id,stage,selection_status,version,case_id,wc_eV,eta,delE_eV,ntraj_per_repeat,independent_repeats,tmax,qm_signal_rms,qm_signal_peak,poisson_rms_vs_qm,repeat_noise_of_mean_rms,Q_accuracy,Q_repeat,Q_conservative,projected_ntraj_Q10,occupation_min,occupation_max,max_particle_error,min_window_Q,selection_score,rank,source
reference25_v0.60,old_parameter_reference_0_25,reference,v0.60,wc4_eta0p00013758,4.0,0.00013758,-17.194874968839816,1000000,2,25.0,7.892056343511006e-05,0.0003889081823988949,1.987828373106237e-05,1.1050098088344348e-05,3.970190007489759,7.142069039039168,3.970190007489759,6344209,-3.793910671955984e-05,1.000014661728646,6.105658201249753e-10,,,,direct old-parameter comparison against matching QM
reference25_v0.61,old_parameter_reference_0_25,reference,v0.61,wc4_eta0p00013758,4.0,0.00013758,-17.194874968839816,500000,2,25.0,7.892056343511006e-05,0.0003889081823988949,7.418085944695657e-06,7.911993228082422e-06,10.638938942402337,9.974801691562812,9.974801691562812,502530,-1.624780918337562e-05,1.0000003163111564,6.655032080971068e-11,,,,direct old-parameter comparison against matching QM
