case_id,wc_eV,eta,delE_eV,ntraj,back_replicas,exact_back_jumps,exact_zero_back,algorithm,runtime_seconds,qm_path,simulation_path,n_points,actual_tmax,min_Q_0_target,min_active_orbital_Q_0_target,target_stop,target_Q,projected_multiplier,projected_ntraj_Q_target,projected_ntraj_orbital_Q_target,Q_per_sqrt_ntraj,projected_runtime_seconds,signal_rms_active_0_target,signal_peak_active_0_target,amplitude_ratio_active_0_target,cosine_active_0_target,inactive_absolute_error_rms_0_target,max_particle_error,Q_0_50,Q_50_100,Q_100_150,Q_150_200,Q_200_250,Q_250_300,Q_300_350,Q_350_400,Q_400_450,Q_450_500,min_orbital_Q_0_50,min_orbital_Q_50_100,min_orbital_Q_100_150,min_orbital_Q_150_200,min_orbital_Q_200_250,min_orbital_Q_250_300,min_orbital_Q_300_350,min_orbital_Q_350_400,min_orbital_Q_400_450,min_orbital_Q_450_500
v078_exact_zero,3.0,3.2e-6,-17.194874968839816,50000,256,4,1,v0.78,519,validation/v04r/qm/ahm-qm-s10-n5.dat,algorithm_ab_t500/v078/ahm-sepmb-s10-n5-50000.dat,1001,500.0,0.5472647363316789,0.4808570001993827,400.0,10.0,333.8912749669411,16694563.748347057,21624103.868565056,0.002447442304252266,173289.57170784243,2.098760970916305e-06,9.205796551614576e-06,1.4341423446279427,0.7312285985818571,1.375525460693131e-07,8.391864980694663e-11,8.187374534862448,4.619101698945195,2.148490979964555,1.8690224026193167,1.158588457067157,1.0071839532914209,0.6646898984844821,0.5472647363316789,0.45380990663938603,0.33766642886677023,6.747753339842938,4.027582493135449,1.8297954377108279,1.6572023195188321,1.0360035348643166,0.9087951787069756,0.5825470488274411,0.4808570001993827,0.36856963598335524,0.2886566720817927
v076_t500,3.0,3.2e-6,-17.194874968839816,50000,256,4,0,v0.76,261,validation/v04r/qm/ahm-qm-s10-n5.dat,algorithm_ab_t500/v076/ahm-sepmb-s10-n5-50000.dat,1001,500.0,0.546901132443619,0.4887732574391157,400.0,10.0,334.3353937151866,16716769.685759332,20929320.675534416,0.002445816218231096,87261.53775966371,2.098760970916305e-06,9.205796551614576e-06,1.3674879899540553,0.7203351881164216,2.2331142511958876e-07,1.2669687521338346e-10,10.97248267623534,4.549935016542226,2.156657381033973,1.8991002575309754,1.2336012572793316,1.058711304616634,0.7127548280181067,0.546901132443619,0.4394305433973283,0.3614507307997527,10.525123538139269,4.276955894203026,1.9123649796193083,1.7793562228040487,1.0773017986737772,0.8814448596091246,0.6040575792823794,0.4887732574391157,0.3684115075844255,0.3050216490767522
v079_hash_time,3.0,3.2e-6,-17.194874968839816,50000,256,4,0,v0.79,267,validation/v04r/qm/ahm-qm-s10-n5.dat,algorithm_ab_t500/v079/ahm-sepmb-s10-n5-50000.dat,1001,500.0,0.4490993201809256,0.3696734631640422,400.0,10.0,495.8099119538113,24790495.597690564,36587560.38417848,0.0020084332171469853,132381.2464916676,2.098760970916305e-06,9.205796551614576e-06,1.5449508205167257,0.6631943969261597,2.2331112265232262e-07,1.2669776339180316e-10,9.413096022866274,4.0639883054823835,2.029964692108669,1.6668148520543524,0.9628466080953013,0.8580182955819782,0.5919852675595038,0.4490993201809256,0.3919782488543157,0.3066240026979436,8.76403248527111,3.7702643771724973,1.890315273031845,1.496958597776562,0.8936391502871943,0.7864542046867745,0.5370208116774481,0.3696734631640422,0.32019456549692044,0.25156231581059785
v080_both,3.0,3.2e-6,-17.194874968839816,50000,256,4,1,v0.80,506,validation/v04r/qm/ahm-qm-s10-n5.dat,algorithm_ab_t500/v080/ahm-sepmb-s10-n5-50000.dat,1001,500.0,0.4091258081161268,0.3847233722797354,400.0,10.0,597.4289280454802,29871446.402274013,33781028.07854814,0.0018296662365943895,302299.037591013,2.098760970916305e-06,9.205796551614576e-06,1.5476100745356185,0.6485952838424063,1.3755265557292992e-07,8.391864980694663e-11,8.21172207374516,4.321536047226849,2.0443239807372153,2.0226398907633865,1.1437928279055982,0.8055246553670753,0.625961432366739,0.4091258081161268,0.3847997118691631,0.35673702504455884,6.524184306507676,3.540201989635675,1.8560157664651875,1.8818870896795252,1.0470582128647892,0.7457921585354845,0.5568343336049715,0.3847233722797354,0.34465049235601264,0.306808915948054
