case_id,origin,random_seed,wc_eV,eta,delE_eV,ntraj,nstep,dt,tmax,back_replicas,Q_qm_all,Q_qm_active,Q_qm_first_half,Q_qm_second_half,Q_qm_min_half,amplitude_ratio,cosine_similarity,qm_signal_rms,error_rms,static_orbital_leakage_rms,max_abs_occupation_error,max_particle_error,rank
t06_random,random,20260820,3.367556,3.2920651000724556e-5,-17.194874968839816,100000,100,0.5,50,2,3.0301088140275487,3.03763004315841,4.607134854528547,2.3290457964968785,2.3290457964968785,1.040198180857371,0.9484242192146479,1.7958460738051352e-05,5.9266718920834374e-06,6.444810772685814e-07,4.1455207615337386e-05,3.794298208958935e-12,1
t04_f04,fine_t25,0,3.700000,3.7000e-5,-17.194874968839816,100000,100,0.5,50,2,3.0448817445538463,3.054384054696699,4.865813409768831,2.2905504003820862,2.2905504003820862,1.0128403774237722,0.9468352516271719,2.0034656229618936e-05,6.579781387389982e-06,8.144009990635397e-07,4.959382375024912e-05,3.999467423909664e-12,2
t02_p07,validated_t25,20260818,3.410073,2.1384532857498926e-5,-17.194874968839816,100000,100,0.5,50,2,2.708543074558022,2.714537108857407,5.262054554984843,1.9648012967306585,1.9648012967306585,1.0728545165590178,0.9389467700425665,1.1651877788276313e-05,4.301898647182363e-06,4.4946191980061716e-07,4.106630278510881e-05,3.805844528415037e-12,3
t03_f02,fine_t25,0,3.850000,3.1184e-5,-17.194874968839816,100000,100,0.5,50,2,2.2464004393486476,2.2495302855224666,3.388456396866704,1.7205945693278437,1.7205945693278437,0.9942883853991981,0.9003650318673201,1.6827914482348574e-05,7.491057332248337e-06,6.210957081868892e-07,6.471394808882369e-05,3.68594044175552e-12,4
t05_random,random,20260820,3.532913,2.6191598525941022e-5,-17.194874968839816,100000,100,0.5,50,2,2.423176132395217,2.425932965709794,6.963040338845696,1.677917088115156,1.677917088115156,1.1348441916144574,0.9329762275692045,1.4232776218743192e-05,5.873603667709717e-06,4.456111270995743e-07,5.521266664254565e-05,4.070521697485674e-12,5
t01_p03,validated_t25,0,3.700000,3.1184e-5,-17.194874968839816,100000,100,0.5,50,2,2.2257746101570692,2.228562940637284,4.000149388507637,1.6192743273486971,1.6192743273486971,1.1003136441357373,0.9128469867436628,1.6883858621577582e-05,7.585610216115331e-06,6.017496230717779e-07,6.734771014649255e-05,3.7765346405649325e-12,6
