case_id,orbital,qm_signal_rms,simulation_signal_rms,error_rms,Q_qm,amplitude_ratio,cosine_similarity,pearson_correlation,max_abs_error
t01_p03,0,4.856953871488635e-05,5.3365631242562664e-05,2.1557209238601845e-05,2.2530531748012326,1.098746923577562,0.9147916099212402,0.6614141147012248,6.734771014649255e-05
t01_p03,1,2.6243040824198347e-08,5.953419944821702e-07,5.960766784602107e-07,0.044026283484181174,22.685709269377565,-0.005972349727067212,-0.010303881040302734,2.9191527799454775e-06
t01_p03,2,3.5302257800813694e-08,5.945990527722219e-07,5.943383287314953e-07,0.05939757894490803,16.843088510857704,0.03706962550091557,0.004432434514164785,2.8007292631748726e-06
t01_p03,3,4.6187552661801254e-08,6.009127265408367e-07,5.987194378418066e-07,0.0771439003689152,13.010274238622149,0.08583107933516217,0.03804044074761075,2.598617696691896e-06
t01_p03,4,5.764140584260045e-08,6.159011337850684e-07,6.11122298404663e-07,0.09432057379197839,10.685047055703153,0.12937902155735595,0.0720546530432162,3.0686638332610983e-06
t01_p03,5,1.0748027465771906e-05,1.2006415461025403e-05,4.787126965399407e-06,2.245193733831783,1.1170808317396796,0.9173427973612261,0.6726333251324398,1.4359536694286499e-05
t01_p03,6,1.0307833416608413e-05,1.1447879675705506e-05,4.591452834680621e-06,2.245004748551538,1.1105999886707716,0.9161811096311024,0.6877651403905013,1.4820456965352672e-05
t01_p03,7,9.874464094799573e-06,1.0885179695451805e-05,4.541879777246067e-06,2.174091913279765,1.1023565016743064,0.9087916070641789,0.6778248949466675,1.4618482822436266e-05
t01_p03,8,9.466672193459591e-06,1.0389023790820462e-05,4.650250716865718e-06,2.0357337205767165,1.097431449881418,0.8943863317661108,0.6422132415083964,1.3787796268509783e-05
t01_p03,9,9.096421827379281e-06,1.001419018874284e-05,4.796826566636952e-06,1.8963416127335138,1.100893337927796,0.8783266893432051,0.6046668100901744,1.4849962233155191e-05
t02_p07,0,3.353655239118291e-05,3.598288173522935e-05,1.2279176611614292e-05,2.7311727367340146,1.072945164890879,0.9400063662418329,0.7478472818458685,4.106630278510881e-05
t02_p07,1,1.4201754496758152e-08,4.504487959411466e-07,4.530397010057437e-07,0.03134770410900059,31.71782726169298,-0.1671962259229055,-0.11711268737353568,1.795555133576876e-06
t02_p07,2,1.859508332251336e-08,4.4629130520744846e-07,4.4906821672532524e-07,0.041408148316778186,24.00050042621302,-0.1289674924821856,-0.08541129169442076,2.10775739484248e-06
t02_p07,3,2.3614927793678587e-08,4.468771619432917e-07,4.4933865245648475e-07,0.052554855151183605,18.92350321151162,-0.0780994171108244,-0.041124109740633866,2.4233373377979817e-06
t02_p07,4,2.8680703306409786e-08,4.5418589219430655e-07,4.558862781203088e-07,0.06291196880209876,15.83593984227024,-0.027823987890284035,-0.0023590508578475913,2.7172752956605706e-06
t02_p07,5,7.352095602680722e-06,7.864414224734148e-06,2.5578328758347516e-06,2.8743455728245566,1.069683346047163,0.945693127203087,0.7891782260795845,1.0515130784806426e-05
t02_p07,6,7.075736766230379e-06,7.569049456904596e-06,2.5781277935141243e-06,2.744525226418577,1.069718915071657,0.940218522775334,0.7710598377204377,9.651621292118555e-06
t02_p07,7,6.802799281676488e-06,7.284979880475419e-06,2.5943936286190005e-06,2.6221153207571004,1.0708797333029796,0.9344369565411526,0.7526233567240036,8.509786818898258e-06
t02_p07,8,6.54328002063186e-06,7.016244735236005e-06,2.602605632276519e-06,2.514126588940178,1.0722825116933439,0.9286651395329025,0.7340067036888834,7.832329400294836e-06
t02_p07,9,6.304627974518542e-06,6.7585833535743096e-06,2.602846590212625e-06,2.422204980587627,1.0720035156539802,0.9229209063191149,0.7135280488842813,8.138396078078198e-06
t03_f02,0,4.839869801372607e-05,4.8002601224162604e-05,2.1297181514837987e-05,2.272540053246302,0.9918159618787445,0.9024189319843231,0.6495436962837992,6.471394808882369e-05
t03_f02,1,2.444610871113925e-08,6.334162098262496e-07,6.350685061064101e-07,0.038493656158479286,25.91071721519522,-0.04838045765966193,-0.027233490239046802,2.4837525722798404e-06
t03_f02,2,3.330091513085495e-08,6.251821804211808e-07,6.278258356186422e-07,0.05304164505756783,18.773723723944105,-0.052921742679369166,-0.05509060517452117,2.2682903368931306e-06
t03_f02,3,4.421740659299923e-08,6.14935271761601e-07,6.191952544114289e-07,0.07141108766253343,13.907085899944237,-0.06072256734764235,-0.08191183600351647,2.1442105282432067e-06
t03_f02,4,5.595431787641971e-08,6.105941965572116e-07,6.171672176177998e-07,0.09066314003585198,10.912369585234966,-0.07228392729991168,-0.10852667782285443,2.341834144381494e-06
t03_f02,5,1.0755914382005833e-05,1.1446845298697243e-05,4.956694472718577e-06,2.169977278447542,1.064237301651202,0.902163813585316,0.7030028535040195,1.6079698067399857e-05
t03_f02,6,1.0297462875936903e-05,1.0679800647719446e-05,4.80470126220534e-06,2.143205646714944,1.0371293178124477,0.8957081009753419,0.6817430451001423,1.554015986949745e-05
t03_f02,7,9.847030575874033e-06,9.827348897947186e-06,4.581422277703018e-06,2.149339218041046,0.9980012575593024,0.891552143031534,0.6543950702182043,1.4467722187896438e-05
t03_f02,8,9.425555564991816e-06,9.018824322694326e-06,4.373372575418965e-06,2.155214403174616,0.9568480351642972,0.8884747049284795,0.6299878319519057,1.561214554024808e-05
t03_f02,9,9.045095436495792e-06,8.410358745759955e-06,4.272925410591213e-06,2.1168390662930596,0.9298253185726757,0.8826448356357045,0.6202077538538473,1.7850598561565435e-05
t04_f04,0,5.762865946428738e-05,5.827162366600401e-05,1.863133617935275e-05,3.0931039464658188,1.0111570216571684,0.9483768085089032,0.780475667356367,4.959382375024912e-05
t04_f04,1,3.6942199133450214e-08,8.992731499425131e-07,9.017602270779409e-07,0.040966764805271484,24.34270755495561,-0.0468765370623408,-0.02151053424840737,3.278593988520484e-06
