# Full Poisson: exact (1,1) sector + all sampled higher sectors; time_au orbital_0..9
0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+01 9.999992521152296643e-01 9.999999999994684252e-01 9.999999999994275690e-01 9.999999999993854916e-01 9.999999999993423039e-01 1.452578238445943221e-07 1.485971296339889494e-07 1.507924276801229659e-07 1.517683178193253064e-07 1.514714475244297559e-07
2.000000000000000000e+01 9.999996627739280441e-01 9.999999999104526305e-01 9.999999999090007918e-01 9.999999999079696167e-01 9.999999999074067336e-01 1.037058531392739070e-07 8.410450993266811392e-08 6.549544376356967975e-08 4.892977797681281464e-08 3.535565736736306191e-08
3.000000000000000000e+01 9.999996331819953621e-01 1.000000000156824775e+00 1.000000000161223701e+00 1.000000000162713176e+00 1.000000000161392233e+00 4.893746547926589529e-08 5.847897903224727917e-08 7.182457242338184054e-08 8.664019960649412652e-08 1.002946342127473015e-07
4.000000000000000000e+01 9.999994846477419097e-01 9.999999998338200413e-01 9.999999998503267262e-01 9.999999998737996165e-01 9.999999999044087984e-01 1.175679668433787479e-07 1.164343162382148381e-07 1.083663570121376152e-07 9.480128384606432262e-08 7.871997900645477096e-08
5.000000000000000000e+01 9.999996149782499621e-01 1.000000000760945973e+00 1.000000000655207888e+00 1.000000000535237632e+00 1.000000000419589918e+00 8.705392618086697443e-08 7.681890536655820037e-08 7.118157280565511411e-08 7.136375345487038449e-08 7.623261053992829439e-08
6.000000000000000000e+01 9.999995598441834277e-01 1.000000001130659344e+00 1.000000000907815378e+00 1.000000000713028969e+00 1.000000000561394042e+00 8.616655293165816544e-08 8.823039184907690939e-08 8.991564781306014905e-08 8.873469577771453582e-08 8.379563030388340552e-08
7.000000000000000000e+01 9.999995684930806927e-01 1.000000001732134436e+00 1.000000000941265732e+00 1.000000000236978437e+00 9.999999997097628324e-01 9.350270029214814585e-08 9.019592280098151697e-08 8.554980891146663777e-08 8.117117927866426440e-08 7.846716650429038625e-08
8.000000000000000000e+01 9.999995371269105870e-01 1.000000003598141118e+00 1.000000003273395999e+00 1.000000002829259493e+00 1.000000002177329650e+00 9.625898659985165104e-08 9.320901442492302035e-08 9.042095473498993507e-08 8.749472045870266600e-08 8.361128667378927067e-08
9.000000000000000000e+01 9.999995634581183568e-01 9.999999994726924690e-01 9.999999978469802375e-01 9.999999970079062050e-01 9.999999969496914387e-01 9.622994561253135412e-08 9.305492668291355535e-08 8.928271945795394070e-08 8.519479593995529421e-08 8.150222362102683453e-08
1.000000000000000000e+02 9.999995912292900524e-01 1.000000002389113796e+00 1.000000002963780110e+00 1.000000003248493918e+00 1.000000002989898107e+00 8.473097241504655163e-08 8.141892569280733419e-08 7.853084617082486748e-08 7.653829920640503446e-08 7.596038059237608024e-08
1.100000000000000000e+02 9.999996630014330590e-01 9.999999957766259051e-01 9.999999942809639775e-01 9.999999942944599596e-01 9.999999957036072029e-01 8.355003305926111595e-08 7.540717385511557427e-08 6.837330776492554526e-08 6.479811074841759722e-08 6.481428451148932721e-08
1.200000000000000000e+02 9.999996916723091767e-01 9.999999968245947279e-01 1.000000000236021425e+00 1.000000002849073200e+00 1.000000004319658187e+00 7.127922963437137239e-08 6.429202784500313496e-08 5.772265887538652511e-08 5.409161641730303921e-08 5.671281052609410112e-08
1.300000000000000000e+02 9.999996602169102244e-01 9.999999907913640351e-01 9.999999944134942975e-01 9.999999978895359742e-01 1.000000000763249908e+00 7.765599681918823736e-08 7.724989997816365086e-08 7.082920771461084869e-08 6.480280300062315294e-08 6.538753806344735487e-08
1.400000000000000000e+02 9.999996173087588591e-01 9.999999815046709539e-01 9.999999900293703448e-01 9.999999968432615738e-01 1.000000001342792322e+00 8.427786174989276773e-08 8.320484071465819974e-08 7.784202651947509402e-08 7.848816466984570550e-08 8.915825240161613002e-08
1.500000000000000000e+02 9.999995699817474382e-01 9.999999736143702078e-01 9.999999864303497077e-01 9.999999960976646562e-01 1.000000000630288710e+00 1.005268177763279129e-07 9.050266646771857621e-08 8.429876688843634539e-08 8.966224357070818853e-08 1.082550846195163499e-07
1.600000000000000000e+02 9.999997409522687342e-01 9.999999779936208366e-01 9.999999880652590267e-01 9.999999934041883254e-01 9.999999958802459066e-01 6.124016885520515925e-08 3.306242992241122611e-08 2.472463343454307924e-08 5.594285831182392438e-08 1.287343266810189741e-07
1.700000000000000000e+02 9.999999210407986006e-01 9.999999782554448435e-01 9.999999889353829996e-01 9.999999969217772122e-01 1.000000001863120769e+00 -2.578671653026895582e-08 -4.952182338233431886e-08 -1.931473783741370704e-08 6.194798792600076921e-08 1.456587654400630128e-07
1.800000000000000000e+02 9.999996532840979002e-01 9.999999990207288914e-01 1.000000008100204951e+00 1.000000009972630721e+00 1.000000006354464066e+00 1.786978740112138123e-08 3.460861528205452228e-08 7.363327787438959081e-08 1.018592498172209633e-07 9.529694300676958126e-08
1.900000000000000000e+02 9.999994693897180653e-01 1.000000033586682324e+00 1.000000032355575996e+00 1.000000023403038174e+00 1.000000010411554507e+00 1.156670681166762817e-07 9.538703915933536931e-08 8.098415745584335985e-08 7.372533457783478645e-08 6.508983156759498288e-08
2.000000000000000000e+02 9.999993745182662597e-01 1.000000073705397341e+00 1.000000063075762391e+00 1.000000045156790529e+00 1.000000026189627356e+00 1.004307065417494088e-07 8.893098895534372540e-08 8.034456404366961982e-08 7.734398000376850368e-08 7.030391659788641652e-08
2.100000000000000000e+02 9.999991564393857502e-01 1.000000119283829925e+00 1.000000105991547983e+00 1.000000078515185242e+00 1.000000046510432394e+00 1.041833621083071551e-07 9.282620947621116485e-08 9.689540556035113421e-08 1.073269328354089920e-07 9.202770885882840530e-08
2.200000000000000000e+02 9.999991506204218839e-01 1.000000150133164123e+00 1.000000136550633467e+00 1.000000100260683089e+00 1.000000058144713710e+00 9.734609586226113468e-08 7.044386109046226251e-08 8.295849887621635642e-08 9.390858214974494614e-08 5.963334540233884618e-08
2.300000000000000000e+02 9.999995893716447926e-01 1.000000139750100825e+00 1.000000135094057274e+00 1.000000102560604898e+00 1.000000059284763765e+00 3.782943089309658967e-08 -4.413760733420158581e-09 4.883357624903350611e-09 1.898096447024138333e-09 -6.625829562180714617e-08
2.400000000000000000e+02 1.000000000170378378e+00 1.000000081038995070e+00 1.000000085150663409e+00 1.000000060335652474e+00 1.000000020937303669e+00 4.566734142396992154e-08 3.836641339427381607e-08 5.020749217779521220e-09 -8.348340743272401413e-08 -2.532040896030447633e-07
2.500000000000000000e+02 9.999996696319760625e-01 9.999999940347409355e-01 9.999999991451967718e-01 9.999999827397763053e-01 9.999999541629202016e-01 3.023213550978342262e-07 2.809742291226762537e-07 1.085089501083064631e-07 -7.025285973894392506e-08 -2.212662849173540878e-07
2.600000000000000000e+02 9.999987292705505570e-01 9.999999198527148581e-01 9.999999091961532249e-01 9.999998877843634393e-01 9.999998662490726664e-01 6.512203666583233057e-07 4.884645677049721459e-07 2.543590099253445985e-07 1.606318988425349699e-07 1.329713021098752779e-07
2.700000000000000000e+02 9.999980580365408489e-01 9.999998777047418574e-01 9.999998398734643024e-01 9.999997976248141685e-01 9.999997711072767803e-01 8.189161978262121352e-07 5.946972231084969628e-07 4.627801849599158084e-07 4.247447043067044306e-07 3.545148518432059835e-07
2.800000000000000000e+02 9.999980384060339622e-01 9.999998767898752305e-01 9.999998136195777931e-01 9.999997434914605909e-01 9.999996959185792900e-01 8.390233203786167702e-07 6.653594324571941077e-07 5.750872535607379661e-07 4.534885069587599280e-07 2.988159597193130088e-07
2.900000000000000000e+02 9.999984537688372255e-01 9.999999158766657015e-01 9.999998424307295908e-01 9.999997490597288818e-01 9.999996710498224584e-01 7.827590189812253469e-07 6.148619957641919855e-07 4.803006791321587466e-07 3.022393347683230505e-07 1.876531875821297553e-07
3.000000000000000000e+02 9.999988463619916557e-01 9.999999648273067976e-01 9.999999079088359721e-01 9.999998132436515030e-01 9.999997189269647091e-01 6.252314029783838795e-07 4.465155934284032239e-07 3.053834295322307139e-07 1.681939929000570522e-07 2.034068305413996188e-07
3.100000000000000000e+02 9.999987684574782598e-01 9.999999920431453804e-01 9.999999732804095709e-01 9.999999043675931176e-01 9.999998239054966875e-01 4.200998032963687118e-07 2.831179577632781812e-07 2.383138279630471922e-07 1.999366643409853396e-07 3.964776235776611381e-07
3.200000000000000000e+02 9.999982486219379796e-01 9.999999886960178053e-01 1.000000010344315626e+00 9.999999775429899707e-01 9.999999326464161786e-01 2.728228937969604783e-07 2.312458250023063172e-07 3.714640992105656263e-07 3.697811299685313390e-07 5.968343745600066375e-07
3.300000000000000000e+02 9.999977729575574292e-01 9.999999914766531939e-01 1.000000027081474618e+00 1.000000007853461659e+00 9.999999922854058143e-01 2.735078733949683719e-07 3.287023458476890355e-07 6.198074010467097755e-07 4.999589069731060592e-07 4.863689199730137752e-07
3.400000000000000000e+02 9.999975968767281786e-01 1.000000080706288319e+00 1.000000082037996396e+00 1.000000023077982636e+00 9.999999964970157640e-01 4.872412975180982444e-07 5.579120208134809859e-07 7.933854077247204376e-07 4.151613616650636220e-07 -3.289609895813868613e-08
3.500000000000000000e+02 9.999975942315966204e-01 1.000000299589502095e+00 1.000000231918105609e+00 1.000000078563411332e+00 9.999999826377897749e-01 8.411274383208650660e-07 8.010525089956384541e-07 7.351960922054892175e-07 8.946390865078331135e-08 -6.537803538836939942e-07
3.600000000000000000e+02 9.999977841080057717e-01 1.000000581201735850e+00 1.000000455818891965e+00 1.000000193649644986e+00 9.999999827747380055e-01 1.028803621687399960e-06 8.359931675304012424e-07 4.481562197281467975e-07 -3.321503663648134613e-07 -9.783556591065201203e-07
