window_start,window_end,orbital,difference_rms,reference_run_sd_rms,reference_signal_rms,cross_Q,observed_sd_ratio,expected_sd_ratio
0.0,10.0,0,5.828130169015488e-07,1.2639732962316241e-06,0.0010134102108689067,1738.8256292842825,0.46109598884654585,0.8944271909999159
0.0,10.0,1,2.8121420963451347e-09,3.46396364769609e-09,4.301903348517704e-07,152.97603041143518,0.8118278314541532,0.8944271909999159
0.0,10.0,2,6.213532917334081e-07,8.32803543833476e-07,0.0005114571290584117,823.1341748131474,0.7460982801216938,0.8944271909999159
0.0,10.0,3,6.084591494929507e-07,4.96865689359853e-07,0.0005023496836033329,825.6095483516973,1.2245948201351387,0.8944271909999159
10.0,20.0,0,2.754526813281718e-06,3.727543967462647e-06,0.0010392426220164556,377.28535333381325,0.738965613102274,0.8944271909999159
10.0,20.0,1,1.8632133335985816e-08,2.271413666252033e-08,2.8360750666575807e-06,152.21418908483383,0.8202879824497111,0.8944271909999159
10.0,20.0,2,1.7055358662202003e-06,2.5933487305291395e-06,0.000535037221207391,313.70622676680364,0.65765774041203,0.8944271909999159
10.0,20.0,3,1.9875749471203165e-06,2.2996863949555537e-06,0.0005062141288046648,254.6893285901442,0.8642808651997659,0.8944271909999159
20.0,30.0,0,7.016017257332334e-06,6.908890841307917e-06,0.000959125549235325,136.7051297134364,1.0155055881595225,0.8944271909999159
20.0,30.0,1,6.738652937290201e-08,1.7045882058873513e-07,5.627033520671979e-06,83.50383337793274,0.39532439060742447,0.8944271909999159
20.0,30.0,2,5.7576763967465286e-06,5.373289662517004e-06,0.00047832849085440766,83.07665417332159,1.0715365741234704,0.8944271909999159
20.0,30.0,3,3.962322966633304e-06,6.012137988628408e-06,0.0004863526229543459,122.74431616249309,0.6590538963223725,0.8944271909999159
30.0,40.0,0,1.1121485494478887e-05,1.5243342186809122e-05,0.001046011003538128,94.05317338744057,0.7295962629575358,0.8944271909999159
30.0,40.0,1,1.591232847616477e-07,2.9968361243031955e-07,1.2802379024628552e-05,80.45572364726733,0.5309709245401131,0.8944271909999159
30.0,40.0,2,6.867734764709644e-06,9.361791746554061e-06,0.0005449072902686861,79.34308894232957,0.7335919181536543,0.8944271909999159
30.0,40.0,3,6.272090978722135e-06,1.0253754736494393e-05,0.0005127184860387273,81.74602182559343,0.611687244322217,0.8944271909999159
40.0,50.0,0,2.1537293425043486e-05,2.308480366167645e-05,0.000981951145741177,45.59306159609488,0.9329641152979777,0.8944271909999159
40.0,50.0,1,6.498033021740336e-07,5.760082284713321e-07,2.073987475727782e-05,31.91715814291624,1.1281146172139698,0.8944271909999159
40.0,50.0,2,1.259650147037361e-05,1.371773780811188e-05,0.0004978879871231464,39.5258944155372,0.9182637579590393,0.8944271909999159
40.0,50.0,3,1.2829602976968739e-05,1.6293597516834793e-05,0.0005048468020184786,39.35015003385235,0.7874014909054307,0.8944271909999159
50.0,60.0,0,2.834294853852298e-05,2.9525057476810542e-05,0.0011057965058706995,39.01487187784046,0.9599625186431555,0.8944271909999159
50.0,60.0,1,9.857711083023859e-07,1.486084801562881e-06,3.31438122413751e-05,33.622219156384745,0.6633343583526816,0.8944271909999159
50.0,60.0,2,2.120490982866278e-05,1.799029369833697e-05,0.0005821784635769347,27.45488984772768,1.1786861395499602,0.8944271909999159
50.0,60.0,3,1.5472281542698748e-05,2.1874103256352576e-05,0.0005563445709555241,35.957500477236266,0.7073332955125994,0.8944271909999159
60.0,70.0,0,2.5336588801846356e-05,4.2743976691181775e-05,0.0011096707100034218,43.79716301519471,0.5927522603921263,0.8944271909999159
60.0,70.0,1,2.322322863889394e-06,1.5351787935614426e-06,4.716874083958336e-05,20.31101771981257,1.5127377173455252,0.8944271909999159
60.0,70.0,2,3.129044115837645e-05,2.6145117808356682e-05,0.0005849739133079663,18.69497174383458,1.1967986293936372,0.8944271909999159
60.0,70.0,3,2.3179704001115056e-05,3.0884933692167233e-05,0.0005724860551408111,24.69772932015317,0.7505181727812383,0.8944271909999159
70.0,80.0,0,5.0186357346614305e-05,5.207653194664291e-05,0.0012035276930152834,23.98117250676446,0.9637039078953019,0.8944271909999159
70.0,80.0,1,4.0884572265021046e-06,4.392425332535822e-06,6.615401666684564e-05,16.18067965540243,0.9307972058666206,0.8944271909999159
70.0,80.0,2,4.066023373976592e-05,3.352387775752677e-05,0.0006453684911408387,15.872227771028896,1.2128738218727366,0.8944271909999159
70.0,80.0,3,3.517769836787464e-05,4.010129465791594e-05,0.0006245858840290337,17.7551662845408,0.8772210141332832,0.8944271909999159
80.0,90.0,0,6.598041354458208e-05,6.929210611140386e-05,0.0012436165905099015,18.848269110493018,0.9522067843991143,0.8944271909999159
80.0,90.0,1,5.461678882328265e-06,5.262110598265218e-06,8.75561518981194e-05,16.03099592350896,1.0379255206321278,0.8944271909999159
80.0,90.0,2,5.116416319640492e-05,5.4533649647998395e-05,0.0006762561985974848,13.217380219852835,0.9382127095226029,0.8944271909999159
