round,rank,selection_status,case_id,wc_eV,eta,required_until,required_Q,bottleneck_window,passes_required_interval,independent_repeats,ntraj_per_run
4,1,retained,r4_wc0p12_eta2em5,0.12,2e-05,130.0,2.3354108771524893,120-130,False,3,8000000
4,2,retained,r4_wc0p20_eta2p5em5,0.2,2.5e-05,130.0,2.332701258535331,120-130,False,3,8000000
4,3,retained,r4_wc0p12_eta2p8em5,0.12,2.8e-05,130.0,2.2798310009830693,120-130,False,3,8000000
4,4,retained,r4_wc0p20_eta3p75em5,0.2,3.75e-05,130.0,2.259501440608674,120-130,False,3,8000000
4,5,retained,r3_wc0p20_eta3p5em5,0.2,3.5e-05,130.0,2.230435397778576,120-130,False,3,8000000
4,6,retained,r3_wc0p12_eta2p4em5,0.12,2.4e-05,130.0,2.208064852250869,120-130,False,3,8000000
4,7,eliminated,r3_wc0p25_eta5em5,0.25,5e-05,130.0,2.205272523701732,120-130,False,3,8000000
4,8,eliminated,r4_wc0p20_eta3em5,0.2,3e-05,130.0,2.2047305789241545,120-130,False,3,8000000
4,9,eliminated,r4_wc0p16_eta2p8em5,0.16,2.8e-05,130.0,2.2027399370148686,120-130,False,3,8000000
4,10,eliminated,r3_wc0p15_eta3em5,0.15,3e-05,130.0,2.176728705102988,120-130,False,3,8000000
4,11,eliminated,r4_wc0p24_eta4p2em5,0.24,4.2e-05,130.0,2.1572364113772595,120-130,False,3,8000000
4,12,eliminated,r4_wc0p15_eta2p5em5,0.15,2.5e-05,130.0,2.1571077718424463,120-130,False,3,8000000
4,13,eliminated,r2_wc0p20_eta4em5,0.2,4e-05,130.0,2.1509962506310285,120-130,False,3,8000000
4,14,eliminated,r2_wc0p40_eta8em5,0.4,8e-05,130.0,2.150606660743798,120-130,False,3,8000000
4,15,eliminated,r4_wc0p18_eta3p15em5,0.18,3.15e-05,130.0,2.091322190465299,120-130,False,3,8000000
4,16,eliminated,r4_wc0p20_eta3p25em5,0.2,3.25e-05,130.0,2.0686095755285083,120-130,False,3,8000000
4,17,eliminated,r4_wc0p22_eta3p85em5,0.22,3.85e-05,130.0,2.0241367014201113,120-130,False,3,8000000
4,18,eliminated,r4_wc0p10_eta2em5,0.1,2e-05,130.0,1.8936745698397843,120-130,False,3,8000000
