window_start,window_stop,orbital,Q,signal_rms,error_rms,amplitude_ratio,cosine
0.0,25.0,0,7.727489692904014,5.085985249111514e-07,6.581678463811945e-08,1.0191291873753066,0.9919634631148412
0.0,25.0,5,7.382514684482466,1.0691660393080994e-07,1.4482409924025105e-08,1.016732758418401,0.9911146140715066
0.0,25.0,6,7.506687789030092,1.0467768064134665e-07,1.3944589622378796e-08,1.0170610003221017,0.991418883762457
0.0,25.0,7,7.728251919052214,1.0249893555140992e-07,1.3262887471191584e-08,1.01775724606572,0.9919293910704426
0.0,25.0,8,7.994134117412359,1.00266488307888e-07,1.254250764813832e-08,1.0198675325422029,0.9925219602085099
0.0,25.0,9,8.33160497206074,9.78921815494311e-08,1.1749498671348848e-08,1.0224887231102298,0.9932027453730937
25.0,50.0,0,9.161708868214538,4.519646580304061e-07,4.933191662512262e-08,0.9918500396501979,0.9940276817503831
25.0,50.0,5,10.054123456740044,9.894803988268577e-08,9.841538181665492e-09,0.9778484379719027,0.9951925403127525
25.0,50.0,6,9.44266690875603,9.526256639487696e-08,1.0088523434681526e-08,0.9835720847600027,0.9944358844202271
25.0,50.0,7,9.038249652658209,9.13792536775972e-08,1.0110282099888883e-08,0.9927101472903791,0.9938611159697602
25.0,50.0,8,8.529597341025877,8.754612617761424e-08,1.026380527443337e-08,1.001712549831662,0.9931407417787304
25.0,50.0,9,8.233759886255097,8.402646857221683e-08,1.020511524904742e-08,1.0111301343964143,0.9927672447686978
50.0,75.0,0,7.182396920167257,4.358978615067642e-07,6.068974833217842e-08,1.0139678760558464,0.9905373270855156
50.0,75.0,5,7.97305783223393,9.180822681881425e-08,1.1514807587077415e-08,1.0069236560577237,0.9922124980462214
50.0,75.0,6,7.380952104234565,8.93302041371181e-08,1.2102802304579107e-08,1.005806212407111,0.9908917998615301
50.0,75.0,7,7.056917305519198,8.716253086173323e-08,1.2351360670411091e-08,1.010179441285243,0.9901123174568854
50.0,75.0,8,6.431216976703802,8.512377764327967e-08,1.3236029502911942e-08,1.0198674112062636,0.9883401936092675
50.0,75.0,9,6.24151720902664,8.301542047011425e-08,1.3300519359308221e-08,1.0300351387382058,0.9879773406438805
75.0,100.0,0,7.082359546585813,4.36628887906896e-07,6.165020076075936e-08,0.9921993298849585,0.9899841564449927
75.0,100.0,5,7.599838385149142,9.248977353436881e-08,1.2169965839681966e-08,0.9966115716857876,0.9913194494295541
75.0,100.0,6,7.200952767204672,8.989639814986738e-08,1.2483958867121431e-08,0.984981552973623,0.9903249632521519
75.0,100.0,7,6.887332772046459,8.730046934896312e-08,1.2675512021618668e-08,0.9905680114620057,0.9894038771116179
75.0,100.0,8,6.2048266136807015,8.47341571837807e-08,1.3656168408792396e-08,0.9964547120174303,0.9869730445003946
75.0,100.0,9,5.674942921643529,8.22622422930881e-08,1.4495695098421184e-08,1.0030948511059825,0.9845271247752505
