start,stop,points,aggregate_Q,min_orbital_Q,projected_ntraj_aggregate_Q10,projected_ntraj_strict_Q10
0,100,201,9.57295165317529,8.70174772081397,272802.4570228299,330161.9586917425
100,200,201,5.3894713232568385,4.368146194143215,860691.8246388428,1310224.3870807895
200,300,201,2.5147102339299527,2.1520056095161983,3953339.486358563,5398252.6991154095
300,400,201,1.7310783739285551,1.6595610537714913,8342698.466529811,9077234.184153534
400,500,201,0.9750543779693864,0.7133477391516588,26295554.62927966,49128944.12016261
500,600,201,0.4420861327805267,0.35532097898245146,127916398.7231063,198015099.6430118
600,700,201,0.6963005157374894,0.49137246401185497,51563997.060305655,103542435.90122052
700,800,201,0.53531762740067,0.4888216508039497,87240253.68474305,104625884.3666811
800,900,201,0.33985671884659097,0.25614446134113983,216445364.05404195,381039562.364464
900,1000,201,0.19782701212269746,0.16851977835650953,638805762.7388016,880315300.2898979
1000,1100,201,0.30192615659717775,0.28170278249257735,274244881.96197385,315034223.24913347
1100,1200,201,0.3583376465884069,0.2894110892250458,194695150.63441193,298476176.8006561
1200,1300,201,0.2016673957105798,0.1787985534750223,614707665.3688098,782009460.100985
1300,1400,201,0.2866772523230994,0.24943963285125817,304196030.1535339,401799221.9628214
1400,1500,201,0.12784112335494688,0.1035156653269621,1529673884.8105254,2333070449.904932
1500,1600,201,0.1271043795327457,0.09530397347368469,1547458385.675706,2752440838.1503534
1600,1700,201,0.13505144440891106,0.10438038162663445,1370697251.069715,2294574949.5167336
1700,1800,201,0.10269696905647611,0.08570758859832263,2370417016.6066856,3403309578.709187
1800,1900,201,0.12357169495073556,0.10009475351327844,1637201000.5331032,2495269049.5101647
1900,2000,201,0.082115255106978,0.06711793025420179,3707595238.9030175,5549615541.076948
2000,2100,201,0.15137696258131866,0.08128024213562678,1090989159.1820989,3784164709.554172
2100,2200,201,0.06268433395555455,0.03694764191549631,6362414765.157263,18313297762.37032
2200,2300,201,0.08094182726198662,0.05620484278484695,3815873772.064282,7913936003.025031
2300,2400,201,0.07956792664743337,0.03778220621833513,3948788976.4982057,17513194883.9805
2400,2500,201,0.06070206674750221,0.030203740723668958,6784737550.927765,27404289175.248035
