start,stop,points,aggregate_Q,min_orbital_Q,projected_ntraj_aggregate_Q10,projected_ntraj_strict_Q10
0,100,201,5.184811383336038,4.429420739736229,929981.0192690408,1274225.051275963
100,200,201,3.9730628637711476,3.4411260319717263,1583759.143502579,2111246.0526659735
200,300,201,3.259966800933719,2.9983983213870573,2352413.4513823846,2780746.2263219105
300,400,201,3.315293889615165,2.9491139748250763,2274552.378824804,2874464.1360762883
400,500,201,2.0669497121857905,2.005797040685269,5851674.864197237,6213925.415751298
500,600,201,1.9892154956252857,1.7027367659863681,6317952.28080719,8622733.854888756
600,700,201,2.2224210690847492,1.5995705051529887,5061594.125572368,9770869.968818821
700,800,201,1.3123160195318757,1.1825694739448436,14516541.09965546,17876672.34652103
800,900,201,1.3556167060229163,1.020652234653528,13603986.245698884,23998518.2177536
900,1000,201,0.759989395976936,0.5593944058234734,43283756.315265484,79892087.83530766
1000,1100,201,1.2437569634993564,1.0180966489197598,16161027.085289912,24119149.682866078
1100,1200,201,0.6281089914580127,0.5091643585670204,63367998.18115934,96432631.39466073
1200,1300,201,0.5778091718360184,0.5251394133456289,74880915.59396528,90654794.83127114
1300,1400,201,0.7178418709665719,0.4127525809325762,48515714.90361595,146744020.4305777
1400,1500,201,0.3681224876970771,0.3604197446808786,184482558.1521903,192452190.80738553
1500,1600,201,0.3254181918633367,0.2547788509918108,236078454.49322754,385135240.680478
1600,1700,201,0.28198468799251053,0.2423704274294442,314404646.598267,425579550.1587652
1700,1800,201,0.3074330697286277,0.25497528346695375,264508020.62431625,384542054.34435123
1800,1900,201,0.22231366612816927,0.167838389686876,505833615.7328272,887477600.6242319
1900,2000,201,0.1402807188233115,0.10729667603242912,1270410408.9561331,2171538194.9993515
2000,2100,201,0.1237858173294062,0.09758304412395698,1631541900.2756069,2625374634.2595544
2100,2200,201,0.20100053260224215,0.10881905082295398,618793285.1267704,2111203716.7805068
2200,2300,201,0.13789949700547866,0.0726043034260883,1314663618.2931767,4742586737.2882185
2300,2400,201,0.10102594042751897,0.046972221256419165,2449481732.1690464,11330727965.096731
2400,2500,201,0.08870307986473756,0.05325954470964714,3177332098.4003115,8813433045.596956
