#PATCH_CHECK: SepMBpoisson v0.60 fullmb-kondo adaptive-t500 active
#discretizing the bath:
#     0 0.0000000000000000e+00 -9.1873305439137479e-02
#     1 3.8729833462074169e-03 -1.6647442945571711e-01
#     2 3.8729833462074169e-03 -1.6537295205159125e-01
#     3 3.8729833462074169e-03 -1.6426947012517779e-01
#adaptive measurement: gap=1.1014774041258613e-03 period_steps=11409 nmeas=200 nwf=200 tmax=1.0000000000000000e+02 forced_stride=1
  0.00000000 +2.0000000000000000e+00 +1.9999999999999998e+00 +1.8374661879283106e-03 +1.0000000000000000e+00 +1.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00
  0.50000000 +2.0000000000000000e+00 +1.9999999999746605e+00 +1.8404704060301243e-03 +9.9999237301848731e-01 +1.0000000000002067e+00 +3.9208306731401259e-06 +3.7061510444465402e-06
  1.00000000 +2.0000000000000000e+00 +1.9999999992070450e+00 +1.8492826479955861e-03 +9.9996999638379969e-01 +9.9999999995030797e-01 +1.5032503677513137e-05 +1.4971162237470074e-05
  1.50000000 +2.0000000000000000e+00 +1.9999999962768662e+00 +1.8637798884347224e-03 +9.9993316911981289e-01 +9.9999999963359665e-01 +3.3366843646614975e-05 +3.3464402855279013e-05
  2.00000000 +2.0000000000000000e+00 +1.9999999816833218e+00 +1.8837241114623129e-03 +9.9988247373202754e-01 +9.9999999862878275e-01 +5.8484537041890204e-05 +5.9043103747575015e-05
  2.50000000 +2.0000000000000000e+00 +2.0000000126447235e+00 +1.9086654030040274e-03 +9.9981902572884052e-01 +9.9999999669766559e-01 +8.9875376374485237e-05 +9.1102197030178952e-05
  3.00000000 +2.0000000000000000e+00 +2.0000000092272172e+00 +1.9376562004265005e-03 +9.9974519290565023e-01 +9.9999999362906089e-01 +1.2708654336740817e-04 +1.2772692150206510e-04
  3.50000000 +2.0000000000000000e+00 +2.0000000310861803e+00 +1.9702680200179043e-03 +9.9966203815719767e-01 +9.9999998791085187e-01 +1.6900156308566122e-04 +1.6897236928234251e-04
  4.00000000 +2.0000000000000000e+00 +1.9999998634174396e+00 +2.0054461465551800e-03 +9.9957216362815726e-01 +9.9999997976036958e-01 +2.1307979822691956e-04 +2.1477681359386943e-04
  4.50000000 +2.0000000000000000e+00 +1.9999998745825465e+00 +2.0428645067982311e-03 +9.9947641190724146e-01 +9.9999996763680121e-01 +2.5936860457690503e-04 +2.6425184972951062e-04
  5.00000000 +2.0000000000000000e+00 +2.0000001138254055e+00 +2.0803113289903628e-03 +9.9938032476434868e-01 +9.9999995178229306e-01 +3.0869471971247086e-04 +3.1102873399073628e-04
