round,rank,selection_status,case_id,wc_eV,eta,required_until,required_Q,bottleneck_window,passes_required_interval,independent_repeats,ntraj_per_run
1,1,retained,r1_wc0p2_eta5em5,0.2,5e-05,130.0,2.1053590479382898,120-130,False,3,8000000
1,2,retained,r1_wc0p05_eta1em4,0.05,0.0001,130.0,1.707767990693404,120-130,False,3,8000000
1,3,retained,r1_wc0p5_eta1em4,0.5,0.0001,130.0,1.5490423368102788,120-130,False,3,8000000
1,4,retained,r1_wc1p0_eta1p2em4,1.0,0.00012,130.0,1.4657935368182227,120-130,False,3,8000000
1,5,eliminated,r1_wc2p5_eta1p2em4,2.5,0.00012,130.0,1.3006724132355005,120-130,False,3,8000000
1,6,eliminated,r1_wc2p15_eta8em5,2.15,8e-05,130.0,1.2789415664711945,120-130,False,3,8000000
1,7,eliminated,r1_wc1p5_eta1p2em4,1.5,0.00012,130.0,1.247907328669899,120-130,False,3,8000000
1,8,eliminated,r1_wc1p2_eta1p2em4,1.2,0.00012,130.0,1.1238174200570403,120-130,False,3,8000000
1,9,eliminated,r1_wc2p0_eta1p2em4,2.0,0.00012,130.0,1.0398430519747404,120-130,False,3,8000000
1,10,eliminated,r1_wc3p5_eta1p2em4,3.5,0.00012,130.0,1.039820482490079,120-130,False,3,8000000
1,11,eliminated,r1_wc5p0_eta1p2em4,5.0,0.00012,130.0,0.9396967676784482,110-120,False,3,8000000
1,12,eliminated,r1_wc2p3_eta1p6em4,2.3,0.00016,130.0,0.8671183608432675,120-130,False,3,8000000
