window_start,window_stop,orbital,Q,signal_rms,error_rms,amplitude_ratio,cosine
0.0,25.0,0,6.93818039856775,5.085985249111514e-07,7.330430973171892e-08,1.0090763293718334,0.9897475151281672
0.0,25.0,5,7.871951216015535,1.0691660393080994e-07,1.3581969831480589e-08,1.0159565265942656,0.9921833021022763
0.0,25.0,6,7.271920386428318,1.0467768064134665e-07,1.4394778143708503e-08,1.0144465545296555,0.9907822926425466
0.0,25.0,7,6.8593818766539165,1.0249893555140992e-07,1.4942882229704647e-08,1.010639350253584,0.9895411337696836
0.0,25.0,8,6.550977144185528,1.00266488307888e-07,1.5305577488830326e-08,1.0048984668632914,0.9884178761035359
0.0,25.0,9,6.393226677661146,9.78921815494311e-08,1.5311858390924958e-08,0.9963135632311679,0.9877286468403367
25.0,50.0,0,6.593205514382821,4.519646580304061e-07,6.85500637048948e-08,1.0710855299046678,0.9916201704673933
25.0,50.0,5,7.94385760643688,9.894803988268577e-08,1.2455918117478405e-08,1.0574027431987605,0.9940649096373325
25.0,50.0,6,7.0994353191810005,9.526256639487696e-08,1.3418330065984258e-08,1.0654077121951788,0.9926965420505398
25.0,50.0,7,6.577336501883294,9.13792536775972e-08,1.3893048295679036e-08,1.072770981827551,0.9916945448886674
25.0,50.0,8,5.981901042203675,8.754612617761424e-08,1.4635167910661907e-08,1.0810459731127722,0.9901125054693886
25.0,50.0,9,5.554163504970663,8.402646857221683e-08,1.51285550915125e-08,1.086940034056273,0.9885652967586991
50.0,75.0,0,7.796674922590651,4.358978615067642e-07,5.5908174424941344e-08,1.0306024399998925,0.9924733013086245
50.0,75.0,5,8.490024747831713,9.180822681881425e-08,1.0813658327940843e-08,1.019528629080466,0.9933832135499809
50.0,75.0,6,7.827417184153144,8.93302041371181e-08,1.141247515438042e-08,1.0288255664286108,0.9924716595485457
50.0,75.0,7,7.671909080799001,8.716253086173323e-08,1.1361257014877916e-08,1.0327554273920836,0.9922938815677997
50.0,75.0,8,7.283762381856384,8.512377764327967e-08,1.168678674297781e-08,1.0305515677233126,0.9913077575914746
50.0,75.0,9,7.1649608990963465,8.301542047011425e-08,1.1586304746001372e-08,1.0382511363515057,0.991323820758486
75.0,100.0,0,5.137659639132397,4.36628887906896e-07,8.498595052525317e-08,1.0092606212421789,0.9812737072804566
75.0,100.0,5,5.758847881567363,9.248977353436881e-08,1.6060464772894164e-08,1.0017674075436829,0.9849517187672499
75.0,100.0,6,5.300844103816264,8.989639814986738e-08,1.6958883602169664e-08,1.0081076881001596,0.9823814526421494
75.0,100.0,7,5.028017233050848,8.730046934896312e-08,1.7362802333911622e-08,1.0155827814548255,0.9806452798382149
75.0,100.0,8,4.726531556115419,8.47341571837807e-08,1.7927344010672578e-08,1.0120319373650284,0.9779563338130518
75.0,100.0,9,4.427148454978324,8.22622422930881e-08,1.8581315519380037e-08,1.0069968811723762,0.9746908948102648
