#PATCH_CHECK: SepMBpoisson v1.10 path-local nested-split control active
#discretizing the bath:
#     0 0.0000000000000000e+00 -6.3190000000000002e-01
#     1 1.0170952554312155e-04 -2.1498353472758169e-01
#     2 1.0170952554312155e-04 -2.1173119428535730e-01
#     3 1.0170952554312155e-04 -2.0845605776075329e-01
#     4 1.0170952554312155e-04 -2.0515828273190320e-01
#     5 1.0170952554312155e-04 -2.0183802355359576e-01
#     6 1.0170952554312155e-04 -1.9849543146569265e-01
#     7 1.0170952554312155e-04 -1.9513065469650848e-01
#     8 1.0170952554312155e-04 -1.9174383856145003e-01
#     9 1.0170952554312155e-04 -1.8833512555719092e-01
#    10 1.0170952554312155e-04 -1.8490465545163776e-01
#    11 1.0170952554312155e-04 -1.8145256536992682e-01
#    12 1.0170952554312155e-04 -1.7797898987667390e-01
#    13 1.0170952554312155e-04 -1.7448406105468386e-01
#    14 1.0170952554312155e-04 -1.7096790858031435e-01
#    15 1.0170952554312155e-04 -1.6743065979567370e-01
#    16 1.0170952554312155e-04 -1.6387243977782223e-01
#    17 1.0170952554312155e-04 -1.6029337140513505e-01
#    18 1.0170952554312155e-04 -1.5669357542097426e-01
#    19 1.0170952554312155e-04 -1.5307317049480890e-01
#    20 1.0170952554312155e-04 -1.4943227328091341e-01
#    21 1.0170952554312155e-04 -1.4577099847476579e-01
#    22 1.0170952554312155e-04 -1.4208945886726065e-01
#    23 1.0170952554312155e-04 -1.3838776539684453e-01
#    24 1.0170952554312155e-04 -1.3466602719967466e-01
#    25 1.0170952554312155e-04 -1.3092435165789695e-01
#    26 1.0170952554312155e-04 -1.2716284444613241e-01
#    27 1.0170952554312155e-04 -1.2338160957625677e-01
#    28 1.0170952554312155e-04 -1.1958074944055327e-01
#    29 1.0170952554312155e-04 -1.1576036485331320e-01
#sampling: physical_jump_rate=1.5256428831468235e-03 sampling_jump_rate=1.5256428831468235e-03 rate_scale=1.0000000000000000e+00 jump_strength=7.6282144157341174e-04 jump_probability=7.6223998856650855e-04 log_scale=7.6253064117400590e-04 back_replicas=16 stratify_forward=1 stratify_forward_steps=0 stratify_forward_orbitals=1 stratify_back_paths=1 exact_orbitals=0 stratify_single_jump_time=1 sample_back_orbitals=1 exact_back_jumps=0
#reference control: active=1 requested_distance=3 selected_distance=1 states=1696 max_states=4096 fock_states=384 split_operator=0 grid_split=1 path_local_basis=1
#backward DP: all_order=0 replicas_min=16 replicas_max=16 replica_power=2.00000000e+00 replicas_per_forward=20016
#RQMC: replicates=4 shift_storage_bytes=320096
#adaptive measurement: gap=3.5372487846406508e-03 period_steps=3553 nmeas=1251 nwf=5000 tmax=2.5000000000000000e+03 forced_stride=4
#recurrence measurement: enabled=1 vibrational_period=1.7097417488437418e+03 half_width=8.5487087442187089e+01 stride_steps=3
#conditional-count memory: mode=linear-parity-cache parity_table_bytes=240048 dense_back_table_bytes=0 legacy_dense_bytes=400240032
#electronic-phase memory: mode=binary-power-table phase_table_bytes=34746324480 phase_bits=14 legacy_time_state_table_bytes=12411883480320
  0.00000000 +1.5000000000000000e+01 +1.9999999999999996e+00 +1.8374661879283099e-03 +1.0000000000000000e+00 +1.0000000000000000e+00 +1.0000000000000000e+00 +1.0000000000000000e+00 +1.0000000000000000e+00 +1.0000000000000000e+00 +1.0000000000000000e+00 +1.0000000000000000e+00 +1.0000000000000000e+00 +1.0000000000000000e+00 +1.0000000000000000e+00 +1.0000000000000000e+00 +1.0000000000000000e+00 +1.0000000000000000e+00 +1.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00
  0.50000000 +1.5000000000000000e+01 +1.9999999999999583e+00 +1.8374814682770783e-03 +9.9999996120689794e-01 +1.0000000000000000e+00 +1.0000000000000000e+00 +1.0000000000000000e+00 +1.0000000000000000e+00 +1.0000000000000000e+00 +1.0000000000000000e+00 +1.0000000000000000e+00 +1.0000000000000000e+00 +1.0000000000000000e+00 +1.0000000000000000e+00 +1.0000000000000000e+00 +1.0000000000000000e+00 +1.0000000000000000e+00 +1.0000000000000000e+00 +2.5862068553033338e-09 +2.5862068553032155e-09 +2.5862068553030923e-09 +2.5862068553029632e-09 +2.5862068553028296e-09 +2.5862068553026894e-09 +2.5862068553025430e-09 +2.5862068553023900e-09 +2.5862068553022308e-09 +2.5862068553020645e-09 +2.5862068553018920e-09 +2.5862068553017096e-09 +2.5862068553015219e-09 +2.5862068553013246e-09 +2.5862068553011190e-09
  1.00000000 +1.5000000000000000e+01 +1.9999999999996132e+00 +1.8375243431455952e-03 +9.9999985229691779e-01 +1.0000000000000000e+00 +1.0000000000000000e+00 +1.0000000000000000e+00 +1.0000000000000000e+00 +1.0000000000000000e+00 +1.0000000000000000e+00 +1.0000000000000000e+00 +1.0000000000000000e+00 +1.0000000000000000e+00 +1.0000000000000000e+00 +1.0000000000000000e+00 +1.0000000000000000e+00 +1.0000000000000000e+00 +1.0000000000000000e+00 +9.8748729059968642e-09 +9.8710368407685276e-09 +9.8671632960606573e-09 +9.8632521528783558e-09 +9.8593032909653215e-09 +9.8553165888580207e-09 +9.8512919239381028e-09 +9.8472291724829922e-09 +9.8431282097146427e-09 +9.8389889098468418e-09 +9.8348111461308034e-09 +9.8305947908994089e-09 +9.8263397156100071e-09 +9.8220457908858344e-09 +9.8177128865562273e-09
  1.50000000 +1.5000000000000000e+01 +1.9999999999981963e+00 +1.8375864945987320e-03 +9.9999969422775559e-01 +9.9999999999999833e-01 +9.9999999999999833e-01 +9.9999999999999833e-01 +9.9999999999999833e-01 +9.9999999999999833e-01 +9.9999999999999833e-01 +9.9999999999999833e-01 +9.9999999999999833e-01 +9.9999999999999833e-01 +9.9999999999999833e-01 +9.9999999999999833e-01 +9.9999999999999833e-01 +9.9999999999999833e-01 +9.9999999999999833e-01 +2.0542183939633846e-08 +2.0520572438502301e-08 +2.0498761329671067e-08 +2.0476750280334023e-08 +2.0454538955302547e-08 +2.0432127017364193e-08 +2.0409514127631043e-08 +2.0386699945876983e-08 +2.0363684130865470e-08 +2.0340466340667574e-08 +2.0317046232971139e-08 +2.0293423465381412e-08 +2.0269597695713287e-08 +2.0245568582276116e-08 +2.0221335784150744e-08
  2.00000000 +1.5000000000000000e+01 +1.9999999999946771e+00 +1.8376558801498767e-03 +9.9999951737856319e-01 +9.9999999999999500e-01 +9.9999999999999500e-01 +9.9999999999999500e-01 +9.9999999999999500e-01 +9.9999999999999500e-01 +9.9999999999999500e-01 +9.9999999999999500e-01 +9.9999999999999500e-01 +9.9999999999999500e-01 +9.9999999999999500e-01 +9.9999999999999500e-01 +9.9999999999999500e-01 +9.9999999999999500e-01 +9.9999999999999500e-01 +3.2652738579281727e-08 +3.2586867583145874e-08 +3.2520438962231615e-08 +3.2453453134171033e-08 +3.2385910527028500e-08 +3.2317811580537967e-08 +3.2249156747303801e-08 +3.2179946493966047e-08 +3.2110181302332088e-08 +3.2039861670476738e-08 +3.1968988113810857e-08 +3.1897561166121440e-08 +3.1825581380582814e-08 +3.1753049330741166e-08 +3.1679965611473775e-08
  2.50000000 +1.5000000000000000e+01 +1.9999999999878633e+00 +1.8377190856065442e-03 +9.9999935566222820e-01 +9.9999999999998834e-01 +9.9999999999998834e-01 +9.9999999999998834e-01 +9.9999999999998834e-01 +9.9999999999998834e-01 +9.9999999999998834e-01 +9.9999999999998834e-01 +9.9999999999998834e-01 +9.9999999999998834e-01 +9.9999999999998834e-01 +9.9999999999998834e-01 +9.9999999999998834e-01 +9.9999999999998834e-01 +9.9999999999998834e-01 +4.4013368695731452e-08 +4.3866944831343257e-08 +4.3719432845603746e-08 +4.3570837723493765e-08 +4.3421164513787609e-08 +4.3270418331892348e-08 +4.3118604362589086e-08 +4.2965727862679636e-08 +4.2811794163542739e-08 +4.2656808673602860e-08 +4.2500776880714557e-08 +4.2343704354465650e-08 +4.2185596748401733e-08 +4.2026459802174538e-08 +4.1866299343617145e-08
  3.00000000 +1.5000000000000000e+01 +1.9999999999769722e+00 +1.8377639400413894e-03 +9.9999923996747508e-01 +9.9999999999997813e-01 +9.9999999999997824e-01 +9.9999999999997835e-01 +9.9999999999997835e-01 +9.9999999999997835e-01 +9.9999999999997835e-01 +9.9999999999997835e-01 +9.9999999999997835e-01 +9.9999999999997835e-01 +9.9999999999997835e-01 +9.9999999999997835e-01 +9.9999999999997835e-01 +9.9999999999997835e-01 +9.9999999999997835e-01 +5.2573333054442051e-08 +5.2308031902435150e-08 +5.2041114215848929e-08 +5.1772597895074436e-08 +5.1502501016035476e-08 +5.1230841834645973e-08 +5.0957638791038328e-08 +5.0682910513570743e-08 +5.0406675822619362e-08 +5.0128953734162035e-08 +4.9849763463159330e-08 +4.9569124426738003e-08 +4.9287056247182579e-08 +4.9003578754738733e-08 +4.8718711990234413e-08
  3.50000000 +1.5000000000000000e+01 +1.9999999999608498e+00 +1.8377818789050647e-03 +9.9999919220952860e-01 +9.9999999999996403e-01 +9.9999999999996403e-01 +9.9999999999996414e-01 +9.9999999999996425e-01 +9.9999999999996425e-01 +9.9999999999996436e-01 +9.9999999999996447e-01 +9.9999999999996458e-01 +9.9999999999996469e-01 +9.9999999999996481e-01 +9.9999999999996481e-01 +9.9999999999996492e-01 +9.9999999999996503e-01 +9.9999999999996503e-01 +5.6797306363620908e-08 +5.6383934456706688e-08 +5.5968748338590855e-08 +5.5551791923922776e-08 +5.5133109437234198e-08 +5.4712745416683568e-08 +5.4290744717328318e-08 +5.3867152513937020e-08 +5.3442014303352754e-08 +5.3015375906419379e-08 +5.2587283469479235e-08 +5.2157783465453409e-08 +5.1726922694512051e-08 +5.1294748284344278e-08 +5.0861307690035162e-08
  4.00000000 +1.5000000000000000e+01 +1.9999999999393301e+00 +1.8377695926648733e-03 +9.9999922114474893e-01 +9.9999999999994760e-01 +9.9999999999994771e-01 +9.9999999999994782e-01 +9.9999999999994793e-01 +9.9999999999994815e-01 +9.9999999999994826e-01 +9.9999999999994849e-01 +9.9999999999994871e-01 +9.9999999999994871e-01 +9.9999999999994893e-01 +9.9999999999994904e-01 +9.9999999999994915e-01 +9.9999999999994926e-01 +9.9999999999994926e-01 +5.5942812535569959e-08 +5.5373021446732408e-08 +5.4801965440898664e-08 +5.4229729814594033e-08 +5.3656400190161421e-08 +5.3082062512301691e-08 +5.2506803043765281e-08 +5.1930708360214628e-08 +5.1353865344279180e-08 +5.0776361178821106e-08 +5.0198283339430260e-08 +4.9619719586166033e-08 +4.9040757954562517e-08 +4.8461486745913779e-08 +4.7881994516853922e-08
  4.50000000 +1.5000000000000000e+01 +1.9999999999126692e+00 +1.8377296410495699e-03 +9.9999932075508802e-01 +9.9999999999993006e-01 +9.9999999999993028e-01 +9.9999999999993050e-01 +9.9999999999993083e-01 +9.9999999999993106e-01 +9.9999999999993117e-01 +9.9999999999993150e-01 +9.9999999999993161e-01 +9.9999999999993183e-01 +9.9999999999993205e-01 +9.9999999999993239e-01 +9.9999999999993261e-01 +9.9999999999993272e-01 +9.9999999999993305e-01 +5.0191597316318887e-08 +4.9486817006835056e-08 +4.8782442919868346e-08 +4.8078613720570176e-08 +4.7375468024495454e-08 +4.6673144375765550e-08 +4.5971781223945661e-08 +4.5271516899675245e-08 +4.4572489589089753e-08 +4.3874837307069817e-08 +4.3178697869353587e-08 +4.2484208863547693e-08 +4.1791507619069666e-08 +4.1100731176056032e-08 +4.0412016253269406e-08
