window,rms_new_8m_minus_old_8m,max_abs_new_8m_minus_old_8m,old_8m_rms_vs_qm,old_six_run_mean_rms_vs_qm,new_8m_rms_vs_qm,new_over_old_8m_qm_rms,rms_new_minus_old_mean,max_abs_new_minus_old_mean,old_repeat_noise_rms,rms_difference_over_old_noise
0-25,7.742584354936782e-06,4.164908963399938e-05,7.873933919291356e-06,7.653967681077492e-06,5.95845217955842e-07,0.0756731290944676,7.515770359315828e-06,3.7827637535459147e-05,1.327766362987264e-06,5.6604614854126405
25-50,2.3775866343897813e-05,0.00013772729100325343,2.4699468816299633e-05,2.400135427246662e-05,2.6205650670183895e-06,0.10609803338317261,2.3017113944294514e-05,0.00010759099145618567,5.684668317395151e-06,4.048980988716946
50-75,4.2220077152291926e-05,0.00020216156139729602,4.272164785038068e-05,4.2411366753235106e-05,5.1392602566407075e-06,0.12029639574389481,4.165523759963982e-05,0.00017082183365624282,1.2692140162910173e-05,3.2819711305558665
75-100,6.910991192347802e-05,0.0003683986509505077,6.99327595385282e-05,6.472539359176408e-05,7.523832094541042e-06,0.10758666101823025,6.412330304383616e-05,0.0002607569614313521,2.5536225036163204e-05,2.511072131962643
100-125,9.39148137797301e-05,0.0005425076542944218,9.249933224146307e-05,9.121531826471413e-05,1.1449662357364535e-05,0.12378102716975284,9.308334055879216e-05,0.00041379079497372295,4.515568094019165e-05,2.0613871526393397
125-150,0.00015088693951684177,0.0007326017066157098,0.00015210933550127204,0.00013659204255117983,1.817816230987346e-05,0.11950721006023618,0.00013533765134341214,0.0005885633051826433,7.522564468746503e-05,1.799089285385196
