old_job,rms_new_minus_old_single,max_abs_new_minus_old_single
636039,7.982288289754592e-05,0.0008170834644183333
636040,8.074689299338249e-05,0.0007326017066157098
636041,8.071504479727025e-05,0.0008483212738656931
636076,8.06878007643893e-05,0.0008394359361564296
636077,9.26667823599447e-05,0.0009476500546771183
636078,7.88609676800657e-05,0.0007038890729297309
