case,states,Q_global,Q_min_active_window,Q_min_active_orbital_window,max_abs_orbital_error,reference_seconds,max_rank_peak_rss_kib,strict_pass
D2/F384 (186 states),186,90.99412292899656,30.29266053236151,24.995902826937527,2.376205252341279e-06,7.08181,14064.0,True
D3/F384 (246 states),246,90.99444625471133,30.2927690229254,24.995917423681412,2.3761933054533557e-06,8.050103,14292.0,True
D4/F384 (252 states),252,90.99444625468676,30.292769022853612,24.995917423666985,2.376193305564378e-06,9.571586,14068.0,True
