#PATCH_CHECK: SepMBpoisson v0.60 fullmb-kondo adaptive-t500 active
#discretizing the bath:
#     0 0.0000000000000000e+00 -9.1873305439137479e-02
#     1 4.4721359549995798e-03 -1.6996561506240432e-01
#     2 4.4721359549995798e-03 -1.6538935211869343e-01
#     3 4.4721359549995798e-03 -1.6077828451849061e-01
#adaptive measurement: gap=4.5762629437108848e-03 period_steps=2746 nmeas=200 nwf=200 tmax=1.0000000000000000e+02 forced_stride=1
  0.00000000 +2.0000000000000000e+00 +1.9999999999999998e+00 +1.8374661879283106e-03 +1.0000000000000000e+00 +1.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00
  0.50000000 +2.0000000000000000e+00 +2.0000000000072760e+00 +1.8414334370248724e-03 +9.9998992813669241e-01 +1.0000000000206626e+00 +5.0301135382071691e-06 +5.0417703760395995e-06
  1.00000000 +2.0000000000000000e+00 +1.9999999998757136e+00 +1.8533002277799700e-03 +9.9995979519977740e-01 +9.9999999992548372e-01 +2.0081709481189648e-05 +2.0123114374204644e-05
  1.50000000 +2.0000000000000000e+00 +1.9999999979327028e+00 +1.8727706529514238e-03 +9.9991033485727543e-01 +9.9999999953949292e-01 +4.4811848676080849e-05 +4.4853744766950889e-05
  2.00000000 +2.0000000000000000e+00 +1.9999999968638387e+00 +1.8993855647869641e-03 +9.9984268389504061e-01 +9.9999999825501407e-01 +7.8676692344461645e-05 +7.8641198629913361e-05
  2.50000000 +2.0000000000000000e+00 +1.9999999900609027e+00 +1.9325482453867986e-03 +9.9975831931605141e-01 +9.9999999506982862e-01 +1.2088428815632054e-04 +1.2080132620719922e-04
  3.00000000 +2.0000000000000000e+00 +1.9999999981386403e+00 +1.9712392309732705e-03 +9.9965978567146740e-01 +9.9999998889397157e-01 +1.7017397811582968e-04 +1.7005144314811320e-04
  3.50000000 +2.0000000000000000e+00 +1.9999999799076886e+00 +2.0146488566583839e-03 +9.9954908165128697e-01 +9.9999997868761858e-01 +2.2576711745227930e-04 +2.2517259067074459e-04
  4.00000000 +2.0000000000000000e+00 +1.9999999489063278e+00 +2.0616029202348719e-03 +9.9942914514124992e-01 +9.9999996281372749e-01 +2.8589168501750992e-04 +2.8500032009400392e-04
  4.50000000 +2.0000000000000000e+00 +1.9999999491473404e+00 +2.1108190836564458e-03 +9.9930317645454403e-01 +9.9999993935023446e-01 +3.4927794172640166e-04 +3.4760626367333553e-04
  5.00000000 +2.0000000000000000e+00 +1.9999998859699086e+00 +2.1609035289139392e-03 +9.9917466295767488e-01 +9.9999990725375987e-01 +4.1410069259922074e-04 +4.1132914292567172e-04
  5.50000000 +2.0000000000000000e+00 +1.9999998677173023e+00 +2.2105771590403243e-03 +9.9904680180008554e-01 +9.9999986484759129e-01 +4.7853554822680503e-04 +4.7479780440470593e-04
  6.00000000 +2.0000000000000000e+00 +1.9999997500720386e+00 +2.2596224813334659e-03 +9.9892016289916696e-01 +9.9999981192736997e-01 +5.4269809868088474e-04 +5.3732711018941455e-04
