case_id,origin,random_seed,wc_eV,eta,delE_eV,ntraj,nstep,dt,tmax,back_replicas
f01_wc_mid,fine_grid,0,3.550000,3.1184e-5,-17.194874968839816,100000,50,0.5,25,2
f02_wc_high,fine_grid,0,3.850000,3.1184e-5,-17.194874968839816,100000,50,0.5,25,2
f03_eta_low,fine_grid,0,3.700000,2.6000e-5,-17.194874968839816,100000,50,0.5,25,2
f04_eta_high,fine_grid,0,3.700000,3.7000e-5,-17.194874968839816,100000,50,0.5,25,2
f05_random,random,20260819,3.821853,3.54951373219577e-5,-17.194874968839816,100000,50,0.5,25,2
f06_random,random,20260819,3.595433,3.4103377272139204e-5,-17.194874968839816,100000,50,0.5,25,2
f07_random,random,20260819,3.681242,3.618528889762766e-5,-17.194874968839816,100000,50,0.5,25,2
