case_id,origin,random_seed,wc_eV,eta,delE_eV,ntraj,nstep,dt,tmax,back_replicas
p01_base,known_best,0,3.351907,3.1184e-5,-17.194874968839816,100000,50,0.5,25,2
p02_wc_low,local_grid,0,3.000000,3.1184e-5,-17.194874968839816,100000,50,0.5,25,2
p03_wc_high,local_grid,0,3.700000,3.1184e-5,-17.194874968839816,100000,50,0.5,25,2
p04_eta_low,local_grid,0,3.351907,2.4000e-5,-17.194874968839816,100000,50,0.5,25,2
p05_eta_high,local_grid,0,3.351907,4.0000e-5,-17.194874968839816,100000,50,0.5,25,2
p06_random,random,20260818,3.300573,2.9043739825453503e-5,-17.194874968839816,100000,50,0.5,25,2
p07_random,random,20260818,3.410073,2.1384532857498926e-5,-17.194874968839816,100000,50,0.5,25,2
p08_random,random,20260818,3.143672,2.4828133944072725e-5,-17.194874968839816,100000,50,0.5,25,2
