rank,case_id,wc_eV,eta,ntraj_per_run,independent_repeats,time_end,required_until,required_Q,active_orbitals,inactive_orbitals,max_inactive_noise,inactive_noise_limit,tail_window_start,tail_Q,signal_rms,signal_peak,repeat_noise_rms,particle_number_max_error,passes_required_interval,min_active_Q_0_10,Q_orb0_0_10,Q_orb1_0_10,Q_orb2_0_10,Q_orb3_0_10,Q_orb4_0_10,Q_orb5_0_10,Q_orb6_0_10,Q_orb7_0_10,Q_orb8_0_10,Q_orb9_0_10,min_active_Q_10_20,Q_orb0_10_20,Q_orb1_10_20,Q_orb2_10_20,Q_orb3_10_20,Q_orb4_10_20,Q_orb5_10_20,Q_orb6_10_20,Q_orb7_10_20,Q_orb8_10_20,Q_orb9_10_20,min_active_Q_20_30,Q_orb0_20_30,Q_orb1_20_30,Q_orb2_20_30,Q_orb3_20_30,Q_orb4_20_30,Q_orb5_20_30,Q_orb6_20_30,Q_orb7_20_30,Q_orb8_20_30,Q_orb9_20_30,min_active_Q_30_40,Q_orb0_30_40,Q_orb1_30_40,Q_orb2_30_40,Q_orb3_30_40,Q_orb4_30_40,Q_orb5_30_40,Q_orb6_30_40,Q_orb7_30_40,Q_orb8_30_40,Q_orb9_30_40,min_active_Q_40_50,Q_orb0_40_50,Q_orb1_40_50,Q_orb2_40_50,Q_orb3_40_50,Q_orb4_40_50,Q_orb5_40_50,Q_orb6_40_50,Q_orb7_40_50,Q_orb8_40_50,Q_orb9_40_50,min_active_Q_50_60,Q_orb0_50_60,Q_orb1_50_60,Q_orb2_50_60,Q_orb3_50_60,Q_orb4_50_60,Q_orb5_50_60,Q_orb6_50_60,Q_orb7_50_60,Q_orb8_50_60,Q_orb9_50_60
1,wc0.05_eta1.0E-4,0.05,0.0001,1000000,3,60.0,60.0,3.475383499561281,0 5 6 7 8 9,1 2 3 4,8.551789125527022e-06,7.851665451427675e-05,40.0,3.475383499561281,0.0005915264024363594,0.0008588219310383461,6.792006362988423e-05,7.398526236102043e-12,False,81.47580113199535,351.6118111728305,36.45368499112363,49.77953430269889,39.13005809562218,34.196549618281644,113.12584528326485,81.47580113199535,111.43586965493392,123.64104831198418,190.29920528941773,21.289839905140155,59.63226407306985,21.085815377463916,31.740118477051166,22.262762591826895,20.78845543001042,21.289839905140155,32.267079835760384,29.18808362524748,30.907775944614436,31.489127603764707,9.852790583854304,23.855038046881724,8.620131235419333,9.187025056197761,9.519151144975318,8.238843855660651,11.821009945114133,9.852790583854304,12.005832904830363,10.914997254320541,16.542123227783616,6.127615204999495,17.92535216159751,8.728361885435312,9.953096975406982,6.8746597360037525,6.599380626984844,6.459404686264985,8.266985844504713,6.882167651467009,8.69666018175767,6.127615204999495,3.602965860481608,9.43189971663314,5.1170876294115075,4.9717192080810895,6.3609187429655805,5.581084718285483,3.602965860481608,4.529430482333427,5.76114664058978,4.059613510009952,4.143318162821538,3.475383499561281,6.564752850460274,4.155095452262257,3.999131450788203,4.9882584128015,4.446612039154837,3.909180593720864,3.475383499561281,3.79076898582596,3.943972906580811,4.0258994020622865
2,wc0.20_eta5.0E-5,0.2,5e-05,1000000,3,60.0,60.0,3.2838143097486285,0 5 6 7 8 9,1 2 3 4,2.748243426182365e-06,3.6169390487570886e-05,40.0,3.2838143097486285,0.00026152776440639404,0.00040089426840402947,2.9850633551559702e-05,1.0240697179142444e-11,False,86.9446047945931,349.5508625574009,27.079720390460015,25.821288151006883,44.313346045655784,24.857299759111612,106.76739210211808,107.88317706814972,140.03895803219984,86.9446047945931,129.72832337612485,23.818467903940817,55.2815022748954,15.205814759708376,18.718696447063294,13.104527369553171,17.392396827298636,28.89640430669313,26.216768127435905,29.349776274935078,27.199418614158517,23.818467903940817,8.918757410287723,21.360779011151976,7.1531651788143895,6.965157041442219,6.895897697092659,6.799323765039519,11.131983846226323,9.439686548274473,8.918757410287723,10.087042068796462,9.516525566429946,6.5072609463883495,13.430240227722106,6.69633225470975,8.313179322906404,5.861743245611336,5.1853172011012125,6.807828244316807,7.433492980695906,7.805191360201469,6.742330178025057,6.5072609463883495,3.2838143097486285,8.273041055159378,5.444692684583306,4.8126879940576215,3.9956723069168714,4.156182280112794,4.001176148718807,3.9781139219072443,3.5389935479573316,4.795343227709857,3.2838143097486285,3.3179669778611376,7.02961830634839,3.583709713695356,2.7070970596163026,3.150050296312198,3.822137329271035,3.7069443655114735,3.418061748373723,3.6491758884284593,3.3179669778611376,3.5532201517370203
3,wc0.50_eta1.0E-4,0.5,0.0001,1000000,3,60.0,60.0,3.2563094423364043,0 5 6 7 8 9,1 2 3 4,1.018579178232688e-05,7.616942422774539e-05,40.0,3.2563094423364043,0.0005748172936410052,0.0008150759319684896,6.439555015443194e-05,7.358558207215538e-12,False,106.12553206546785,414.28170807552715,23.840363156198684,37.62565608945985,70.33203421802314,24.412665134566243,144.6846141093893,170.4412391630612,150.31350718894876,140.68687508162034,106.12553206546785,22.341683719536892,72.47586127342687,15.91077512999816,20.24245046997335,22.94430967982456,18.712524487985615,30.491970238981327,25.74358022732771,28.873215273405894,26.892917860003656,22.341683719536892,11.645668864746371,30.016598982490677,8.484944194623335,9.061457027511722,8.944452760901465,8.653830043502223,13.109599303343485,11.645668864746371,12.687029135294878,13.772305456347292,11.923694112555,6.180373650779004,14.317794551780942,7.256198454289974,8.178821903737875,7.9934644738807386,9.443770556270032,6.5640146731282805,8.869372862115776,7.800236310752341,6.303624441544127,6.180373650779004,3.3776402482858634,9.363196600049799,6.302141939462556,4.98105321971708,5.386360301995795,6.815098800226951,3.3776402482858634,4.702358901428839,4.54085533222295,3.782350120057556,4.398286792663246,3.2563094423364043,7.557524539392155,4.934788150526876,4.303841095933248,4.694711322693459,3.1954976757406612,3.3765530673054367,4.187140820901598,3.2563094423364043,4.044934157002298,3.4097444897577063
4,wc0.05_eta1.5E-4,0.05,0.00015,1000000,3,60.0,60.0,3.10802237530727,0 5 6 7 8 9,1 2 3 4,1.7578824773498762e-05,0.00012297920296041337,40.0,3.10802237530727,0.0009641985750603519,0.0014112669272667022,0.00012558331228477098,9.904077558076096e-12,False,94.86252756965354,251.08531610378776,38.45780973480812,24.46894376178314,41.964094768106236,30.396305339751986,162.3788016108199,130.09232136720593,147.08393088822638,94.86252756965354,104.86109968825642,25.35094069661595,63.18851781259361,24.22065982870638,20.18118946082522,23.568082140646222,21.77217676357796,30.04399505330074,29.24365839381275,33.89068483915157,25.35094069661595,30.298938310236906,10.99570134321987,26.170544914887166,12.357944628930253,16.18737345249987,13.197022011318696,13.17859354557073,11.942024632566392,11.340680027169432,14.349532510248089,10.99570134321987,11.85072829907194,7.069550481321507,17.278551861117677,7.6683946005768036,10.12993610141117,8.069697143721674,11.831694840623825,9.216298971009904,7.77349346945615,7.069550481321507,8.57230612943907,8.573606547648449,3.9569908257198114,9.925850247609684,5.654553048254338,6.550043204970714,7.232121154392009,6.314477875805842,4.683938778154226,6.296847572235229,4.696080930196661,4.668209724343262,3.9569908257198114,3.10802237530727,5.491522807857548,4.823307428066209,4.822734283349865,5.690609965341581,5.768885176997061,3.342512874780605,3.384901517302016,3.10802237530727,3.9406056270828986,3.3655253531224414
5,wc0.30_eta1.0E-4,0.3,0.0001,1000000,3,60.0,60.0,3.0878473108266156,0 5 6 7 8 9,1 2 3 4,7.488732684640992e-06,7.75361761397153e-05,40.0,3.0878473108266156,0.0005841367161679515,0.0008269303217451982,6.698352675636091e-05,7.37454541877014e-12,False,84.9962305596781,206.19995304316436,41.86042284322104,30.5247652796429,55.17924774795746,38.5896550624513,104.66658669324485,84.9962305596781,107.54704487939587,138.63219800830058,110.77043425906324,27.583582049721034,69.09488471718323,27.16251935546212,17.60520421133779,22.540966345592153,18.92227945146456,33.855958484354474,34.91644623473184,37.83884702675909,28.95207190386322,27.583582049721034,10.515487128699636,30.055407392251915,12.803167798143958,11.90951263824401,9.568385624329286,9.162729546095397,12.484046181697616,12.992209561389867,11.34451529420441,12.346648118865271,10.515487128699636,6.241430963322681,16.93599696995547,8.320467417395498,7.156435121592015,9.220377052357032,8.432574848442725,6.955852905031724,8.877294973196156,6.736257084914961,7.229681039317921,6.241430963322681,3.491666935909612,8.898275835420689,5.12232577769967,5.230523199759689,5.800570537719834,5.119784561714869,3.491666935909612,4.739982047708255,3.967025771563506,4.948940290655017,4.69531429193103,3.0878473108266156,6.806959204925082,5.324150664021416,4.534174888539047,4.507886221987873,4.4973526030164255,4.440201509721524,3.5079583744958334,3.8232766262128735,3.177638430412676,3.0878473108266156
6,wc0.10_eta5.0E-5,0.1,5e-05,1000000,3,60.0,60.0,3.0578155901695356,0 5 6 7 8 9,1 2 3 4,2.2201880771909494e-06,3.6516951832467066e-05,40.0,3.0578155901695356,0.00026340068053745365,0.00040257208591779704,2.9841971591775243e-05,1.0239809000722744e-11,False,83.20504081587927,236.49813747532977,21.663192183384833,33.83649966213781,33.091765009469896,24.88179979501864,84.92694465261313,137.20361492997296,83.20504081587927,148.19755162289658,140.9839511805405,19.0021036215815,47.36352622441539,15.498383935500243,11.760623860750156,18.68282690512896,16.51190848074063,29.762427287449928,23.82744720720061,26.72379831704335,19.0021036215815,26.307788367397592,9.712486991853206,22.762633449250938,6.263068837869887,6.384259551327028,6.568309374032178,6.049899945710032,9.869411446927787,9.712486991853206,11.660312291659704,10.01168593392543,12.378233756744757,6.401600885825849,15.679599905869175,5.304579233698709,5.631369008939264,5.995680952619491,7.285458291652094,7.027534288610665,6.650446663142165,7.271422564872888,6.401600885825849,7.248725777198517,3.5677608520059922,9.961984315320713,5.140186399954964,5.108220053630807,5.301264785964571,5.7458771762021925,3.5677608520059922,4.190818683741319,4.578292679811614,4.169404694130022,3.878839724205224,3.0578155901695356,6.435887789301969,3.6631915469055403,3.5724082342809163,3.9448796038008807,3.2295079150973427,3.149659974553041,3.723271969756649,3.0578155901695356,4.159124795667065,3.142015510966457
7,wc0.10_eta1.0E-4,0.1,0.0001,1000000,3,60.0,60.0,3.004483026733056,0 5 6 7 8 9,1 2 3 4,8.460242814834732e-06,7.786611685915731e-05,40.0,3.004483026733056,0.00058737870446728,0.0008378061552456285,6.404027849446108e-05,7.386979916645942e-12,False,49.24815286730109,152.6670534744988,53.05161588385966,32.978463131583844,29.090839487634003,50.86227726477688,124.36048322540971,49.24815286730109,141.92289812561768,85.38650547506907,117.94815975552474,24.279949809456745,58.50915776365781,18.800272806726564,21.99178534844678,19.319467878274374,19.80801737292613,24.279949809456745,28.774760131138738,25.481920388618995,29.348069824300726,28.12330058184645,11.722705644943094,29.324187120183137,9.316211389120292,10.211368139872409,10.545765190268735,12.328929212872515,13.344151197033357,11.882848959524123,11.919856173489705,11.722705644943094,13.954791161159067,5.97468214380665,14.846346709468095,9.040454420991587,7.490857042742079,8.107237003527441,8.288454495131655,7.425937251561169,7.58407103878966,5.97468214380665,8.402843338218076,7.964530831071529,3.7925953830627575,9.297506483644518,5.47195711582076,6.248313787678725,5.726708545959269,5.934679806934455,3.7925953830627575,4.360515963171716,4.510168825243102,4.205253911447007,4.245913531994486,3.004483026733056,8.073319512931066,3.863324163883246,3.952273118123282,5.356701440305901,4.1238077115890235,3.004483026733056,3.7924697313462365,4.047133630109811,3.810056660251292,3.331347460534699
8,wc0.50_eta2.0E-4,0.5,0.0002,1000000,3,60.0,60.0,2.999249247461482,0 5 6 7 8 9,1 2 3 4,4.3843746966077676e-05,0.00016688124492601877,40.0,2.999249247461482,0.0013783383060154257,0.0021680953222755184,0.00017294114016923388,8.36575253515548e-12,False,95.94023669013062,184.97102909497985,42.9657809769545,46.219103155879125,49.726020001072335,84.64683956390623,143.50943910043586,100.15125923212761,142.73627447099574,137.39399567257192,95.94023669013062,22.887314116557636,57.37475892104989,25.359106286801133,30.06468118103876,31.229061956716155,23.99482095197719,29.87423534226739,38.920698171956445,35.73951132470176,25.522407621468833,22.887314116557636,11.534422950275006,25.515276556022,11.928600338917699,16.619982145109276,11.318820761249198,12.003015061368215,14.813864572828065,12.500247587708378,13.97160446638047,11.642220864995958,11.534422950275006,6.354856346227879,15.495833179261135,9.940388175081626,10.308208227832994,10.550871004600051,9.22667817718631,10.710742894911634,7.120107085771409,6.668525945401769,6.354856346227879,6.826698304843317,3.494231784926477,11.44203863991868,7.352643348835454,7.182296254980782,6.37521573933992,6.124484918036031,4.764451232862983,5.276254177060893,3.494231784926477,4.71182735118146,4.834463138720959,2.999249247461482,6.8974954834740565,3.9210179025597713,4.791833695748367,4.149537865999818,5.432513238063743,3.3450897011293166,3.1203711226155106,2.999249247461482,4.081569782335846,3.6040045912958063
9,wc0.30_eta1.5E-4,0.3,0.00015,1000000,3,60.0,60.0,2.9698101593835307,0 5 6 7 8 9,1 2 3 4,1.9442910471910228e-05,0.00012153171598937892,40.0,2.9698101593835307,0.0009414303766091084,0.0013765654602825171,0.00011330693002301056,9.913847520692798e-12,False,89.13544809829288,354.977480047068,40.555407760504956,55.09653460684592,70.89611783107675,31.19983358711531,213.95322671079776,153.54902870979225,136.875086121726,146.9617158695693,89.13544809829288,23.3212806214501,58.65460504922512,27.83845244882536,16.816100839314256,25.89982316867656,27.12276075936248,35.71441147596209,26.671701741976616,29.057470692591533,26.95648495115081,23.3212806214501,9.44936011963759,29.763377398155914,11.176112038052706,13.03023682552239,13.610749226264925,11.068031891862297,14.724451869064925,13.75780189269902,9.44936011963759,12.629795120922354,12.778950278850594,5.81616194902944,19.348431326038927,9.351083096945379,8.880265947555968,8.14807600323953,9.997250311038094,7.760358237301355,5.81616194902944,9.071768951697026,7.420393888766602,6.818786858589918,3.8822620276220494,10.307158678501283,4.848800352860823,7.088917891404531,5.662556624743551,5.3645717174336776,4.9642867203124545,3.8822620276220494,4.333744833960482,4.787823960830908,4.5103530800739815,2.9698101593835307,6.9164237530906,5.3296601732488,4.360145856550873,4.516680282624757,4.905463522495269,3.0686357896362746,4.070149251806871,2.9698101593835307,3.315854565462307,3.153164826775018
10,wc0.20_eta1.0E-4,0.2,0.0001,1000000,3,60.0,60.0,2.943334890332674,0 5 6 7 8 9,1 2 3 4,8.28211283135643e-06,7.746503122673519e-05,40.0,2.943334890332674,0.0005862690885920367,0.0008377292790775881,6.912752688896746e-05,7.362110920894338e-12,False,101.39380941407865,440.3072566165375,63.46750485190292,43.441218482313545,56.462985820559936,23.69225753372767,157.37560619841244,164.8706204393281,101.39380941407865,143.57838269481766,167.95753905426585,22.998424626906093,44.84661164944051,25.181373414970146,20.626131221236275,21.742538217040927,22.18401244589405,28.77086835944832,27.300683461422476,22.998424626906093,27.358885206867388,23.76791258065238,11.0488733729517,33.1696467922521,10.367934583623455,6.895979407695907,10.740247552741994,9.660336449108296,11.771826639469042,12.520498200871758,12.0900765788811,11.0488733729517,13.529497892167822,6.0364223651672,15.831154481350982,6.473043787391371,8.018182795494862,8.471904351894386,7.827782355603846,6.0364223651672,7.24003895846144,6.847805839960753,7.566168045746482,8.523000053848206,4.333416971085429,10.890248214839037,4.358822871062711,5.273144076715468,5.408988993262866,5.357808492515262,5.084659592704452,4.435996317233862,4.333416971085429,4.728207803938971,4.921199466924521,2.943334890332674,6.457133319446327,4.250686620789393,4.299174064019328,5.101460141041126,3.897992910092146,3.4352074168326947,3.5618046826086927,3.471555898009845,3.2046963535570847,2.943334890332674
