rank,stage,case_id,version,wc_eV,eta,delE_eV,ntraj_per_repeat,independent_repeats,tmax,qm_signal_rms,qm_signal_peak,poisson_rms_vs_qm,repeat_noise_of_mean_rms,Q_accuracy,Q_repeat,Q_conservative,Q_0_40,Q_40_end,Q_0_60,projected_ntraj_Q10,occupation_min,occupation_max,max_particle_error,min_window_Q,selection_score,selection_status
1,confirm,s12_wc4_eta0p00017,v0.61,4.0,0.00017,-17.1948749688398,8000000,3,100.0,8.815562061761405e-05,0.00048047576683218907,1.7877004372756706e-05,2.102023398918717e-05,4.931230019273084,4.193845827927577,4.193845827927577,24.19785497014584,3.128502592523658,13.073960178032323,45484672,-0.00021251059981931665,1.0000460311117059,2.978071123038717e-10,1.7554838750507877,3.421175806629316,retained_top30
2,confirm,s17_wc5_eta0p00017,v0.61,5.0,0.00017,-17.1948749688398,8000000,3,100.0,8.64603900864811e-05,0.00047279847419590126,2.0502084992123282e-05,2.0730194777297467e-05,4.217151090715817,4.170746633850619,4.170746633850619,25.08888187057229,3.1263407180245966,14.27469637881779,45989891,-0.00012691410317547435,1.00021968655477,2.9556002090203037e-10,1.6834901416620658,3.3694601990588495,retained_top30
3,confirm,s24_wc6_eta0p00023,v0.61,6.0,0.00023,-17.1948749688398,8000000,3,100.0,0.00011509372900950319,0.0006298559787817348,3.245715382553926e-05,2.9459539988840928e-05,3.5460203820749205,3.9068406720912785,3.5460203820749205,26.087426538657127,2.6635361010897802,12.637760188251793,63622032,-0.0003072408891554565,1.00035159578667,2.461293391320396e-10,1.6951534074193173,3.3052551126294576,retained_top30
