array_job	task	rate_scale	seed	paths	ranks	reference_job
647806	0	1.0	1159001	100000	128	647702
647806	1	1.0	1159002	100000	128	647702
647806	2	1.5	1159001	100000	128	647702
647806	3	1.5	1159002	100000	128	647702
647806	4	2.0	1159001	100000	128	647702
647806	5	2.0	1159002	100000	128	647702
