round,rank,selection_status,case_id,wc_eV,eta,required_until,required_Q,bottleneck_window,passes_required_interval,independent_repeats,ntraj_per_run
2,1,retained,r2_wc0p20_eta4em5,0.2,4e-05,130.0,2.1509962506310285,120-130,False,3,8000000
2,2,retained,r2_wc0p40_eta8em5,0.4,8e-05,130.0,2.150606660743798,120-130,False,3,8000000
2,3,retained,r1_wc0p2_eta5em5,0.2,5e-05,130.0,2.1053590479382898,120-130,False,3,8000000
2,4,retained,r2_wc0p10_eta4em5,0.1,4e-05,130.0,2.0727625792762283,120-130,False,3,8000000
2,5,retained,r2_wc0p30_eta6em5,0.3,6e-05,130.0,2.0236870580503776,120-130,False,3,8000000
2,6,eliminated,r2_wc1p2_eta1em4,1.2,0.0001,130.0,1.805239339139341,110-120,False,3,8000000
2,7,eliminated,r1_wc0p05_eta1em4,0.05,0.0001,130.0,1.707767990693404,120-130,False,3,8000000
2,8,eliminated,r2_wc0p10_eta1em4,0.1,0.0001,130.0,1.6843848397211816,120-130,False,3,8000000
2,9,eliminated,r2_wc0p025_eta8em5,0.025,8e-05,130.0,1.6840750046728505,120-130,False,3,8000000
2,10,eliminated,r2_wc0p05_eta1p2em4,0.05,0.00012,130.0,1.6795557632602276,120-130,False,3,8000000
2,11,eliminated,r2_wc0p65_eta1em4,0.65,0.0001,130.0,1.5766751378399115,120-130,False,3,8000000
2,12,eliminated,r1_wc0p5_eta1em4,0.5,0.0001,130.0,1.5490423368102788,120-130,False,3,8000000
2,13,eliminated,r2_wc0p50_eta1p2em4,0.5,0.00012,130.0,1.5125781110253205,120-130,False,3,8000000
2,14,eliminated,r1_wc1p0_eta1p2em4,1.0,0.00012,130.0,1.4657935368182227,120-130,False,3,8000000
2,15,eliminated,r2_wc1p0_eta1p4em4,1.0,0.00014,130.0,1.4308962974535395,120-130,False,3,8000000
2,16,eliminated,r2_wc0p80_eta1em4,0.8,0.0001,130.0,1.411117171847709,120-130,False,3,8000000
