case_id,parent_case,origin,wc_eV,eta,delE_eV,ntraj,back_replicas,mpi_ranks,nstep,dt,tmax,qm_job_id,qm_seconds,poisson_job_id,poisson_seconds
f01_random_06,r06_random_06,refine_top30,3.322913,3.0264e-5,-17.194874968839816,800000,256,128,400,0.5,200,645052,185,645062,534
f02_hist_d01,r03_hist_d01,refine_top30,3.389460,2.9610e-5,-17.194874968839816,800000,256,128,400,0.5,200,645037,194,645063,557
f03_random_07,,new_basin_random,3.311842,2.9979e-5,-17.194874968839816,800000,256,128,400,0.5,200,645059,198,645064,538
f04_random_08,,new_basin_random,3.329774,3.0438e-5,-17.194874968839816,800000,256,128,400,0.5,200,645060,197,645065,553
f05_random_09,,new_basin_random,3.300561,3.0652e-5,-17.194874968839816,800000,256,128,400,0.5,200,645061,196,645066,533
