case_id,parent_case,origin,wc_eV,eta,delE_eV,ntraj,back_replicas,mpi_ranks,nstep,dt,tmax,qm_job_id,qm_seconds,poisson_job_id,poisson_seconds
r01_hist_best,c01_hist_best,coarse_top30,3.351907,3.1184e-5,-17.194874968839816,200000,256,128,400,0.5,200,645035,194,645053,135
r02_random_low,c05_random_low,coarse_top30,3.332184,3.0707e-5,-17.194874968839816,200000,256,128,400,0.5,200,645039,182,645054,138
r03_hist_d01,c03_hist_d01,coarse_top30,3.389460,2.9610e-5,-17.194874968839816,200000,256,128,400,0.5,200,645037,194,645055,137
r04_random_04,,new_basin_random,3.344218,3.0881e-5,-17.194874968839816,200000,256,128,400,0.5,200,645050,187,645056,147
r05_random_05,,new_basin_random,3.340776,3.1046e-5,-17.194874968839816,200000,256,128,400,0.5,200,645051,187,645057,138
r06_random_06,,new_basin_random,3.322913,3.0264e-5,-17.194874968839816,200000,256,128,400,0.5,200,645052,185,645058,137
