window_start,window_end,baseline_Q,large_Q,observed_ratio,sqrt_ntraj_ratio
0.0,10.0,113.96167580245071,614.138992137479,5.388995798921659,5.477225575051661
10.0,20.0,32.59025550382324,206.31132824863994,6.330460595021633,5.477225575051661
20.0,30.0,13.150039101675025,80.89511981831625,6.151701846119377,5.477225575051661
30.0,40.0,9.187835124162193,50.00299882480104,5.442304759398982,5.477225575051661
40.0,50.0,5.429112189989093,30.98436680400771,5.7070780119704905,5.477225575051661
50.0,60.0,4.469451115699756,25.433937310959394,5.690617629001039,5.477225575051661
60.0,70.0,3.7497650935778797,18.536094681206972,4.943268236443194,5.477225575051661
70.0,80.0,2.9108673188314595,15.57520497422996,5.350709348196084,5.477225575051661
80.0,90.0,2.239805701942756,12.400714108858589,5.5365133226076235,5.477225575051661
90.0,100.0,2.1841203429539817,9.490190282602818,4.34508579768435,5.477225575051661
