start,stop,points,aggregate_Q,min_orbital_Q,projected_ntraj_aggregate_Q10,projected_ntraj_strict_Q10
0,100,201,7.195121930943387,5.327600839342235,482907.2132933763,880798.6723362398
100,200,201,4.289153922495863,3.4468455501882262,1358928.9322022942,2104245.2796358587
200,300,201,2.2474331401556737,1.827699447888666,4949558.338757977,7483942.590902398
300,400,201,0.8149866790277521,0.6747081620572354,37639079.01328312,54917161.37860757
400,500,201,0.9960000269367669,0.8483134632284268,25201205.069023803,34739798.05613837
500,600,201,1.190700459839642,0.893679626474967,17633355.610186864,31302303.222842004
600,700,201,0.4287273409354052,0.36778565115520706,136012131.90288845,184820629.64794263
700,800,201,0.762053475144693,0.6561119951186755,43049599.24078785,58074309.31225125
800,900,201,0.3476980105284893,0.28078456026359727,206792887.4044044,317098043.38513416
900,1000,201,0.2841610055460473,0.2023094846879976,309607196.4876008,610811944.1867404
1000,1100,201,0.42890990579868044,0.36334060208315866,135896369.8219378,189370421.42083052
1100,1200,201,0.23988340658173785,0.20745570218931916,434449791.7968273,580883787.8440312
1200,1300,201,0.3298301133933492,0.28999373055782574,229804961.30062112,297278013.95195895
1300,1400,201,0.25672756527181645,0.2076574913055114,379310621.86856055,579755400.1931447
1400,1500,201,0.29247636486214146,0.21338076622625385,292252648.8041919,549072215.8222363
1500,1600,201,0.154913981908724,0.13085305227961172,1041738642.524328,1460065347.578223
1600,1700,201,0.12286342203038511,0.12032414140414709,1656131410.495533,1726769885.0488484
1700,1800,201,0.09878553883967571,0.08850566522387238,2561847433.171463,3191522182.751218
1800,1900,201,0.12804973281118387,0.08424391529115993,1524693874.321166,3522596693.7328095
1900,2000,201,0.05161905627276145,0.0423970455939095,9382528410.060623,13908132528.046831
2000,2100,201,0.09175166548916235,0.0638533432795446,2969696696.9764237,6131584618.256367
2100,2200,201,0.08973989957122966,0.060274397711825876,3104336922.2580156,6881359543.510627
2200,2300,201,0.08060261328572473,0.05274298152504462,3848059364.605625,8986915446.045668
2300,2400,201,0.06605956054411073,0.04107555226399018,5728865789.966314,14817440300.230856
2400,2500,201,0.06940931246225844,0.03680413100907405,5189249159.8280525,18456394849.429134
