rank,name,wc_eV,eta,ntraj_per_run,n_repeats,mpi_ranks,simulated_tmax,time_step,jobs,wall_seconds,wall_seconds_mean,Q_conv_min,Q_40_50,repeat_correlation_min,repeat_correlation_mean,signal_rms,repeat_noise_rms,particle_number_max_error,N4000_Q3_conservative,N4000_Q5_conservative,N4000_Q3_from_end,N4000_Q5_from_end,Q_0-10,class_0-10,Q_10-20,class_10-20,Q_20-30,class_20-30,Q_30-40,class_30-40,Q_40-50,class_40-50
1,wc6.5_eta7.5e-5,6.5,7.5e-05,2000000,3,16,50,0.5,634874;634878;634880,24;25;26,25.0,2.2587200962472456,2.2587200962472456,0.8758402583527044,0.8893881750414887,5.3774419046638566e-05,1.8730702544694544e-05,6.978773114951764e-11,282252410.9926058,784034474.9794607,282252410.9926058,784034474.9794607,28.225150593936103,strong,7.965949627260042,strong,3.936874944818538,usable,2.2903056916125553,marginal,2.2587200962472456,marginal
2,wc4.6_eta1.30e-4,4.6,0.00013,2000000,2,16,50,0.5,634790;634817,33;31,32.0,2.1347973596158263,2.3416752006484662,0.8873251923179937,0.8873251923179937,0.0001002428389401759,3.603347666212694e-05,7.187583861423263e-11,315972421.2572168,877701170.1589355,262608741.7846842,729468727.1796782,30.205407262986604,strong,10.138046016831435,strong,3.174769633100169,usable,2.1347973596158263,marginal,2.3416752006484662,marginal
3,wc4.2_eta1.10e-4,4.2,0.00011,2000000,2,16,50,0.5,634870;634879,42;34,38.0,2.053051069887373,2.2675248153815604,0.8798894691516299,0.8798894691516299,8.29159749771824e-05,2.965014006097093e-05,6.434675015043467e-11,341635495.3573322,948987487.1037005,280064714.25324446,777957539.5923458,35.64075959348496,strong,10.886574019405396,strong,3.627303715992118,usable,2.053051069887373,marginal,2.2675248153815604,marginal
4,wc4.4_eta1.15e-4,4.4,0.000115,2000000,2,16,50,0.5,634824;634840,34;33,33.5,1.9994474471691124,2.6491015217208114,0.8896674148279059,0.8896674148279059,9.062551138294958e-05,3.1052240443017954e-05,6.916245354204875e-11,360199001.4844468,1000552781.9012413,205194297.791094,569984160.5308167,30.30748018118319,strong,10.163893660825805,strong,3.5860693845651928,usable,1.9994474471691124,noise,2.6491015217208114,marginal
