#discretizing the bath
#     0 0.0000000000000000e+00 -6.3190000000000002e-01
#     1 1.8371475474526023e-03 -2.2797925265254182e-01
#     2 1.8371475474526023e-03 -2.1381512965798163e-01
#     3 1.8371475474526023e-03 -1.9920168001255312e-01
#     4 1.8371475474526023e-03 -1.8415231720916250e-01
#     5 1.8371475474526023e-03 -1.6867932039485331e-01
#     6 1.8371475474526023e-03 -1.5279398580928821e-01
#     7 1.8371475474526023e-03 -1.3650675133923998e-01
#     8 1.8371475474526023e-03 -1.1982730003186270e-01
#     9 1.8371475474526023e-03 -1.0276464692835308e-01
  0.00000000 +1.0000000000000000e+00 +1.9999999999999989e+00 +1.8374661879283103e-03 +1.0000000000000000e+00 +1.0000000000000000e+00 +1.0000000000000000e+00 +1.0000000000000000e+00 +1.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00
  0.50000000 +1.0000000000000013e+00 +1.9999999999964413e+00 +1.8391279763989240e-03 +9.9999578112179188e-01 +9.9999999999911160e-01 +9.9999999999911160e-01 +9.9999999999911160e-01 +9.9999999999911160e-01 +8.4377635385716448e-07 +8.4377635385716458e-07 +8.4377635385716426e-07 +8.4377635385716416e-07 +8.4377635385716448e-07
  1.00000000 +1.0000000000000038e+00 +1.9999999999579694e+00 +1.8437864636720520e-03 +9.9998394766879117e-01 +9.9999999998639399e-01 +9.9999999998640321e-01 +9.9999999998641309e-01 +9.9999999998642364e-01 +3.2221998787025579e-06 +3.2165825421852891e-06 +3.2107229380851785e-06 +3.2046175383439221e-06 +3.1982626963117218e-06
  1.50000000 +1.0000000000000058e+00 +1.9999999998066229e+00 +1.8505259324460336e-03 +9.9996680700750695e-01 +9.9999999993468369e-01 +9.9999999993477884e-01 +9.9999999993488031e-01 +9.9999999993498812e-01 +6.7044753381788409e-06 +6.6728520082447244e-06 +6.6399444849223957e-06 +6.6057431212161528e-06 +6.5702382379662917e-06
  2.00000000 +1.0000000000000075e+00 +1.9999999994294766e+00 +1.8580235622337145e-03 +9.9994769641307191e-01 +9.9999999980791909e-01 +9.9999999980839960e-01 +9.9999999980891163e-01 +9.9999999980945653e-01 +1.0660544460462864e-05 +1.0564260830883575e-05 +1.0464416784709987e-05 +1.0361025963314035e-05 +1.0254104240069759e-05
  2.50000000 +1.0000000000000095e+00 +1.9999999987006181e+00 +1.8648115722267079e-03 +9.9993032699387840e-01 +9.9999999957250274e-01 +9.9999999957414698e-01 +9.9999999957589969e-01 +9.9999999957776364e-01 +1.4375957978775478e-05 +1.4162237155650538e-05 +1.3941652312881049e-05 +1.3714354310638742e-05 +1.3480504098411400e-05
  3.00000000 +1.0000000000000113e+00 +1.9999999975055969e+00 +1.8695673267369588e-03 +9.9991805603580242e-01 +9.9999999920890326e-01 +9.9999999921326121e-01 +9.9999999921790317e-01 +9.9999999922283533e-01 +1.7181890134110677e-05 +1.6795374225038295e-05 +1.6398870466147199e-05 +1.5992911489024790e-05 +1.5578055037047679e-05
  3.50000000 +1.0000000000000133e+00 +1.9999999957635366e+00 +1.8713735176738812e-03 +9.9991323181247027e-01 +9.9999999872042600e-01 +9.9999999873002432e-01 +9.9999999874023460e-01 +9.9999999875106726e-01 +1.8576455915040783e-05 +1.7975640400700212e-05 +1.7364088963188028e-05 +1.6743089576009640e-05 +1.6113970989640688e-05
  4.00000000 +1.0000000000000144e+00 +1.9999999934426160e+00 +1.8698967563560195e-03 +9.9991673994903418e-01 +9.9999999813666551e-01 +9.9999999815497786e-01 +9.9999999817442353e-01 +9.9999999819501562e-01 +1.8315158910814537e-05 +1.7489488556002990e-05 +1.6657414178265584e-05 +1.5821396426534435e-05 +1.4983931884884348e-05
  4.50000000 +1.0000000000000162e+00 +1.9999999905659092e+00 +1.8654494815867814e-03 +9.9992783979355682e-01 +9.9999999751035162e-01 +9.9999999754141544e-01 +9.9999999757433244e-01 +9.9999999760911107e-01 +1.6454048029984522e-05 +1.5436734026049313e-05 +1.4424751769322328e-05 +1.3422017463570120e-05 +1.2432420028115571e-05
  5.00000000 +1.0000000000000175e+00 +1.9999999872065091e+00 +1.8589236247181643e-03 +9.9994432120900856e-01 +9.9999999690782293e-01 +9.9999999695546249e-01 +9.9999999700582332e-01 +9.9999999705889431e-01 +1.3337915398032956e-05 +1.2210081106520930e-05 +1.1107588619730881e-05 +1.0035719384335868e-05 +8.9995585713789066e-06
  5.50000000 +1.0000000000000204e+00 +1.9999999834729891e+00 +1.8516101751533884e-03 +9.9996294847418177e-01 +9.9999999639495329e-01 +9.9999999646168192e-01 +9.9999999653203864e-01 +9.9999999660597294e-01 +9.5359929394273482e-06 +8.4195003964112495e-06 +7.3551283042684022e-06 +6.3488359970643619e-06 +5.4060736389584246e-06
