method,window_start,window_stop,Q_all_orbitals,minimum_individual_orbital_Q,signal_rms,error_rms,amplitude_ratio,projected_ntraj_for_Q10,max_particle_error
continuous_v071,0.0,25.0,34.62291108487787,0.23181702572282986,1.7186838160053174e-05,4.964007248818489e-07,1.006613503110794,8342.050971306277,2.9966251702262525e-11
windowed_v075,0.0,25.0,9.493276108375582,0.24895403388048604,1.7186838160053174e-05,1.8104222361013848e-06,0.9856468089500616,110960.33910252943,3.1734614935885475e-12
continuous_v071,25.0,50.0,9.29006493113855,0.09849208669886587,1.5190799152732794e-05,1.635166090369949e-06,1.0010268731242318,115867.73066748443,2.4863666681085306e-11
windowed_v075,25.0,50.0,0.7744296445303229,0.05043629611048285,1.5190799152732794e-05,1.9615467021469367e-05,1.8283766918903592,16673856.591270067,3.1086244689504383e-13
continuous_v071,50.0,75.0,3.497674338461621,0.019831431313028444,1.4770940558600252e-05,4.2230748575343186e-06,1.0358410937864504,817412.4695550958,1.9913848348096508e-11
windowed_v075,50.0,75.0,0.3168211133372578,0.01112608395036954,1.4770940558600252e-05,4.6622336507215364e-05,3.385140833961811,99625787.7517651,3.8902214782865485e-13
continuous_v071,75.0,100.0,1.7024557290195195,0.007938238613462397,1.4778969482772192e-05,8.680971393766413e-06,1.0325894256145922,3450232.370739743,2.171152146956956e-11
windowed_v075,75.0,100.0,0.20391769394715134,0.002120811385267236,1.4778969482772192e-05,7.247516974472263e-05,5.2641602230764315,240486209.79720002,3.0730973321624333e-13
