start,stop,points,aggregate_Q,min_orbital_Q,projected_ntraj_aggregate_Q10,projected_ntraj_strict_Q10
0,100,201,10.437798118815644,9.496042016087701,229468.04899625614,277239.2744603382
100,200,201,3.5438887780091424,3.243094028601667,1990580.9418841081,2376954.82323132
200,300,201,3.4131293847788604,2.513020557339972,2146023.6564532234,3958657.4777528336
300,400,201,1.8115337699555218,1.6116231988588223,7618108.256233671,9625271.490277926
400,500,201,0.9632710404666275,0.8707503135651584,26942816.96419615,32972564.738399114
500,600,201,1.2024905660187843,1.0500098798757287,17289269.8561624,22675310.237067934
600,700,201,0.7271688007907217,0.6671197892870093,47279136.30890467,56173613.44470746
700,800,201,0.6817882892349745,0.4266536327652916,53782493.58754886,137337492.26244345
800,900,201,0.6706769218027262,0.5362982964200806,55579327.02655047,86921492.30423988
900,1000,201,0.4522043379742373,0.31558352860147854,122256106.39268216,251021750.08412972
1000,1100,201,0.5697749240925444,0.4597532401567869,77007556.78974605,118274306.80377387
1100,1200,201,0.350224177487418,0.30651903299205274,203820452.1395949,266087893.32296333
1200,1300,201,0.45643092734432333,0.3302359799044541,120002385.78006613,229240438.78863952
1300,1400,201,0.1658567078539572,0.13286628107185536,908811737.3220922,1416153891.5998385
1400,1500,201,0.20377252983568253,0.17468733288202493,602072421.1912336,819251377.8911934
1500,1600,201,0.21399552671932937,0.18174723303095966,545922027.9458214,756840550.8668784
1600,1700,201,0.17254728134863223,0.1627162390137757,839699252.8898441,944230910.9057176
1700,1800,201,0.15519736273688162,0.12371172803771914,1037937814.5008025,1633496702.4969692
1800,1900,201,0.14736170912360871,0.11727390307476726,1151252824.9510655,1817762960.3314898
1900,2000,201,0.11589679080707024,0.07428380440687742,1861217758.892185,4530558401.266395
2000,2100,201,0.09359957971518794,0.06217290216979851,2853594185.184012,6467519221.450909
2100,2200,201,0.09868834465491814,0.0613690692659555,2566896039.205333,6638056355.999917
2200,2300,201,0.06545609604621706,0.04984390272323353,5834985885.49972,10062732528.91914
2300,2400,201,0.05838795269220226,0.038946124290907276,7333199729.189545,16482061020.271944
2400,2500,201,0.09211937570257941,0.05340106003816762,2946035911.82566,8766782913.371214
