label,path,n_points,tmax,qm_signal_rms,simulation_signal_rms,error_rms,Q_qm,Q_qm_first_half,Q_qm_second_half,Q_qm_min_half,amplitude_ratio,cosine_similarity,max_abs_occupation_error,max_particle_error
v071_100k_B256_138s,E:\project_qm\scan_v071_direct_grid_20260811\final\n100k-b256\ahm-sepmb-s10-n5-100000.dat,401,200.0,1.6838655145801467e-05,2.053389922898783e-05,1.067032177967245e-05,1.5780831631413432,7.131704731799862,1.1050424498860087,1.1050424498860087,1.2194500719440013,0.8551018093283625,9.483556143796701e-05,2.2506529973043143e-10
v064_200k_B64_527s,E:\project_qm\scan_v064_t200_estimate_20260811\validation\n200k-b64-644990\ahm-sepmb-s10-n5-200000.dat,401,200.0,1.6838655145801467e-05,2.2521489460348164e-05,1.4594067435172666e-05,1.1538013799510887,4.24918431216063,0.8135459733108684,0.8135459733108684,1.3374874219669288,0.7617653682768929,0.00018359342742502172,1.1521983367401845e-10
