label,scope,window_start,window_stop,ntraj,back_replicas,runtime_seconds_64_cores,Q,qm_signal_rms,error_rms,target_Q,trajectory_multiplier,estimated_ntraj_for_target,estimated_runtime_seconds_64_cores
v071_100k_B256,all,0,50,100000,256,138.0,12.451482129699663,1.7958460735388406e-05,1.44227494753844e-06,10.0,0.6449973060983277,64499.730609832775,89.00962824156923
v071_100k_B256,active,0,50,100000,256,138.0,12.480273771033161,2.3184233245814194e-05,1.8576702459544621e-06,10.0,0.642024757484166,64202.4757484166,88.5994165328149
v071_100k_B256,all,50,100,100000,256,138.0,5.320418653565997,1.6435552239191667e-05,3.089146420493767e-06,10.0,3.532713232862846,353271.32328628463,487.51442613507277
v071_100k_B256,active,50,100,100000,256,138.0,5.4370074779935775,2.121799660821531e-05,3.902513780622093e-06,10.0,3.382829734797789,338282.9734797789,466.83050340209485
v071_100k_B256,all,100,150,100000,256,138.0,2.0295479744938913,1.6442046733492177e-05,8.10133435628312e-06,10.0,24.277354318710373,2427735.4318710375,3350.2748959820315
v071_100k_B256,active,100,150,100000,256,138.0,2.089542661868517,2.1226221403759675e-05,1.015830965842961e-05,10.0,22.90327116678146,2290327.116678146,3160.6514210158416
v071_100k_B256,all,150,200,100000,256,138.0,0.8474570943611749,1.6444216549806218e-05,1.940418772728795e-05,10.0,139.2401750676791,13924017.50676791,19215.144159339718
v071_100k_B256,active,150,200,100000,256,138.0,0.8817737038129244,2.122891743598501e-05,2.4075244412696732e-05,10.0,128.6132502450049,12861325.024500491,17748.628533810675
v064_200k_B64,all,0,50,200000,64,527.0,14.419469019003497,1.7958460735388406e-05,1.2454314865353816e-06,10.0,0.48095169924250664,96190.33984850133,253.461545500801
v064_200k_B64,active,0,50,200000,64,527.0,14.43668138621729,2.3184233245814194e-05,1.6059253941801471e-06,10.0,0.47980553800791165,95961.10760158233,252.85751853016944
v064_200k_B64,all,50,100,200000,64,527.0,2.9445438685384366,1.6435552239191667e-05,5.581697190794332e-06,10.0,11.53357494851654,2306714.989703308,6078.193997868217
v064_200k_B64,active,50,100,200000,64,527.0,2.949077159924009,2.121799660821531e-05,7.1947919493439255e-06,10.0,11.498143613832534,2299628.722766507,6059.521684489745
v064_200k_B64,all,100,150,200000,64,527.0,1.6561032801012276,1.6442046733492177e-05,9.928152990849202e-06,10.0,36.46071368520357,7292142.737040714,19214.79611210228
v064_200k_B64,active,100,150,200000,64,527.0,1.6638029230361997,2.1226221403759675e-05,1.2757653631852558e-05,10.0,36.124033312858096,7224806.662571619,19037.365555876215
v064_200k_B64,all,150,200,200000,64,527.0,0.6151614485192598,1.6444216549806218e-05,2.6731545985836226e-05,10.0,264.25412673399086,52850825.346798174,139261.9247888132
v064_200k_B64,active,150,200,200000,64,527.0,0.6172665125013559,2.122891743598501e-05,3.439181780647525e-05,10.0,262.4548283559701,52490965.671194024,138313.69454359624
