#PATCH_CHECK: SepMBpoisson v0.61 exact-bernoulli stratified-backward active
#discretizing the bath:
#     0 0.0000000000000000e+00 -6.3189999999999946e-01
#     1 2.2668382288014194e-03 -2.5177721333510272e-01
#     2 2.2668382288014194e-03 -2.3310956226408150e-01
#     3 2.2668382288014194e-03 -2.1353376026031590e-01
#     4 2.2668382288014194e-03 -1.9309013620330878e-01
#     5 2.2668382288014194e-03 -1.7181407763009807e-01
#     6 2.2668382288014194e-03 -1.4973696471774575e-01
#     7 2.2668382288014194e-03 -1.2688687425177408e-01
#     8 2.2668382288014194e-03 -1.0328912168463783e-01
#     9 2.2668382288014194e-03 -7.8966686245792228e-02
#sampling: jump_strength=5.6670955720035492e-03 jump_probability=5.6351605784419325e-03 log_scale=5.6510979972917317e-03 back_replicas=12 stratify_forward=1
#adaptive measurement: gap=2.1276058573210715e-02 period_steps=591 nmeas=116 nwf=400 tmax=2.0000000000000000e+02 forced_stride=0
  0.00000000 +5.0000000000000000e+00 +1.9999999999999998e+00 +1.8374661879283106e-03 +1.0000000000000000e+00 +1.0000000000000000e+00 +1.0000000000000000e+00 +1.0000000000000000e+00 +1.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 +0.0000000000000000e+00
  0.50000000 +5.0000000000000000e+00 +1.9999999999547473e+00 +1.8400246005777587e-03 +9.9999350479856464e-01 +9.9999999998830147e-01 +9.9999999998830147e-01 +9.9999999998830147e-01 +9.9999999998830147e-01 +1.3074732628986522e-06 +1.3034835886003563e-06 +1.3080432163698382e-06 +1.3017737281868008e-06 +1.2744159615699166e-06
  1.00000000 +5.0000000000000000e+00 +2.0000000007689995e+00 +1.8472079138760556e-03 +9.9997525770584350e-01 +1.0000000000062141e+00 +1.0000000000068641e+00 +1.0000000000062141e+00 +1.0000000000062141e+00 +5.0094260361049455e-06 +5.0159283865383589e-06 +4.8744183087060191e-06 +4.9619821793473597e-06 +4.8805772761334200e-06
  1.50000000 +5.0000000000000000e+00 +2.0000000043724637e+00 +1.8574971313328654e-03 +9.9994908837121776e-01 +9.9999999991640565e-01 +9.9999999994247712e-01 +9.9999999993155131e-01 +9.9999999993520161e-01 +1.0315471781905619e-05 +1.0300840750658269e-05 +1.0115329501828412e-05 +1.0076052947205122e-05 +1.0104166073351031e-05
  2.00000000 +5.0000000000000000e+00 +1.9999999743045751e+00 +1.8688076510950805e-03 +9.9992025768535098e-01 +9.9999999968434028e-01 +9.9999999975892051e-01 +9.9999999973828868e-01 +9.9999999978785425e-01 +1.6446148625591717e-05 +1.6144813690292194e-05 +1.5868347175528202e-05 +1.5632651767887462e-05 +1.5651444735133458e-05
  2.50000000 +5.0000000000000000e+00 +1.9999999768493086e+00 +1.8788723466093805e-03 +9.9989449514227136e-01 +9.9999999918551941e-01 +9.9999999932037098e-01 +9.9999999927563821e-01 +9.9999999937612849e-01 +2.2166867553355904e-05 +2.1452015281116261e-05 +2.0950890444673411e-05 +2.0531240805725319e-05 +2.0406709828785015e-05
  3.00000000 +5.0000000000000000e+00 +2.0000000184406796e+00 +1.8856951232430715e-03 +9.9987687360021626e-01 +9.9999999832021635e-01 +9.9999999864695155e-01 +9.9999999855650357e-01 +9.9999999864922540e-01 +2.6507924995932499e-05 +2.5271432205834503e-05 +2.4440048590585907e-05 +2.3682705392505937e-05 +2.3230136020631342e-05
  3.50000000 +5.0000000000000000e+00 +1.9999999823980952e+00 +1.8881617244038869e-03 +9.9987025488995629e-01 +9.9999999719207111e-01 +9.9999999747896673e-01 +9.9999999740068368e-01 +9.9999999766445558e-01 +2.8589824339345747e-05 +2.7072054103725807e-05 +2.5836777138832451e-05 +2.4597152361955475e-05 +2.3659465341539829e-05
  4.00000000 +5.0000000000000000e+00 +1.9999999326874263e+00 +1.8855130970892701e-03 +9.9987662319915416e-01 +9.9999999564675646e-01 +9.9999999619507007e-01 +9.9999999599907785e-01 +9.9999999648554483e-01 +2.8280690425828150e-05 +2.6258553271934467e-05 +2.4460020868049415e-05 +2.2947436073249934e-05 +2.1445874851689924e-05
  4.50000000 +5.0000000000000000e+00 +1.9999999019164274e+00 +1.8784100199586880e-03 +9.9989438673194908e-01 +9.9999999427992414e-01 +9.9999999459864053e-01 +9.9999999457404565e-01 +9.9999999522124650e-01 +2.5232092185535222e-05 +2.3249296288243693e-05 +2.1011578211060828e-05 +1.8911378783000549e-05 +1.7230325496559457e-05
