case_id,data_file,param.wc_eV,param.eta,param.ntraj
wc6.0_eta3.8e-5,wc6.0_eta3.8e-5_rep1/ahm-sepmb-s10-n5-2000000.dat,6.0,3.8e-5,2000000
wc6.0_eta3.8e-5,wc6.0_eta3.8e-5_rep2/ahm-sepmb-s10-n5-2000000.dat,6.0,3.8e-5,2000000
wc6.2_eta4.2e-5,wc6.2_eta4.2e-5_rep1/ahm-sepmb-s10-n5-2000000.dat,6.2,4.2e-5,2000000
wc6.2_eta4.2e-5,wc6.2_eta4.2e-5_rep2/ahm-sepmb-s10-n5-2000000.dat,6.2,4.2e-5,2000000
wc6.4_eta3.8e-5,wc6.4_eta3.8e-5_rep1/ahm-sepmb-s10-n5-2000000.dat,6.4,3.8e-5,2000000
wc6.4_eta3.8e-5,wc6.4_eta3.8e-5_rep2/ahm-sepmb-s10-n5-2000000.dat,6.4,3.8e-5,2000000
wc6.6_eta4.2e-5,wc6.6_eta4.2e-5_rep1/ahm-sepmb-s10-n5-2000000.dat,6.6,4.2e-5,2000000
wc6.6_eta4.2e-5,wc6.6_eta4.2e-5_rep2/ahm-sepmb-s10-n5-2000000.dat,6.6,4.2e-5,2000000
wc6.8_eta3.8e-5,wc6.8_eta3.8e-5_rep1/ahm-sepmb-s10-n5-2000000.dat,6.8,3.8e-5,2000000
wc6.8_eta3.8e-5,wc6.8_eta3.8e-5_rep2/ahm-sepmb-s10-n5-2000000.dat,6.8,3.8e-5,2000000
wc7.0_eta4.2e-5,wc7.0_eta4.2e-5_rep1/ahm-sepmb-s10-n5-2000000.dat,7.0,4.2e-5,2000000
wc7.0_eta4.2e-5,wc7.0_eta4.2e-5_rep2/ahm-sepmb-s10-n5-2000000.dat,7.0,4.2e-5,2000000
