case_id,segment,start,end,points,SCI,tail_score,class,worst_series,limiting_metric,amplitude,amplitude_se,drift,drift_se,jump,jump_se,noise_sigma,rho1,tolerance
wc6.0_eta3.0e-5,2,10,19.5,20,99.9424434401,64.5998256974,strong,series_0,amplitude,4.9169902398e-05,1.56365653669e-05,5.81463428123e-06,1.0649046375e-05,8.50096447402e-06,1.3010591162e-05,5.39343695941e-06,-0.0471762774031,0.0001
wc6.0_eta3.0e-5,3,20,29.5,20,89.8559856006,64.5998256974,usable,series_0,jump,2.32148717396e-05,3.33121851972e-05,1.46630107284e-05,2.85606715825e-05,4.68715514912e-06,7.48497885875e-05,1.1490194082e-05,-0.0580476606058,0.0001
wc6.0_eta3.0e-5,4,30,39.5,20,64.5998256974,64.5998256974,uncertain,series_0,drift,1.59470290644e-05,0.000104534952444,6.47770499162e-06,0.000249699875836,4.89241947621e-06,0.000118866429673,2.2804248445e-05,0.869018407187,0.0001
wc6.0_eta3.0e-5,5,40,50,21,70.3237199328,70.3237199328,uncertain,series_0,amplitude,2.97355899784e-05,0.000131646875861,2.64862879099e-05,7.79792594626e-05,0,1e-15,2.87187011993e-05,0.919162050361,0.0001
wc6.0_eta3.8e-5,1,0,9.5,20,99.9999206617,61.1066627222,strong,series_0,amplitude,7.04374015873e-05,6.15889232911e-06,4.31439276102e-06,1.04472779742e-06,1.44010466482e-05,6.82129813126e-06,1.34355933145e-06,0.681440517267,0.0001
wc6.0_eta3.8e-5,2,10,19.5,20,98.2949636815,61.1066627222,strong,series_0,amplitude,6.37829812922e-05,1.70925405512e-05,5.31911666584e-06,3.21401224303e-05,1.21842045847e-05,1.97786157207e-05,5.89563870174e-06,-0.0255504374722,0.0001
wc6.0_eta3.8e-5,3,20,29.5,20,88.9306079178,61.1066627222,usable,series_0,amplitude,3.48624187169e-05,5.32671960604e-05,1.41206714499e-05,3.79548427738e-06,1.28396862453e-06,7.700848529e-05,1.83731693768e-05,-0.35550304261,0.0001
wc6.0_eta3.8e-5,4,30,39.5,20,68.1858003984,61.1066627222,uncertain,series_0,jump,1.41439996041e-05,0.000105599550517,8.80254378861e-06,5.15330508261e-05,1.23109118456e-05,0.000185428102461,2.30364899906e-05,0.880194841475,0.0001
wc6.0_eta3.8e-5,5,40,50,21,61.1066627222,61.1066627222,uncertain,series_0,amplitude,3.22866302256e-05,0.00024003311708,9.92002983419e-06,0.000252107087888,0,1e-15,5.23631063957e-05,0.864791369051,0.0001
wc6.2_eta4.2e-5,1,0,9.5,20,99.948790142,63.1642208226,strong,series_0,amplitude,7.72982795827e-05,6.91325937557e-06,3.29767027067e-06,6.00803246583e-08,1.48773674161e-05,9.18535331125e-06,1.74291488473e-06,0.303575166357,0.0001
wc6.2_eta4.2e-5,2,10,19.5,20,89.8376441248,63.1642208226,usable,series_0,amplitude,6.81358946195e-05,2.50434136736e-05,9.77896796793e-06,2.26856602565e-05,7.03260542501e-06,2.01680747244e-05,7.0122714488e-06,0.205549384767,0.0001
wc6.2_eta4.2e-5,3,20,29.5,20,88.5728380364,63.1642208226,usable,series_0,jump,3.46215339466e-05,5.12526812595e-05,8.63416351214e-06,1.08222270769e-05,3.86687701981e-06,7.98368359733e-05,1.5597575165e-05,0.12457274525,0.0001
wc6.2_eta4.2e-5,4,30,39.5,20,67.3276885359,63.1642208226,uncertain,series_0,amplitude,4.22977828194e-05,0.000128518515335,1.22218881249e-06,1.51344029568e-05,2.37949449547e-05,0.000123870110091,2.80362508898e-05,0.759627296288,0.0001
wc6.2_eta4.2e-5,5,40,50,21,63.1642208226,63.1642208226,uncertain,series_0,drift,1.99939911796e-05,0.000196796337601,1.73556157261e-05,0.000245814774776,0,1e-15,4.29310242247e-05,0.668973036958,0.0001
wc6.2_eta6.5e-5,1,0,9.5,20,0.0598625006188,0.0598625006188,not_converged,series_0,amplitude,0.000121511672305,6.64035916705e-06,7.99566051338e-06,3.99906411524e-06,2.64652438828e-05,9.70649126511e-06,2.29042361382e-06,-0.441506173667,0.0001
wc6.2_eta6.5e-5,2,10,19.5,20,37.668453673,37.668453673,not_converged,series_0,amplitude,0.00010836995907,2.66389453915e-05,1.00563896237e-05,2.35812820017e-05,9.34500033589e-06,2.84139454373e-05,9.18842912514e-06,-0.104644049278,0.0001
wc6.2_eta6.5e-5,3,20,29.5,20,68.8646477363,43.5910379219,uncertain,series_0,jump,6.18869558512e-05,7.58233799756e-05,4.04153727076e-05,3.70524038036e-05,1.00145667649e-05,0.000182890755126,2.61533533966e-05,-0.00711165967265,0.0001
wc6.2_eta6.5e-5,4,30,39.5,20,55.2474825532,43.5910379219,uncertain,series_0,drift,5.26393994402e-05,0.000255853005422,4.205130749e-05,0.000439283173987,2.64093105571e-05,0.000244070975007,5.58142072541e-05,0.869031083227,0.0001
wc6.2_eta6.5e-5,5,40,50,21,43.5910379219,43.5910379219,not_converged,series_0,drift,0.000125837069248,0.000231690572313,0.00013681466826,0.000228171932831,0,1e-15,5.05431843592e-05,0.940089474618,0.0001
wc6.4_eta3.8e-5,1,0,9.5,20,99.9997579245,60.1570849108,strong,series_0,amplitude,7.02866297937e-05,6.49964011905e-06,3.65956493619e-06,9.90858107035e-06,1.37389925842e-05,7.87181128168e-06,1.41789329417e-06,0.462620695127,0.0001
wc6.4_eta3.8e-5,2,10,19.5,20,96.2901330723,60.1570849108,strong,series_0,amplitude,6.21374024097e-05,2.12068515243e-05,7.49073849069e-06,1.23968556805e-05,4.85877361245e-06,2.52166151893e-05,7.31476600648e-06,-0.350074414,0.0001
wc6.4_eta3.8e-5,3,20,29.5,20,76.721232496,60.1570849108,uncertain,series_0,drift,3.61194236774e-05,6.80976570908e-05,1.69505802191e-05,0.000113813552256,1.00679907837e-05,4.46787219673e-05,1.7984527013e-05,0.260832770659,0.0001
wc6.4_eta3.8e-5,4,30,39.5,20,63.8306135166,60.1570849108,uncertain,series_0,drift,5.62485973309e-05,5.32264376786e-05,5.7346634569e-05,0.000120511921285,3.6789001262e-06,0.000146864133478,1.16113211924e-05,0.936384097385,0.0001
wc6.4_eta3.8e-5,5,40,50,21,60.1570849108,60.1570849108,uncertain,series_0,amplitude,4.83210017562e-05,0.000200761285453,1.49817776676e-05,0.000310933613869,0,1e-15,4.37959756478e-05,0.923888848054,0.0001
wc6.5_eta4.0e-5,1,0,9.5,20,100,99.3128474406,strong,series_0,,7.35693995194e-05,8.25937837721e-07,1.87394430461e-06,1.52054224677e-06,1.44918505494e-05,1.40192097443e-06,1.60877488627e-06,-0.14200327939,0.0001
wc6.5_eta4.0e-5,2,10,19.5,20,100,99.3128474406,strong,series_0,,6.48648370791e-05,3.87825811888e-06,7.17709761906e-06,6.53027469073e-06,2.15474078324e-06,3.9711211941e-06,7.55413298579e-06,-0.00426086069296,0.0001
