# time_au Re_C_plus Im_C_plus Re_C_minus Im_C_minus; exact discrete sum, no BSD approximation
0.000000000000000000e+00 1.333333333333333361e-07 0.000000000000000000e+00 1.666666666666666768e-07 0.000000000000000000e+00
1.000000000000000000e+00 1.307304136394544699e-07 -2.615847501188725467e-08 1.649653316799023136e-07 2.355729745430406901e-08
2.000000000000000000e+00 1.230250540070043426e-07 -5.128676901279090929e-08 1.598982826848006846e-07 4.661810894866039929e-08
3.000000000000000000e+00 1.105232769884570341e-07 -7.439596477511151374e-08 1.515755411647170803e-07 6.869703486717686038e-08
4.000000000000000000e+00 9.372137211322974516e-08 -9.457799318242547528e-08 1.401776751178050630e-07 8.933058857991240740e-08
5.000000000000000000e+00 7.328586608316325868e-08 -1.110419280195095374e-07 1.259516676622905863e-07 1.080875099993339980e-07
6.000000000000000000e+00 5.002664026623770815e-08 -1.231455169848493645e-07 1.092052719290801265e-07 1.245783251475052357e-07
7.000000000000000000e+00 2.486429665777744620e-08 -1.304206713115666152e-07 9.029998696193582208e-08 1.384639291576211009e-07
8.000000000000000000e+00 -1.206892081703143703e-09 -1.325918855654184542e-07 6.964282206160880890e-08 1.494629938501183119e-07
9.000000000000000000e+00 -2.715893391277296466e-08 -1.295868505099430497e-07 4.767704559732180624e-08 1.573580295360496426e-07
1.000000000000000000e+01 -5.197133925278865324e-08 -1.215388432194214235e-07 2.487213806757651712e-08 1.619999632960684218e-07
1.100000000000000000e+01 -7.467193395110063644e-08 -1.087808164740321495e-07 1.713187545276533591e-09 1.633111318484861095e-07
1.200000000000000000e+01 -9.437560479006307658e-08 -9.183144981213052890e-08 -2.131002185100604825e-08 1.612866253603964749e-07
1.300000000000000000e+01 -1.103194081081325381e-07 -7.137375328939830089e-08 -4.371397145028938273e-08 1.559939582202751203e-07
1.400000000000000000e+01 -1.218926258870099191e-07 -4.822711837082617725e-08 -6.503216238804200748e-08 1.475710828939901226e-07
1.500000000000000000e+01 -1.286605653574380041e-07 -2.331397591881959320e-08 -8.482541190089578779e-08 1.362228025358425828e-07
1.600000000000000000e+01 -1.303811588818516646e-07 2.377561983265791299e-09 -1.026914528794511626e-07 1.222156760461525521e-07
1.700000000000000000e+01 -1.270137195677153772e-07 2.783354046724634474e-08 -1.182736160083613675e-07 1.058715448228030241e-07
1.800000000000000000e+01 -1.187195322005661556e-07 5.205484952513944348e-08 -1.312683971138490553e-07 8.755984267713407993e-08
1.900000000000000000e+01 -1.058542950879747486e-07 7.409710239390290920e-08 -1.414317403122041173e-07 6.768887849284705903e-08
2.000000000000000000e+01 -8.895276225740649613e-08 9.310808737881577918e-08 -1.485838994921578861e-07 4.669630452498989674e-08
