run,seed,orbital,active,QM_signal_RMS,RMSE,Q_continuous_QM,Q_grid_QM
final_seed1,1160101,0,True,4.5026996973586317e-07,3.888043388478661e-09,115.8088850217404,63.17168011848171
final_seed1,1160101,1,False,4.225248432145273e-12,3.8978291459865055e-10,0.010840004202072076,0.010225455078644901
final_seed1,1160101,2,False,6.634278246265818e-12,4.3925291027036294e-10,0.015103549893801221,0.014358671009152132
final_seed1,1160101,3,False,1.0512409371597254e-11,4.6059195081344157e-10,0.022823693190971994,0.02184137652217802
final_seed1,1160101,4,False,1.5709224650816556e-11,4.866670847672535e-10,0.03227920100314454,0.031015285084396153
final_seed1,1160101,5,True,9.593658036312502e-08,9.553724857975012e-10,100.41798543427966,60.84526687074008
final_seed1,1160101,6,True,9.317397899022735e-08,1.0071804805799631e-09,92.50971477979311,57.10712646788398
final_seed1,1160101,7,True,9.047676419844451e-08,9.723066759741308e-10,93.05373133203884,55.58661398903711
final_seed1,1160101,8,True,8.784695372321507e-08,8.399949787553015e-10,104.58033196030058,56.63848750733912
final_seed1,1160101,9,True,8.528625277905354e-08,6.52365856736793e-10,130.73377752426364,59.57575405368773
final_seed2,1160102,0,True,4.5026996973586317e-07,4.8910555026683946e-09,92.05987735984822,64.47906162232535
final_seed2,1160102,1,False,4.225248432145273e-12,6.957422049883413e-10,0.006073008654428369,0.005728832903650289
final_seed2,1160102,2,False,6.634278246265818e-12,6.491750012068602e-10,0.010219552869306805,0.009716165811249294
final_seed2,1160102,3,False,1.0512409371597254e-11,5.529596326634154e-10,0.01901116962365338,0.018196759873784857
final_seed2,1160102,4,False,1.5709224650816556e-11,4.32986809806756e-10,0.03628106975782393,0.03488334445053487
final_seed2,1160102,5,True,9.593658036312502e-08,1.0727865020445044e-09,89.4274677955867,64.52835165604417
final_seed2,1160102,6,True,9.317397899022735e-08,9.48307255384136e-10,98.2529432957727,64.10747515980427
final_seed2,1160102,7,True,9.047676419844451e-08,7.702214006316426e-10,117.46851505845771,62.40116825153494
final_seed2,1160102,8,True,8.784695372321507e-08,6.64771199418427e-10,132.14614862988603,57.474378487699646
final_seed2,1160102,9,True,8.528625277905354e-08,7.285021880931245e-10,117.0706885620931,50.72285301506147
final_seed3,1160103,0,True,4.5026996973586317e-07,4.172242182676076e-09,107.92038190052045,63.57764099826437
final_seed3,1160103,1,False,4.225248432145273e-12,2.1788641218125614e-10,0.019391977635715797,0.01830075512565877
final_seed3,1160103,2,False,6.634278246265818e-12,2.7377220493696804e-10,0.024232840758225477,0.023047095592895774
final_seed3,1160103,3,False,1.0512409371597254e-11,3.2683628046817947e-10,0.032164144557448336,0.030790006271099363
final_seed3,1160103,4,False,1.5709224650816556e-11,3.6335933684956924e-10,0.04323330394374915,0.04155141758565995
final_seed3,1160103,5,True,9.593658036312502e-08,6.887500604716436e-10,139.29084855169287,66.3947273470207
final_seed3,1160103,6,True,9.317397899022735e-08,6.798323608260273e-10,137.05434509916049,64.25504553901324
final_seed3,1160103,7,True,9.047676419844451e-08,6.775579997171947e-10,133.53360780362496,62.99426442411861
final_seed3,1160103,8,True,8.784695372321507e-08,6.716819116255253e-10,130.7865407758536,62.45266004577498
final_seed3,1160103,9,True,8.528625277905354e-08,6.554316118734673e-10,130.12227551135916,62.40741613139035
